SMILES,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline
CCN(CC)CCOC(=O)C1C2N(C(C(S2)(C)C)C(=O)OCCN(CC)CC)C(=O)N1,1.0,1.0,0.8387096774193549,0.5,0.8387096774193549,0.8387096774193549,0.9038461538461539,0.9689826302729528,0.8387096774193549,0.5,0.8387096774193549,0.8387096774193549,0.5,0.8387096774193549,0.8387096774193549,0.6115384615384616,0.8776129460083854,0.8387096774193549
CC[N+](CC)(CCOC(=O)C1CCC(CC1)(C#N)C2=CC(=C(C=C2)OC)OC3CCCC3)CC4=C(C=C(C=C4)C(CNCCCCCCOCCCCC5=CC=CC=C5)O)OP(=O)(O)[O-],0.9881656804733727,0.939533756841449,0.2,0.5,0.2,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2,0.38017751479289935,0.18307533661307246,0.2
CCN(CC)CCOC(=O)C1C2C1C=CC=CC2,1.0,0.9999999999999998,0.7222222222222222,0.5,0.7222222222222222,0.7222222222222222,1.0,1.0,0.7222222222222222,0.5,0.7222222222222222,0.7222222222222222,0.5,0.7222222222222222,0.7222222222222222,0.46153846153846156,0.7917115564174388,0.7222222222222222
[H+].CCN(CC)CCOC(=O)C1C(SC2N1C(=O)C2NC(=O)CC3=CC=CC=C3)(C)C.[I-],1.0,0.9999999999999998,0.41935483870967744,0.5,0.41935483870967744,0.41935483870967744,1.0,1.0,0.41935483870967744,0.5,0.41935483870967744,0.41935483870967744,0.5,0.41935483870967744,0.41935483870967744,0.5042735042735043,0.4763764970661522,0.41935483870967744
CCC(C)C(=O)OCC[N+](CC)(CC)CCOS(=O)(=O)OC,0.9316239316239315,0.939533756841449,0.5909090909090909,0.5,0.5909090909090909,0.5909090909090909,0.9615384615384616,0.9685314685314685,0.5909090909090909,0.5,0.5909090909090909,0.5909090909090909,0.5,0.5909090909090909,0.5909090909090909,0.5384615384615385,0.6428763544148159,0.5909090909090909
CCN(CC)CCOC(=O)C1C(SC2N1C(=O)C2NC(=O)C3=C(ON=C3C4=CC=CC=C4)C)(C)C,1.0,0.9999999999999998,0.37142857142857144,0.5,0.37142857142857144,0.37142857142857144,,,,0.5,0.37142857142857144,0.37142857142857144,0.5,0.37142857142857144,0.37142857142857144,0.4562937062937063,0.4034118973033,0.37142857142857144
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)N2C(=O)C=CC(=N2)C.Cl,1.0,0.9999999999999998,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.514792899408284,0.5663328003266084,0.5
CC[N+](C)(CC)CCOC(=O)C(C1CCCC1)C2CCCC2.[N+](=O)([O-])[O-],0.9526627218934912,0.939533756841449,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5502958579881657,0.6267948717948717,0.5
CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=CC3=CC=CC=C32.C(=O)(C(=O)O)O,1.0,0.9999999999999998,0.38235294117647056,0.5,0.38235294117647056,0.38235294117647056,,,,0.5,0.38235294117647056,0.38235294117647056,0.5,0.38235294117647056,0.38235294117647056,0.3882783882783883,0.33324895315845543,0.38235294117647056
CCN(CC)CCOC(=O)C1C2=CC=CC=C2C3=C(S1)C=CC(=C3OC)OC,1.0,0.9999999999999998,0.4642857142857143,0.5,0.4642857142857143,0.4642857142857143,,,,0.5,0.4642857142857143,0.4642857142857143,0.5,0.4642857142857143,0.4642857142857143,0.3846153846153846,0.41873681873681873,0.4642857142857143
CC[N+](CC)(CCOC(=O)C(C1=CC=CC=C1)C2(CCCCC2)O)CC3=CC=CC=C3.[Br-],0.9676113360323887,0.939533756841449,0.40625,0.5,0.40625,0.40625,,,,0.5,0.40625,0.40625,0.5,0.40625,0.40625,0.49797570850202433,0.5688458357192848,0.40625
CCN(CC)CCOC(=O)C(C1CCCCC1)C2(CCCC2)O.Cl,1.0,0.9999999999999998,0.5416666666666666,0.5,0.5416666666666666,0.5416666666666666,,,,0.5,0.5416666666666666,0.5416666666666666,0.5,0.5416666666666666,0.5416666666666666,0.541958041958042,0.698198540589845,0.5416666666666666
CCN(CC)CCOC(=O)C(CC(=O)O)O,1.0,0.9999999999999998,0.8125,0.5,0.8125,0.8125,,,,0.5,0.8125,0.8125,0.5,0.8125,0.8125,0.5512820512820513,0.8162851037851038,0.8125
CC[N+](CC)(CCOC(=O)C(C)C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)CC(=O)NC3=C(C=CC=C3C)C,0.9753846153846153,0.939533756841449,0.34210526315789475,0.5,0.34210526315789475,0.34210526315789475,,,,0.5,0.34210526315789475,0.34210526315789475,0.5,0.34210526315789475,0.34210526315789475,0.39230769230769236,0.36357540259536625,0.34210526315789475
CC[N+](CC)(CCOC(=O)C1CCC(CC1)(C#N)C2=CC(=C(C=C2)OC)OC3CCCC3)CC4=C(C=C(C=C4)C(CNC(C)(C)C)O)OCOP(=O)(O)[O-],0.9849906191369606,0.939533756841449,0.24074074074074073,0.5,0.24074074074074073,0.24074074074074073,,,,0.5,0.24074074074074073,0.24074074074074073,0.5,0.24074074074074073,0.24074074074074073,0.40712945590994365,0.2119638892710506,0.24074074074074073
CCCC(C1=CC=CC=C1)C(=O)OCCN(CC)CC.Cl,1.0,0.9999999999999998,0.6190476190476191,0.5,0.6190476190476191,0.6190476190476191,,,,0.5,0.6190476190476191,0.6190476190476191,0.5,0.6190476190476191,0.6190476190476191,0.5432692307692307,0.7200093428838368,0.6190476190476191
CCN(CC)CCOC(=O)C1C2=CC=CC=C2C(C3=CC=CC=C13)C(=O)OCCN(CC)CC.Cl,1.0,1.0,0.7428571428571429,0.5,0.7428571428571429,0.7428571428571429,,,,0.5,0.7428571428571429,0.7428571428571429,0.5,0.7428571428571429,0.7428571428571429,0.5213675213675214,0.8209268107458152,0.7428571428571429
CCN(CC)CCOC(=O)C(C)C1=CC=C(C=C1)CC2CCCC2OC(=O)C(CSCC3=CC=CC=C3)N(C)C,1.0,0.9999999999999998,0.325,0.5,0.325,0.325,,,,0.5,0.325,0.325,0.5,0.325,0.325,0.36752136752136755,0.3007934373318989,0.325
