SMILES,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline
CC1=NC=C(N1CCOC(=O)NC(C(Cl)(Cl)Cl)NCC2=CN=CC=C2)[N+](=O)[O-],1.0,1.0,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,0.9999999999999999,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.3611111111111111,0.3940476190476191,0.35714285714285715
CN(CC1=CC=CC=C1)C(C(Cl)(Cl)Cl)NC(=O)C2=CC=C(C=C2)Br,1.0,1.0,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,1.0,1.0,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,0.4857142857142857,0.5610455486542443,0.4166666666666667
C1=CC=C2C(=C1)C=CC=C2OC(C(Cl)(Cl)Cl)NC(=O)C3=CC=CC=C3O,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.39062500000000006,0.44079487179487176,0.38461538461538464
CCCCNC(C(Cl)(Cl)Cl)NC(=O)C=CC1=CC=CC=C1,1.0,1.0,0.47619047619047616,0.5,0.47619047619047616,0.47619047619047616,1.0,1.0,0.47619047619047616,0.5,0.47619047619047616,0.47619047619047616,0.5,0.47619047619047616,0.47619047619047616,0.390909090909091,0.5442857142857143,0.47619047619047616
C[NH+](C)CCC[NH2+]C(C(Cl)(Cl)Cl)NC(=O)C1=CC=C(C=C1)OC,1.0,1.0,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,1.0,0.9999999999999999,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,0.45769230769230773,0.5237812911725955,0.43478260869565216
CC(C)C1=CC(=C(C(=C1)C(C)C)NC(=O)NC(C(Cl)(Cl)Cl)OC2=CC=CC=C2OC(C(Cl)(Cl)Cl)NC(=O)NC3=C(C=C(C=C3C(C)C)C(C)C)C(C)C)C(C)C,1.0,1.0,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,,,,0.5,0.35714285714285715,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.34444444444444444,0.3866946778711484,0.35714285714285715
CCOC(=O)C1=CC=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)COC2=C(C=C(C=C2)Cl)Cl,1.0,1.0,0.30303030303030304,0.5,0.30303030303030304,0.30303030303030304,,,,0.5,0.30303030303030304,0.30303030303030304,0.5,0.30303030303030304,0.30303030303030304,0.3739130434782608,0.34628129117259554,0.30303030303030304
CC1=CC(=CC=C1)C(=O)NC(C(Cl)(Cl)Cl)NC2=C(C=CC(=C2)C(F)(F)F)Cl,1.0,1.0,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,,,,0.5,0.37037037037037035,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,0.4294117647058823,0.37237065766477534,0.37037037037037035
CCN(CC)C(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC1=CC=CC(=C1)C(=O)O,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,,,,0.5,0.38461538461538464,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.409375,0.40954487179487176,0.38461538461538464
C1=CC=C(C(=C1)C(=O)NC(C(Cl)(Cl)Cl)NC2=CC(=CC=C2)[N+](=O)[O-])[N+](=O)[O-],1.0,1.0,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,,,,0.5,0.37037037037037035,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,0.42058823529411765,0.42073667073667076,0.37037037037037035
