SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CCC(C(=O)OC(C)C)NP(=O)(O)OCC1(C(C(C(O1)N2C=CC(=O)NC2=O)C)O)N=[N+]=[N-],True,True,True,True,True,True
CCCN1C(=O)C(NC1=O)CC(=O)N2CCC3=C(C2)N=C(O3)C4=CC=CC=C4,True,True,True,True,True,True
C[Si](C)(C)C#CN1CCC(CC1)(C(=O)O)O,True,True,True,True,True,True
CC(=O)NC1=CC=C(C=C1)CNC(=O)C2=CSC(=C2)Br,True,True,True,True,True,True
COCC1=CC=CC=C1CNCCS(=O)(=O)C,True,True,True,True,True,False
C1C2C=CC1C3C2C(=O)OC(=N3)C4=CC=CC=C4,True,True,,True,True,True
C1CC(CN(C1)C(=O)C2=CC=C(O2)Br)N3CCNCC3=O.Cl,True,True,,True,True,False
COCC1=CC=CC=C1CNCCN2CCCCCC2,True,True,,True,True,False
C1CC2=C(C=C1)C3=C(N2C4=CC=CC=C4)C=CC(=C3)N5C6=C(C7=CC=CC=C75)C8=C(C=C6)C9=CC=CC=C9N8C1=CC2=C(C=C1)N(C1=CC=CC=C12)C1=CC=CC=C1,True,True,,True,True,True
CC1CS(=O)(=O)C2=C(N1)C=C(C=C2)C(=O)OC,True,True,,True,True,True
CC1CN(CC2=C1SC(=N2)OCC(F)F)CCC3CCC(CC3)NC(=O)C4=C5C=CC=NC5=CC=C4,True,True,,True,True,True
CC(C)C1=CC=CC=C1NC(=S)NN=CC2=CC3=C(C=C2)C4=NC=C(N4CS3)C5=CC=C(C=C5)OC(F)(F)F,True,True,,True,True,True
CCCCOC1=C(C=C(C=C1)C2C3=C(C(=O)N2C4=NC=CC(=C4)C)OC5=C(C3=O)C=C(C=C5)C)OCC,True,True,,True,True,True
CC(C)C(CCC(C)(C=C)O[Si](C)(C)C)I,True,True,,True,True,True
CC1=CC=CC=C1C2(CCOCC2)CN=C(N)NCCC3=CC=CC=N3.I,True,True,,True,True,False
CC(C(=O)N(C)C)NC1CCN(C1=O)C,True,True,,True,True,True
CC(=O)CC(=O)NC1=CC(=C(C=C1)C(=O)O)Cl,True,True,,True,True,True
C1CCC(C1)CCC(=O)N2CCN(CC2)C(=O)C3=NN(C4=C3CCCC4)C5=CC=C(C=C5)F,True,True,,True,True,True
CCC(CC1=CC(=CS1)Br)(C2=CC=CC=C2)O,True,True,,True,True,False
CC(C(=O)NC1C2CC3CC1CC(C3)(C2)O)N4CC5=CC=CC=C5C4,True,True,,True,True,True
CC1=CC=CC=C1NC(=O)COC(C)C,True,True,,True,True,True
CN1C=C(C=N1)NC2=NC=C(C(=C2)NCC3=CC=CC=C3F)C=N,True,True,,True,True,True
COC1=CC(=C2C=C1C(=O)NC3=C(C=C(C(=C3)C(=O)NC4=C(C=C(C(=C4)C(=O)NC5=CC(=C(C=C5OC)OC)NC(=O)C6=CC(=C(C=C6OC)OC)NC(=O)C7=CC(=C(C=C7OC)OC)NC2=O)OC)OC)OC)OC)OC,True,True,,True,True,True
C1C(C1NS(=O)(=O)C2=CC(=CS2)CO)C3=CC=CC=C3,True,True,,True,True,True
CCCCC1=NOC(=N1)C2=CC=C(S2)N,True,True,,True,True,True
C=CCCCCOC(=C)N,True,True,,True,True,True
CN1CCN(CC1)S(=O)(=O)CCCCCCN=C(NC#N)NC2=CC=NC=C2,True,True,,True,True,False
C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C4=C(C=CC=C4P(C5=CC=CC=C5)C6=CC=CC=C6)COC(=O)NC(COCC(=O)O)(COCC(=O)O)COCC(=O)O,True,True,,True,True,True
CC#CCCCOCCOCCOC1=CC=C(C=C1)NC(=O)OC(C)(C)C,True,True,,True,True,False
C1=CC=C(C=C1)CONCC2=CC=C(C=C2)CO,True,True,,True,True,False
CCC1=CC=C(O1)C(=O)N2CCC3CCC(C2)N3,True,True,,True,True,True
C1CC1C2CN(CC2C(=O)O)C(=O)CC3=CC4=C(C(=C3)Cl)OCCO4,True,True,,True,True,True
C1CCC(CC1)CC(C(C(C(C(F)(F)F)(F)F)(F)F)O)N,True,True,,True,True,True
C1=CC=C(C(=C1)NS(=O)(=O)C2=CNC3=C2C=CC(=C3)N)Br,True,True,,True,True,True
COC1CCN(C1)C2=C3C=C(C=CC3=NC=C2)C4=CN(N=C4C(F)(F)F)C(C5=CC=CC=C5)(C6=CC=CC=C6)C7=CC=CC=C7,True,True,,True,True,True
C1CN(CCN1)C(=O)NC2=CC(=C(C=C2)Br)C(=O)O,True,True,,True,True,True
CC12CC(C=C1)C3C2(C(=O)N(C3=O)C4=CC=CC=C4)CC=C,True,True,,True,True,True
COC(=O)C1=C(C2(C=CC1(O2)COC(=O)ON3C(=O)CCC3=O)C4=CC=CC=C4)C(=O)OC,True,True,,True,True,True
CCCN1C(=NN=C1C2=C(C(=CC=C2)Cl)Cl)CO,True,True,,True,True,True
CC(CCC1=NC2=C(N1C)C=CC(=C2)CN)O,True,True,,True,True,True
C1=CC=C(C(=C1)C=CC=NNC2=CC=C(C=C2)C(=O)O)O,True,True,,True,True,False
CC(=C(C(=O)O)N(C=O)N)C,True,True,,True,True,True
