SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CCC(CC(=NO)N)OC1=CC=CC=C1,True,True,True,True,True,False
C(C(COP(=S)(O)O)O)O,True,True,True,True,True,False
CC(C)(C)OC(=O)N1CCC(C1)NCC2=CSC3=C(C4=C(C(=C23)NCCN(C)C)C(=O)C5=CC=CC=C5C4=O)OC,True,True,True,True,True,True
C1CC2C(C1O)C(CC(CO2)CCCC(=O)O)C=C(CCOC3=CC=CC=C3)O,True,True,True,True,True,True
CC1CC2=C(N1C(=O)C(C)(C)C)C=CC(=C2)CC(C)N,True,True,True,True,True,True
CC1=C(C(=O)NN=C1C=CC2=CC=CC=C2C(F)(F)F)C#N,True,True,,True,True,True
CCC1=CC(=CC(=C1NC(=O)CC)CC)Br,True,True,,True,True,True
CC(C)(C)OC(=O)N1CCC(CC1)CC(CN(CC2=CN=CN2C)C3=CC=C(C=C3)C#N)NS(=O)(=O)C4=CN(C=N4)C,True,True,,True,True,True
CC1=CC(=C(N=C1)C(CC2=NC3=CC=CC=C3C=C2)O)C,True,True,,True,True,True
CC(C1=CC=C(C=C1)OC)N(C)C(=O)CC2=CC(=CC=C2)C(F)(F)F,True,True,,True,True,True
C1=CC=C(C(=C1)NC=C2C(=O)N=C3C=CC=CC3S2)Cl,True,True,,True,True,True
CCN1C=C(C=N1)C(CC2=CC=C(C=C2)F)NN,True,True,,True,True,True
CC(C)N(CN1C2=C3C(=CC(=C2N=C1C(F)(F)F)Br)OC(C(O3)(F)F)(F)F)C(=O)OC,True,True,,True,True,True
CCCCN(CCCC)S(=O)(=O)C1=CC2=C(C=C1)OC(=C2C)C(=O)NC3=CC(=C(C=C3)F)F,True,True,,True,True,True
CN1C2=C(C=N1)C(=CC(=O)N2)C(F)(F)F,True,True,,True,True,True
CCCC1=NC2=C(C(=CS2)C3=CC=CS3)C(=O)N1CCCC(=O)N,True,True,,True,True,True
CCN(CC)C(=O)C1=CC(=CC=C1)NC(=O)CSC2=NN=C(N2C3=CC=CC=C3)C4=C(OC=C4)C,True,True,,True,True,True
B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)CCCCCCOCC3(COC3)CC,True,True,,True,True,False
CN(CCOC)C(CN)C1=CC(=CC(=C1)F)F,True,True,,True,True,True
CCC12C3C(C(N1C(=O)N(C2=O)C4=CC(=CC=C4)F)C5=CC=C(C=C5)Br)C(=O)N(C3=O)C(C)(C)C,True,True,,True,True,True
COC1=CC=C(C=C1)OC2=C(C=C(C=C2)S(=O)(=O)C3(CCC4(C3)CCNCC4)C(=O)NO)Cl,True,True,,True,True,True
C1=CC(=CC=C1C2=CC=C(C=C2)OCCC(=O)O)C(F)(F)F,True,True,,True,True,True
CC1=C(C=CC2=C1C=C(N2CC(C)N3CCN(CC3)S(=O)(=O)C)C#N)CN4CCC(CC4)NC5=C6C=C(SC6=NC(=N5)OC)CC(F)(F)F,True,True,,True,True,True
C1=CC=NC=C1.C1=CC=NC=C1.C1=CC=NC=C1.C1=CC=NC=C1.O.O.[Cl-].[Cl-].[Ni+2],True,True,,True,True,False
