SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CCNC(=NCCC1=CC(=C(C=C1)OC)OC(F)F)NCC#C.I,True,True,True,True,True,True
CCS(=O)(=O)C1=CC=CC(=C1)OC(F)(F)F,True,True,True,True,True,True
CC.CC(=C)C=O.CC(=CC=C(C)OC(=O)C1=CC=C(C=C1)OCCCCOC(=O)C=C)OC(=O)C2=CC=C(C=C2)NC,True,True,True,True,True,True
C1CC2=C(C=CC(=C2)OC3=NC=C(C=C3)N)OC1C4=CC(=C(C=C4)F)Cl,True,True,True,True,True,True
CC1=C(C=C(C=C1)NC(=O)CSCCCN)C,True,True,True,True,True,False
CCC(C(=O)NCC)N(CC1=CC=C(C=C1)OC)C(=O)CCCN(C2=CC3=C(C=C2)OCO3)S(=O)(=O)C,True,True,,True,True,False
CC1(CCC(CC1)N(C2CC(N(C2)C(=O)C3CN(CC3C4=CC=C(C=C4)Cl)C(C)(C)C)C(=O)N(C)C)C(=O)C(C)(C)C(=O)N)C,True,True,,True,True,True
CCCNC(CC1=CC=CS1)C2=CC(=C(S2)Br)C,True,True,,True,True,False
CC(C)(C)OC(=O)NC1=C(C=C(C=C1)C(=O)C=C)Cl,True,True,,True,True,True
CC(C)(C)OC(=O)N1CC(CC1(CC2=CC=CC=C2)COC)C#N,True,True,,True,True,False
CCCCCCCCNCC(CN1CCCC1)O,True,True,,True,True,False
CCC=CCC=CCC=CCC=CCCC(=O)OCC(COC(C(=O)[O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC,True,True,,True,True,False
C=C(CNC1=CC=CC=C1C(F)(F)F)C(=O)O,True,True,,True,True,True
CC1=CC=C(C=C1)C2C(N2)C3=CC(=C(C(=C3)OC)OC)OC,True,True,,True,True,True
CCC(C#CC)C1=CC=C(C=C1)OCC2=CC3=C(C=C2)SC=C3C4=CN=C(C=C4C)OC,True,True,,True,True,True
CN(CCCCCO)C1=NC(=NC(=N1)N2CCCCC2)Cl,True,True,,True,True,False
CCOCCCNC(=O)C(=CNC(C)(C)CO)C#N,True,True,,True,True,False
CC1=C(C(N2C(=NC(=N2)SCC3=CC=CC=C3Cl)N1)C4=CC=C(C=C4)OCC5=CC=CC=C5Cl)C(=O)C,True,True,,True,True,False
CC(C)(C)[Si](C)(C)OCCCOC1=C(C=C(C=C1)C(=CC2CCOCC2)C3=NC(=C(C=C3)C4CC4)OC)Cl,True,True,,True,True,False
CCCCCCCCCCCCCCN[Si](C)(C)C.Cl,True,True,,True,True,False
CC(=NNC(=O)CSCC1=CC=CC=C1Br)C2=CC3=C(C=C2)NC(C4C3C=CC4)C5=C(C(=CC=C5)OC)OC,True,True,,True,True,True
CCN1C2=C(C=CC(=N2)C)C3=C(C1=O)C(CC(O3)(C)CC=NO)C=C(C)C,True,True,,True,True,True
COC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4CC3)N=C5N2C(=O)C(=CC6=C(NC7=CC=CC=C76)C8=CC=CC=C8)S5,True,True,,True,True,True
CC1=CC2=C(C=C1)[N+](=C(C2=O)C3=CC=C(C=C3)C(F)(F)F)[O-],True,True,,True,True,True
