SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CCC1=NC(=C(C=C1)C(=O)NC2=NN=C(S2)C(F)(F)F)C,True,True,True,True,True,True
CS(=O)(=O)NC1CCCN(C1)C(=O)CC2CCCNC2,True,True,True,True,True,True
CCOC(=O)C1=C(N=C2C=CC(=CN2C1=O)C)O,True,True,True,True,True,True
CC1CCC2=CC=CC3C2(C3)N1C(=O)C,True,True,True,True,True,True
CCCCC1=C(C(=O)N(C2=NC(=NN12)C)C3CCC(CC3)O)CC4=CC=C(C=C4)C5=CC=CC=C5C#N,True,True,True,True,True,True
C1=CC(=C(C=C1C(F)(F)F)C(F)(F)F)OC(F)F,True,True,,True,True,True
CC(CCC=C(C)CO)C1CCC2(C1(CC(C3C2=CCC4C3(C(CC(C4(C)C)O)O)C)O)C)C,True,True,,True,True,True
CC(C)(C1=CC=CC=C1)C(=O)C2CCOC3(C2)CCSC3,True,True,,True,True,False
CC1=CC(=CC=C1)C(=O)N2CCCN(CC2)C(=O)CC3=C(C4=CC=CC=C4N=C3C)C5=CC=CC=C5,True,True,,True,True,True
CC1CN(CCS1)C2=NC(=C(S2)C)C(=O)OC,True,True,,True,True,True
CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)C3=NC4=CC=CC=C4O3)C(=O)ON5C(=O)CCC5=O,True,True,,True,True,True
C1CC1(C2=CC=C(C=C2)Br)C(=O)OCC3=CC=C(C=C3)N4C=CC=N4,True,True,,True,True,True
C1C2=CC(=C(C=C2NC1=O)Cl)C(=O)C3=CC=CC=C3Br,True,True,,True,True,True
CCNC(=O)C(CCC1=CC=CC=C1)NC(=O)C2=CC3=C(C=C2)NC(=C3)C4=CC(=NC5=C4NC(=N5)C)N,True,True,,True,True,True
COC(=O)C1=CC2=C(CCCCC2)C=C1,True,True,,True,True,True
CC1=C(C(=CC=C1)NC(=CC(=O)C2=CC=C(C=C2)OC)C)C,True,True,,True,True,True
CN(CC1=CC=CC=C1)C(=O)C(CC2=CC=CC=N2)C3=CC=CC=C3,True,True,,True,True,False
C1CCC(C1)C2=C(N=C(NC2=O)C3CCS(=O)(=O)C3)O,True,True,,True,True,True
CC(C(=O)NC(C)(C)C(C)(C)O)Cl,True,True,,True,True,True
CC1=CC(=CC=C1)C2=CC(=CN=C2)C(=O)NCC(C(C)C)O,True,True,,True,True,True
CCC(C)C(=O)OC1(C(CC2CCCC1C2)C)C(C(C)(C(F)(F)F)O)(F)F,True,True,,True,True,True
CS(=O)(=O)N(CCO)CC1=CC=C(C=C1)CN2CCCCC2,True,True,,True,True,False
CCS(=O)(=O)NC1CCC2(CC1)CCN(CC2)CC3=CNC=C3,True,True,,True,True,False
CCC1=CC=CC=C1N(CC(=O)NC2=CC=CC=C2C(=O)NCC3=CC=CC=C3)S(=O)(=O)C,True,True,,True,True,True
CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3N2,True,True,,True,True,True
CCOC(=O)C1=C(C=CC(=C1N)OCC2=CC=CC=C2)C(=O)C,True,True,,True,True,True
CC(C)CC(C)(C)C(=O)OCC(CO)N(C)I,True,True,,True,True,True
C1=CC=C(C=C1)C2=CC3=C(C=C2)N(C4=C3C5=C(C=C4)N(C6=CC=CC=C65)C7=CC=CC=C7)C8=CC=C(C=C8)C9=NC(=NC(=N9)C1=CC=CC=C1)C1=CC=CC=C1.C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC=C(C=C3)N4C5=C(C6=CC=CC=C64)C7=C(C=C5)N(C8=CC=CC=C87)C9=CC1=CC=CC=C1C=C9)C1=CC=CC=C1.C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC(=CC=C3)N4C5=C(C6=CC=CC=C64)C7=C(C=C5)N(C8=CC=CC=C87)C9=CC1=CC=CC=C1C=C9)C1=CC=CC=C1.C1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC4=CC=CC=C4C=C3)C5=CC=C(C=C5)N6C7=C(C8=CC=CC=C86)C9=C(C=C7)N(C1=CC=CC=C19)C1=CC=CC=C1,True,True,,True,True,True
CCOCCNC(=O)CCN1C(=O)CC(C1=O)SC.N=P,True,True,,True,True,True
CC1=C(C=CC(=C1)C=C(C)C(C)NC)F,True,True,,True,True,True
CC1(CC1)CCCN2C=C(C(=N2)N)Br,True,True,,True,True,True
CC1CCC(C2(C1)C=CC3=C(O2)C=C(OC3=O)C)C(C)C,True,True,,True,True,True
CC1=CC=CC=C1N2C(=C(C=C2C3=CC=C(C=C3)Cl)C(=O)NC4CC4)C,True,True,,True,True,True
CC1CCOC1C(C2=CC=C(C=C2)OC)NC,True,True,,True,True,True
C1CC(CC1CN2CCC(CC2)CCCC3=CC=CC=C3)NC(C4=CC=CC=C4)C(=O)O,True,True,,True,True,True
CC(C(COCC(C(C(F)(F)F)F)(F)F)(F)F)N1CCN(CC1)C,True,True,,True,True,True
CC1=NN(C(=O)C1C(=O)CC2=CC(=CC=C2)C(=C(C)C)F)C3=CC=C(C=C3)OC(F)F,True,True,,True,True,True
CC1=C(C=C(C=C1)C(CC(=O)O)C2=C(C3=NN=C(N3C=C2)C(F)(F)F)C)CN4CC(OC5=CC=CC=C5S4=O)(C)C,True,True,,True,True,True
CC1=CC(=C(C=C1)C(=O)C2=CNC3=C2C=CC(=C3)C)C,True,True,,True,True,True
CCOC1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC=C2OC(F)(F)F,True,True,,True,True,True
CC1=CC(=C(C=C1C)N(C)C2=C(C=C(C=C2)C#N)N)C,True,True,,True,True,True
CC1=CC2=CC(=C1NC(=O)C3=CC(=CC=C3)C(=O)NC4=C(C=C(C=C4C)C5(CCCCC5)C6=CC(=C(C(=C6)C)NC(=O)C7=NC(=CC=C7)C(=O)NC8=C(C=C(C=C8C)C9(CCCCC9)C1=CC(=C(C(=C1)C)NNC(=O)C1=CC(=CC=C1)C(=O)NNC1=C(C=C(C=C1C)C1(CCCCC1)C1=CC(=C(C(=C1)C)NC(=O)C1=CC=CC(=N1)C(=O)NC1=C(C=C(C=C1C)C1(CCCCC1)C1=CC(=C(C(=C1)C)NC(=O)C1=CC=CC(=C1)C(=O)NC1=C(C=C(C=C1C)C1(CCCCC1)C1=CC(=C(C(=C1)C)NC(=O)C1=CC=CC(=N1)C(=O)NC1=C(C=C(C22CCCCC2)C=C1C)C)C)C)C)C)C)C)C)C)C)C)C,True,True,,True,True,True
CCCCCCCCCCCCCCCCCCCC=CCCC=CCCC=CC(C(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)NC(=O)CCCCCCCC=CCC=CCCCCCC)O,True,True,,True,True,False
CC(=O)NC(CC(=O)N1CCCC1CC(=O)O)C2=CC=CC=C2,True,True,,True,True,True
CC1=CC(=CC=C1)OCC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NCCCCC3,True,True,,True,True,False
COC1=CC=CC(=C1)NC2=CN=NC(=N2)NCC3=CC=CC=C3F,True,True,,True,True,True
