SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CC1(CCCOC1)NC(=O)NC2=CN=C(C=C2)C(=O)O,True,True,True,True,True,True
CC(C1=C(C=C(C=C1)F)Cl)NCC2=CC(=CC=C2)CO,True,True,True,True,True,True
CC1=C(C=CC(=C1)NC(=O)C)N2C(=C(C(C(=C2N)C#N)C3=CC=CC=C3)C(=O)OC)C(=O)OC,True,True,True,True,True,True
CCCC(=O)OC1=CC=C(NC1=O)C(=O)O,True,True,True,True,True,True
CC1=C(C=CC(=C1)Br)C(=O)NC2=C(C=CC(=C2)Cl)Br,True,True,True,True,True,True
C1CN(CC2=C1C(=CC=C2)C(=O)O)C(=O)CCNC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35,True,True,,True,True,True
CC1C2(CC(CC(O2)(CO1)C)NC(=O)C)CC=C,True,True,,True,True,True
CC1(CCN(CC1)C2=NC=C(NC2=O)CC3=C(C(=CC=C3)Cl)Cl)CN,True,True,,True,True,True
CCCCOCC=CC(=O)N=C1CCC=NN1C2=CC=CC=C2,True,True,,True,True,True
CC1=CC2=C(C=C1)N=C(S2)N(CCCN3C=CN=C3)C(=O)C4=C(C=C(C=C4)F)Cl.Cl,True,True,,True,True,True
CC(C)C(CCCNCC1=CC(=CS1)Br)CCN,True,True,,True,True,True
CC1=CC(=CC=C1)C2=CC3=C(N=C2)SC4=CC=CC=C43,True,True,,True,True,True
CC1=CC(=CC=C1)CN2CCN(CC2)C(=O)NCC3=CC4=C(C=C3)OCCO4,True,True,,True,True,True
CC1=NC2=C(C=CC=C2S(=O)(=O)NC(=O)C3=CC4=CC(=C(C=C4O3)N(C)C)F)C=C1,True,True,,True,True,True
C1C(C(C(CS1(=O)=O)N2C3=C(C=C(C=C3)C(F)(F)F)OC4=C2C=CC(=C4)C(F)(F)F)O)N,True,True,,True,True,True
CSC1=C(N=C(N=C1N)Cl)N,True,True,,True,True,True
C1CCC2C(C1)CCCN2C(=O)CN3N=C(N=N3)C4=CC=C(C=C4)Cl,True,True,,True,True,True
CCCN1CCC(CC1)N(C)C(=O)C2=CC=CO2,True,True,,True,True,True
CCOC(=O)C1=CN=C(N=C1C)NCC2(CCC2)C,True,True,,True,True,True
C1CC12CC3CC(C2)N3C(=O)C4=CC=CC=N4,True,True,,True,True,True
CC1=CC2=C(C(=C1)NC(=O)C3=CC=CC=C3)N=C(C=C2C)C,True,True,,True,True,True
CCOC1=CC=C(C=C1)C(=C2C(N(C(=O)C2=O)C3=NC4=C(S3)C=C(C=C4)OC)C5=CC(=C(C(=C5)OC)OC)OC)O,True,True,,True,True,True
C1=CC(=C(C=C1NCC2=NN=C(O2)C3=CC=C(O3)Br)Cl)C(=O)N,True,True,,True,True,True
CC1=CC=C(C=C1)CN2C(C3=C(C2=O)OC4=C(C3=O)C=C(C=C4)C)C5=CC=C(C=C5)C,True,True,,True,True,True
CC(C)C1=CC(=NN1)NC(=O)C2=CC=CC(=C2)CSC,True,True,,True,True,True
C1=CC(=CC=C1C2=CC(=CS2)CC3=CSC=C3)Cl,True,True,,True,True,False
CC1=C(C=CC(=C1)NC(=O)NCC2CCOCC2)Br,True,True,,True,True,True
COC1=CC=C(C=C1)CC(=O)NCC2=NN=C(N2C3=CC=CC(=C3)C(F)(F)F)SCC(=O)NC4=CC=CC=C4C(F)(F)F,True,True,,True,True,True
CN(C1CCCCC1)C(=O)C2=CC=C(C=C2)CSC3=C(C=CC4=C3CCNCC4)Cl,True,True,,True,True,True
CC1=CC=C(C=C1)C(C)C.C1=CC=C(C=C1)C(C(C2=CC=CC=C2)NC(=O)C3=CC=C(C=C3)[S-](=O)=O)N.Cl[Ru+],True,True,,True,True,True
CC1(CCCN(C1)C2=NC(=NC3=C(C(=NC=C32)C4=C5C(=CC(=C4)O)C=CC(=C5C#C)F)F)OCC67CCCC6N(CCC7)C8CC8)O,True,True,,True,True,True
CN(C1=CC=CC=C1)C2=NC(=CC(=N2)NCC3=CC=CO3)C4=CC=CC=C4,True,True,,True,True,False
CCCC[Sn](CCCC)(CCCCCC[N+]1=CN(C=C1)CC)CC=C.[Br-],True,True,,True,True,True
C1CCC2=C(CC1)SC(=N2)NC(=O)C3=CC=CC=C3NC(=O)C4=CC=CS4,True,True,,True,True,True
CC1=CC(=C(C=C1)OC)S(=O)(=O)N2CCC(CC2)N(CC3=CC4=C(C=C3)C=CC(=C4)C(=N)N)S(=O)(=O)C,True,True,,True,True,True
C1=CC(=CC=C1C=CC2=NC(=NO2)C3=NC=C(C=C3)F)N,True,True,,True,True,True
CCNC(=NCC1=CC2=C(C=C1)OCO2)NCCN(C)CC(F)(F)F,True,True,,True,True,False
CCOC1=CC=CC=C1C(=O)C2=CC(=NC(=C2)C)C,True,True,,True,True,True
C1CN(CCC12OCCO2)C(=O)CNC3=CC=C(C=C3)C#N,True,True,,True,True,True
C1C(C1C(=O)NCC2=CC=C(C=C2)C(=O)NCC(=O)N)C3=CC=CC=C3C(F)(F)F,True,True,,True,True,True
C1=C(N(C=C1[N+](=O)[O-])CCC(=O)N)C(=O)O,True,True,,True,True,True
CC[Al-](C)(C)C,True,True,,True,True,False
CCC1=CC2=C(C=C1O)OC(=O)C=C2CN(CC3=CC=CO3)CC4=CC=CO4,True,True,,True,True,True
CC(=O)OC1=CC=C(C=C1)CC2COCC3=NC4=C(N23)C5=CC=CC=C5[N+](=C4)[O-],True,True,,True,True,True
CCC(CO)(C1=CC=CC=C1F)NC2=CC=CC=C2F,True,True,,True,True,True
CC1CCCC(C1C)NC(=O)C2=NN(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)OC,True,True,,True,True,True
C1CN(CC2=C1ON=C2C3=CC(=CC=C3)F)CCN4C=C(C=N4)Cl,True,True,,True,True,True
CC1=CC=C(C=C1)N=C(CC(SSC2=CC=CC3=CC=CC=C32)SSC4=CC=CC5=CC=CC=C54)OC6=CC=CC7=CC=CC=C76,True,True,,True,True,False
CC1(C2=C(C=C(C=C2)C3=NC(=NC(=N3)C4=CC=CC=C4)N5C6=CC=CC=C6C7=C5C=C8C(=C7)C9=CC=CC=C9N8C2=CC=CC=C2)C2=CC=CC=C21)C.CC1(C2=C(C=C(C=C2)C3=NC(=NC(=N3)C4=CC=CC=C4)N5C6=CC=CC=C6C7=C5C8=C(C=C7)N(C9=CC=CC=C98)C2=CC=CC=C2)C2=CC=CC=C21)C.C1=CC=C(C=C1)C2=NC(=NC(=N2)N3C4=CC=CC=C4C5=C3C6=C(C=C5)N(C7=CC=CC=C76)C8=CC=CC=C8)C9=C1C2=CC=CC=C2OC1=CC=C9.C1=CC=C(C=C1)C2=NC(=NC(=N2)N3C4=CC=CC=C4C5=C3C6=C(C=C5)N(C7=CC=CC=C76)C8=CC=CC=C8)C9=CC=CC1=C9SC2=CC=CC=C12,True,True,,True,True,True
C1CS(=O)(=O)CC1CC2=NC3=CC=CC=C3N2CC(COCC4=CC=CC=C4Cl)O,True,True,,True,True,True
