SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CC(C)(CC1CC(=C)C(=O)O1)C=CC=CCOCOCCOC,True,True,True,True,True,True
CCCCN1C(=O)C(NC(=O)C12CCN(CC2)CC3=CN=C(C=C3)OC4=CC=CC=C4)CC5CCCCC5,True,True,True,True,True,True
CC1=NC(=NO1)C2CCCCN2C(=O)C3CCCCO3,True,True,True,True,True,True
CCCCN(CC)C(=O)SCCC.CCCCN(CC)C(=O)SCCC.CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-].CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],True,True,True,True,True,True
CN1C(=CC(=N1)NCCC2COCCN2)OC,True,True,True,True,True,True
CC(C1=CC2=C(C=C1)N(C=N2)C)(F)F,True,True,True,True,True,True
CN(C)NCC1=CC=CC2=C1NCCC2,True,True,True,True,True,True
C1=CC=C(C=C1)N2C=C(C=N2)C3=NC4=C(N3)C=NN4CC5=CN=CC=C5,True,True,True,True,True,True
CC1=CC(=CC(=C1C)C#N)C(=O)N,True,True,True,True,True,True
C1C(CN(C1=O)C2=C(C=C(C=C2)[N+](=O)[O-])C#N)CS(=O)(=O)F,True,True,True,True,True,True
CCC(C)SC1=CC=C(C=C1)OCCN(C(=O)C(=O)C)C(=O)OCC,True,True,True,True,True,True
CCC1CCCC(C1)C2=NC(=C(C(=N2)Cl)I)CC(C)C,True,True,True,True,True,True
CCCN(C1CC1)C2=NC(=NC(=C2)C(F)(F)F)NC,True,True,True,True,True,True
C1CCC(CC1)(C2=CC=CC=C2)C(=O)NC3CC4C(=O)NCC(=O)N4C3,True,True,True,True,True,True
C1C=CC=[C-]1.C1=CC=C1.C1=CC(=CC=[C-]1)Br.[Co+2],True,True,True,True,True,True
CCC(C)(C)NC(=O)C(C)N1CCC(C1)C(C)N,True,True,True,True,True,True
CC(COC)NC(=S)NC(C)C(=O)NC,True,True,True,True,True,True
C1=CC=C(C=C1)C2=CC=C(C=C2)CN3C=CC(=N3)CCCCCCC(=O)NO,True,True,True,True,True,True
C(C=CC=CC=O)C(C(C(CC(CC(=O)O)O)O)O)O,True,True,True,True,True,True
CN=C(NCCN1CCS(=O)(=O)CC1)NCC2=CC=C(C=C2)COCC(F)(F)F,True,True,True,True,True,True
CCNC1=NC(=NC(=N1)OC2CCCC(C2)C)N(C)C,True,True,True,True,True,True
CC(C1=C(C=CC=C1F)F)NC(=O)C2=CC(=CN2C)Br,True,True,True,True,True,True
CCOP(=O)(OCC)OC1CCCC=C1C2=CC3=C(C=C2)OCO3,True,True,True,True,True,True
CCOC(=O)C1=C(N=C(C(=C1)C#N)SCC(=O)NC2=C(C=CC(=C2)F)C)C,True,True,True,True,True,True
CNCCCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=CC=C2)C3CC(=NN3C4=C(C=C(C=C4)F)F)C(C(F)(F)F)(F)F,True,True,True,True,True,True
