SMILES,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline
CC1(CC(=O)C2C(C1)(C3C2(CC(CC3=O)(C)C)C)C)C,,,,,,,,,,,,,,,,,,
CCN1C(=O)NC(C2C1(CC(CC2=O)(C)C)O)C3=CC(=CC=C3)C(F)(F)F,1.0,1.0,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.9583333333333333,0.9537037037037038,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444
CCOC(=O)C.CC1(CC(=O)C(C(C1)(C)N=C=O)N=C=O)C.C(CC(C(F)(F)F)(C(F)(F)F)F)CO,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.9999999999999999,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
CC(C)C(=O)CC(C)(C)CC(C)(C)[NH+]1C(=O)C=CC1=O.[I-],1.0,0.9999999999999999,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.9642857142857143,0.9761904761904762,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
CC(C)C(=O)CC(C)(C)CC(C)(C)CC(=O)NC(CSC(C)C)C(=O)O,1.0,0.9999999999999999,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,1.0,1.0,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384
CC(=O)OC12CC(CC(=O)C1C3C2CCCCCC3)(C)C,1.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714
CC1(CC(=O)C(C(C1)(C)OC#N)OC#N)C,1.0,1.0,0.75,0.5,0.75,0.75,1.0,1.0,0.75,0.5,0.75,0.75,0.5,0.75,0.75,0.5,0.75,0.75
CC1(CC(=O)C2C(C1)(O2)CC(=O)C3=CC=C(C=C3)Cl)C,1.0,1.0,0.55,0.5,0.55,0.55,1.0,1.0,0.55,0.5,0.55,0.55,0.5,0.55,0.55,0.5,0.55,0.55
CC1=C(C=CC=C1C(=O)O)C(=O)O.CC1(CC(=O)C2C(C1)(O2)C)C,1.0,1.0,0.4583333333333333,0.5,0.4583333333333333,0.4583333333333333,0.9090909090909092,0.9015151515151516,0.4583333333333333,0.5,0.4583333333333333,0.4583333333333333,0.5,0.4583333333333333,0.4583333333333333,0.5,0.4583333333333333,0.4583333333333333
CCN1C(=O)NC(C2C1(CC(CC2=O)(C)C)O)C3=CC=C(C=C3)F,1.0,1.0,0.5,0.5,0.5,0.5,0.9583333333333333,0.9583333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CC1(CC(=O)C(C(C1)(C)C)Br)C,,,,,,,,,,,,,,,,,,
CCN1C(=O)NC(C2C1(CC(CC2=O)(C)C)O)C3=CC(=CC=C3)F,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CC1(CC(=O)C2C(NC(C2(C1)C)C3=CC=CC=C3)C4=CC=CC=C4)C,1.0,1.0,0.48,0.5,0.48,0.48,0.9583333333333333,0.9566666666666667,0.48,0.5,0.48,0.48,0.5,0.48,0.48,0.5,0.48,0.48
CCCCC(CC)CO.CCOC(=O)C.CC1(CC(=O)C(C(C1)(C)N=C=O)N=C=O)C,1.0,1.0,0.3870967741935484,0.5,0.3870967741935484,0.3870967741935484,0.9583333333333333,0.9489247311827957,0.3870967741935484,0.5,0.3870967741935484,0.3870967741935484,0.5,0.3870967741935484,0.3870967741935484,0.5,0.3870967741935484,0.3870967741935484
CC1(CC2=C(C(C3C(=O)CC(CC3(O2)O)(C)C)C4=C(C=CC=C4Cl)Cl)C(=O)C1)C.CC1(CC2=C(C(C3C(=O)CC(CC3(O2)O)(C)C)C4=C(C=CC=C4Cl)Cl)C(=O)C1)C,1.0,1.0,0.41379310344827586,0.5,0.41379310344827586,0.41379310344827586,0.8333333333333333,0.8045977011494253,0.41379310344827586,0.5,0.41379310344827586,0.41379310344827586,0.5,0.41379310344827586,0.41379310344827586,0.5,0.41379310344827586,0.41379310344827586
CC(C)C(=O)CC(C)(C)CC(C)(C)C(=O)C,1.0,0.9999999999999999,0.875,0.5,0.875,0.875,1.0,0.9999999999999999,0.875,0.5,0.875,0.875,0.5,0.875,0.875,0.5,0.875,0.875
CC1(CC(=O)C2C(C1)(C3C2(CC3)C(=O)OC)C)C,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.9166666666666667,0.9444444444444445,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
CCOC1=CC=CC=C1C2C3C(=O)CC(CC3(OC4=C2C(=O)CC(C4)(C)C)O)(C)C,1.0,1.0,0.4,0.5,0.4,0.4,1.0,1.0,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4
CC1C(C2=CC3=C(C=C2OC1(C)N4CCCC4)OCO3)C5=CC(=C(C(=C5)OC)OC)OC.CC1C(C2=CC3=C(C=C2OC1(C)OC)OCO3)C4=C(C=C(C=C4)OC)OC.CC(=O)C1C(C2=CC3=C(C=C2OC1(C)O)OCO3)C4=CC(=C(C(=C4)OC)OC)OC.CC1(CC(=O)C2C(C3=CC4=C(C=C3OC2(C1)O)OCO4)C5=CC(=C(C(=C5)OC)OC)OC)C.CC1(CC(C2=CC3=C(C=C2O1)OCO3)C4=CC(=CC=C4)OC)O,1.0,1.0,0.08275862068965517,0.5,0.08275862068965517,0.08275862068965517,0.9583333333333333,0.9235632183908046,0.08275862068965517,0.5,0.08275862068965517,0.08275862068965517,0.5,0.08275862068965517,0.08275862068965517,0.5,0.08275862068965517,0.08275862068965517
CC(=O)OC1CC2(C(C(O1)OC(=O)C)C(=O)CC(CC23OCCO3)(C)C)C,1.0,1.0,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145,0.9615384615384616,0.9601139601139602,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145
CC1=CC=C(C=C1)C(=O)CC23CC(CC(=O)C2O3)(C)C,1.0,1.0,0.55,0.5,0.55,0.55,1.0,1.0,0.55,0.5,0.55,0.55,0.5,0.55,0.55,0.5,0.55,0.55
