SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CC1=C(C(=O)C(=C(N1)C)Cl)C2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)Cl,True,True,True,True,True,True
CC(C)[Si](C#CC1=C(C=CC2=CC(=CC(=C21)C3=NC=C4C(=C3F)N=C(N=C4N5CC6CCC(C5)(N6C(=O)O)C(C)(C)C)S(=O)(=O)C)OCOC)F)(C(C)C)C(C)C,True,True,True,True,True,True
CCC1=CC=C(C=C1)CCNC(=NCCOC)NCC,True,True,True,True,True,True
C(C(C(F)(F)F)(Br)Br)O,True,True,True,True,True,True
CCCCCCCCCCCC1=CC=C(C=C1)C2=NC=C(C=N2)OCC(CC(C)CCC)F,True,True,True,True,True,True
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC(=NC(=N3)C4=CC=CC=C4)C5=CC(=CC(=C5)C6=CC7=C(C=C6)C8=CC=CC=C8O7)C9=CC=CC=C9,True,True,True,True,True,True
C1=CC=C2C(=C1)C=CC=C2C3=CC=CC=C3N(C4=CC=C(C=C4)C5=CC6=C(C=C5)C7=CC=CC=C7O6)C8=CC=C(C=C8)C9=CC=CC(=C9)C1=CC=C(C=C1)N1C2=CC=CC=C2C2=CC=CC=C21,True,True,True,True,True,True
CC1CCC(C(C1)CN(CCO)C2CCC2)N,True,True,True,True,True,True
C1C(CS1)SCCCCSCC2CS2,True,True,True,True,True,True
CCC(C)N(C(C1=CC=CC(=C1)C)C(=O)NCC(=O)OC)C(=O)C(C)NC(=O)OC(C)(C)C,True,True,True,True,True,True
C1CC1C#CC2=CC3=C(C=C2)C4=C(C3COC(=O)NCC(=O)O)C=C(C=C4)C#CC5CC5,True,True,True,True,True,True
CN(CC1CCC2=NC(=CN2C1)C(F)(F)F)CC3=C(C=C(C=C3)C#N)OC,True,True,True,True,True,True
CC1=C(SC(=N1)C)CC(=O)[O-],True,True,True,True,True,True
CCOC(=O)C1(C(N1S(=O)(=O)C2=CC=C(C=C2)C)C3=CC=CC4=CC=CC=C43)C(=O)OCC,True,True,True,True,True,True
CCO.CCO.O.[V],True,True,True,True,True,True
CCNC1=NC(=NC(=C1)C2=C(C=CS2)C)C(C)C,True,True,True,True,True,True
COC1=CC=C(C=C1)CCOC2=C(C=CC(=C2)C3CC(=O)OC4=C3C5=C(C=C4)C(=O)C(=CO5)C6=CC=CC=C6)OC,True,True,True,True,True,True
CS(=O)(=O)C1=CC=C(C=C1)C(=NN2CCCC2)C(=O)NC3=NC=NS3,True,True,True,True,True,True
COC1=C(C(=C(C=C1)Cl)C(=O)O)OC2CCCC2,True,True,True,True,True,True
C1CC2(CC(CN2C1)F)COC3=NC4=C(C(=NC=C4C(=N3)N5CCOCC6(C5)CC(C6)O)Cl)F,True,True,True,True,True,True
CC(C)(C)OC(=O)NCC1=CC(=C(C=C1)C2=CC=C(C=C2)Cl)CN3CCN4C(C3)CCC5=C4C=CC(=C5)C(=O)O,True,True,True,True,True,True
CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC4=C(C=C3)N5C(OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)C8CCCN8C(=O)C(C(C)C)NC(=O)OC)C9CCCCC9)NC(=O)OC,True,True,True,True,True,True
CC1=C(SC(=N1)C)C2=C(C(=NO2)N)C3=CC=C(C=C3)Cl,True,True,True,True,True,True
CCCC1=CC=C(O1)C2CC2C,True,True,True,True,True,True
CC1=CC(=C(C=C1)C)N(CC(=O)N(CC2=CC=CC=C2F)C(CC3=CC=CC=C3)C(=O)NC4CCCC4)S(=O)(=O)C5=CC=CC=C5,True,True,True,True,True,True
COC1=CC=CC(=C1)COC2=C(C=CN=N2)C(=S)N,True,True,True,True,True,True
COC(=O)CN1C(=O)N2C=C(C=CC2=N1)S(=O)(=O)N3CCCCCC3,True,True,True,True,True,True
CC(C)(C)N1CCC2=C(C1)C=CS2,True,True,True,True,True,True
COC1=CC2=CC=CC=C2C=C1C(=O)NN=CC3=CC(=C(C=C3)OC4=C(C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-])OC,True,True,True,True,True,True
CC1(COC(C(=N1)N)CC2=CC=CC=C2)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)Cl)F,True,True,True,True,True,True
C1=CC=C(C=C1)SC2=C(C=C(C=C2)COC(=O)NC3=CC(=CC=C3)Cl)[N+](=O)[O-],True,True,True,True,True,True
CCCCN(CCCC)C=CC(C)C1CCC(=CC1)C,True,True,True,True,True,True
CC(CC1=CC=C(C=C1)N2C=CC(=NC2=O)N)N3CCC4(CC3)CC(C4)NC(=O)OC(C)(C)C,True,True,True,True,True,True
CC(C)(C)OC(=O)N1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=C(C=C(C=C4)OC5=CC(=CC=C5)F)F)N,True,True,True,True,True,True
CC(C1=CC(=C(C=C1N)O)OC)N,True,True,True,True,True,True
COC(=O)C1=C2NC(=O)C3=CC=CC=C3N2C4=CC=CC=C41,True,True,True,True,True,True
CNC1=CC2=C(CC3=CC=CC=C32)C=C1,True,True,True,True,True,True
