SMILES,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline
CCCCCCCC(=O)NNC(=O)C(C)C1=CC(=C(C(=C1)C)O)C2CCCCCCCCCCC2,1.0,1.0,0.45714285714285713,1.0,1.0,0.45714285714285713,0.9375,0.9321428571428572,0.45714285714285713,1.0,1.0,0.45714285714285713,0.5,0.45714285714285713,0.45714285714285713,0.5,0.45714285714285713,0.45714285714285713
CCCCCCCC(=O)NNC(=O)C(CC)CCCC,1.0,1.0,0.8,1.0,1.0,0.8,0.96875,0.9875,0.8,1.0,1.0,0.8,0.5,0.8,0.8,0.5,0.8,0.8
CCCCCCCC(=O)NNC(=O)C(C)C,,,,,,,,,,,,,,,,,,
CCCCCCCC(=O)NNC(=O)C1CCC(CC1)C2=CC=C(C=C2)CCCCC,1.0,1.0,0.5333333333333333,1.0,1.0,0.5333333333333333,1.0,1.0,0.5333333333333333,1.0,1.0,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333
CCCCCCCC(=O)NNC(=O)C1CC1C2=CC=CC=C2,1.0,1.0,0.7272727272727273,1.0,1.0,0.7272727272727273,0.96875,0.9829545454545454,0.7272727272727273,1.0,1.0,0.7272727272727273,0.5,0.7272727272727273,0.7272727272727273,0.5,0.7272727272727273,0.7272727272727273
CCCCCCCC(=O)NNC(=O)C1COC2=CC=CC=C2O1,1.0,1.0,0.6956521739130435,1.0,1.0,0.6956521739130435,0.90625,0.9429347826086957,0.6956521739130435,1.0,1.0,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435
CCCCCCCC(=O)NNC(=O)C(C)OC1=CC=CC=C1F,1.0,1.0,0.6956521739130435,1.0,1.0,0.6956521739130435,0.96875,0.9809782608695652,0.6956521739130435,1.0,1.0,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435
CCCCCCCC(=O)NNC(=O)C(CC)CC,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.5,0.8888888888888888,0.8888888888888888,0.5,0.8888888888888888,0.8888888888888888
CCCCCCCC(=O)NNC(=O)C1CCCCC1,1.0,1.0,0.8421052631578947,1.0,1.0,0.8421052631578947,0.96875,0.9901315789473684,0.8421052631578947,1.0,1.0,0.8421052631578947,0.5,0.8421052631578947,0.8421052631578947,0.5,0.8421052631578947,0.8421052631578947
CCCCCCCC(=O)NNC(=O)C(C)OC1=CC(=C(C=C1)C)C,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
