SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
C1CC2CC1C(N2)C(=O)NC(CC3=C(C=C(C=C3)C4=CC(=CO4)C(=O)N5CCC6C(=CC=N6)C5)F)C#N,True,True,True,True,True,True
CC1CC2(CSC(=NC2(CO1)C3=CC(=CC=C3)Br)NC(=O)C4=CC=CC=C4)C,True,True,True,True,True,True
C1CC(CCC1C(C2=NC(=NN2)Br)C(=O)O)(F)F,True,True,True,True,True,True
CCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O,True,True,True,True,True,True
CCC(C)N=NN(C)CC,True,True,True,True,True,True
CN(OC)S(=O)(=O)C1=C(C=CC(=C1)C(=O)NCC2=CN3CCCCC3=N2)Cl,True,True,True,True,True,True
COC(=O)C1=CC=C(C=C1)NC(=O)CCCC(=O)OCC(=O)NNC(=O)C2=CC=CC=C2Cl,True,True,True,True,True,True
CC1=CC(=NC=N1)N2CCCC2C(=O)O,True,True,True,True,True,True
CC1(C2=C(C=CC(=C2)C3=CC=CC=C3)C4=C1C=C(C=C4)C5=CC(=CC=C5)Cl)C,True,True,True,True,True,True
C1=CC=C(C=C1)CC(CC2=CC=CC=C2)C(=O)OC(CC(=O)N)C(=O)[O-],True,True,True,True,True,True
CC(C)CC(C(=O)NC(CC1=CC=C(C=C1)Cl)C(=O)N)NC(=O)C,True,True,True,True,True,True
CC1CNCCN1C2=NC(=O)N3CCCSC4=C3C2=CC(=C4C5=CC(=C(C=C5F)F)Cl)Cl,True,True,True,True,True,True
CN(CCCC=C)C(=O)C1=C(C=C(C=C1)Cl)N,True,True,True,True,True,True
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)OS(=O)(=O)[O-])CO)O)O)O)O,True,True,True,True,True,True
B(C1=C(C=CC(=C1)CN(C)CCOC)OC)(O)O,True,True,True,True,True,True
C1COC2=C(O1)C=CC(=C2)C=C(C#N)C(=O)NCC3=CC=CO3,True,True,True,True,True,True
C1=CC=C2C(=C1)N=C(S2)C3=CC=C(O3)C4=CC(=C(C=C4)Cl)[N+](=O)[O-],True,True,True,True,True,True
CN1C(=O)C2=C(N=C(CC(=N2)C3=CC=CC=C3)C4=CC=C(C=C4)Br)N(C1=O)Cl,True,True,True,True,True,True
CC1CCN(CC1)C(=O)CN2CCC3=C(C2C4=CC=CS4)C=CS3,True,True,True,True,True,True
CN1C=C(N=N1)CC2CCCC2Br,True,True,True,True,True,True
COC1=CC2=C(O1)N=CC=C2,True,True,True,True,True,True
CC1=CC=C(C=C1)NC2=C(C(=O)N(C2=NC3=CC=C(C=C3)C)C4=CC=CC=C4)Br,True,True,True,True,True,True
CC(C)N1C2=C(C=C(C=C2)C3CCC(CC3)C(=O)CC4C5=C(C=CC=C5F)C6=CN=CN46)C=N1,True,True,True,True,True,True
CC1=C(NN=C1)C2(CCCN(C2)CC3=CN=CC=C3)C,True,True,True,True,True,True
CCCCCCCC=C(C)C(=O)O,True,True,True,True,True,True
CCCCCCC1=NC2=C(S1)C(=C(C=C2)NCCN(C)C)C(=O)C=O,True,True,True,True,True,True
CCC(N1CCN=C1)OC2(CCCCC2)C3=CC=CC=C3,True,True,True,True,True,True
CC(C)CC(C1=CC=CC=C1)NC(=O)CNC(=O)C2=CC=CC=C2I,True,True,True,True,True,True
CC(C)NC(=O)OC1CCN(CC1)C2=CC=C(C=C2)C3=C(C=C4C(=N3)N(C(=N4)OC5COC6C5OCC6O)COCC[Si](C)(C)C)Cl,True,True,True,True,True,True
C1CC(OC1)COC2=C(C=C(C=C2)Cl)NC(=O)C3=CC(=CC=C3)N,True,True,True,True,True,True
CC1(CCCNC1)CNS(=O)(=O)CCOC,True,True,True,True,True,True
COC1=C(C=CC=N1)C(=O)NC2=C(NNC2=O)C3=CC=CC=C3,True,True,True,True,True,True
C1=CC=C2C(=C1)C(=C3C=CC=C(C3=N2)C(=O)N)Cl,True,True,True,True,True,True
CC1=C(C(=NC(=N1)N)C#CC(C)(C)O)Br,True,True,True,True,True,True
CCN(CC)CC1=CC(=CC=C1)NC(=O)C2CCN(CC2)S(=O)(=O)CC,True,True,True,True,True,True
C1CCC(C1)(C2=CSC(=N2)N)N,True,True,True,True,True,True
COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)(C6(CCSCC6)O)O,True,True,True,True,True,True
CN1CCC(CC1)C2=CC(=C(C(=C2)F)OC3CCNCC3)F,True,True,True,True,True,True
CCCN(CC1=CC=CC=C1)CC(=O)NC2=CC(=C(C=C2)C#N)Cl,True,True,True,True,True,True
CCC(C)SC(CC)C(=O)NN,True,True,True,True,True,True
CCN1C2=C(C3=C(CCC2)C(=C(C(=O)N3)C(=O)O)O)N=C1CCCN(C)C,True,True,True,True,True,True
C1=CC(=CC=C1NC2=NC(=NC=C2Br)NC3=CC4=C(C=C3)N=CN4)F,True,True,True,True,True,True
CCOCC1=CC=C(C=C1)C2=NC3=C(C=CC(=C3)C(=O)N4CCN(CC4)C(=O)O)C(=C2)Cl,True,True,True,True,True,True
C1=CC=NC(=C1)COC2=CC=C(C=C2)CNC(=O)COC3=CC=C(C=C3)F,True,True,True,True,True,True
CC1(C(=O)N(C(=O)N1)CC(=O)NC2=CC=NN2C3CCCC3)C4=CC5=C(C=C4)OCO5,True,True,True,True,True,True
CC1=CC(=C(C(=N1)C)C#N)OC2=CC=C(C=C2)C(=O)O,True,True,True,True,True,True
CC(C)C(CNCC1=C(NN=C1)C2=CC=CS2)O,True,True,True,True,True,True
CCC1=CC=CC=C1NC(=O)CSC2=NN=C(O2)C3=C(C=C(C=C3)Cl)Cl,True,True,True,True,True,True
CCOC1=CC=CC=C1C=C(C(=O)NC2=CC(=CC=C2)SCC(=O)NC3=CC=CC(=C3)C(F)(F)F)NC(=O)C4=CC=CC=C4,True,True,True,True,True,True
CC(C(=O)NC1=CC=CC=C1)N(C)C(C)(C)CO,True,True,True,True,True,True
CC(C)NC(=O)C(C)OC1=C(C(=CC=C1)Cl)C(=S)N,True,True,True,True,True,True
CCCCNC(=O)C(CC)N(CC1=CC(=C(C=C1)Cl)Cl)C(=O)CN(C)S(=O)(=O)C2=CC=C(C=C2)Cl,True,True,True,True,True,True
CC(=C)CN1CCN(CC1)C(=O)C2CCNCC2,True,True,True,True,True,True
CC1=CC(=NN1C2=NC=C(C=C2)CNC(=NC)NC3CC=CC3)C.I,True,True,True,True,True,True
CC12CC3(CCC1(CCCC2=CC(=O)OC)CO[Si](C)(C)C(C)(C)C)OCCCO3,True,True,True,True,True,True
CC1=C(C=CC(=C1)C2=NOC(C2)(C3=CC(=CC(=C3)Cl)Cl)C(F)(F)F)C(=O)NCC4=CC=CC=C4,True,True,True,True,True,True
CN(C)C(CNC(=O)C1CC2CCCCC2N1C(=O)C3=CC=CC=C3)C4=CC(=CC=C4)F,True,True,True,True,True,True
CC1=CC(=NO1)CN(C)S(=O)(=O)C2=CC(=C(C=C2)F)Cl,True,True,True,True,True,True
CC1=NC=C(C=C1)N2C(=CC(=C2C)C=O)C,True,True,True,True,True,True
C1=C(NN=C1)NC2=CC(=CC(=C2)CN)F,True,True,True,True,True,True
CCC1=NC(=CS1)COC(=O)C2=CC(=O)NC(=N2)C3CC3,True,True,True,True,True,True
CC1=C(C=C(C=C1NC2CCN(CC2)C(=O)OC(C)(C)C)C(F)(F)F)C(=O)OC,True,True,True,True,True,True
CC1=C(SC2=C1C(=O)NC(=N2)C(C)N3CCC(CC3)C(C)O)C,True,True,True,True,True,True
CC1=C(C(=NN1C)C)S(=O)(=O)NC(CN(C)C)CO,True,True,True,True,True,True
CC1CC(CN(C1)C=C(C#N)C(=O)NCCC(=O)O)C,True,True,True,True,True,True
COC1=C(C(=CC(=C1)C=C2C(=O)N(C(=O)N2)CC(=O)OC)I)OCC3=CC(=C(C=C3)Cl)Cl,True,True,True,True,True,True
CCN(CC)CCCN1C(C(=C(C2=C(N3C=CC=C(C3=N2)C)C)O)C(=O)C1=O)C4=CC(=CC=C4)[N+](=O)[O-],True,True,True,True,True,True
CC(C)(C)OC(=O)NC(COC1=CC=C(C=C1)C#N)C(=O)O,True,True,True,True,True,True
CCCCCOC1=CC=C(C=C1)C2C3=C(C(=O)N2CCCOC)OC4=CC=CC=C4C3=O,True,True,True,True,True,True
CC1=C(C(=C(C=C1)F)COC2CCN(CC2)S(=O)(=O)CC(C3=CC=CC=C3)NC(=O)O)F,True,True,True,True,True,True
CCOC1=C(C=CC=C1NC2=NC=CC(=C2)C)CN(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,True,True,True,True,True,True
CC1=CC(=CC(=C1C2=C(C(=NO2)C(C)(C)C)C(=O)N3C=CC4=C(C=CC=C43)C=CC(=O)O)Cl)Cl,True,True,True,True,True,True
CCC(CC)N1C(=O)CC(C1=O)NC(C)C(=O)OC,True,True,True,True,True,True
CC1=CC2=C(C=CN=C2S1)CC3=CC4=C(S3)C=C(C=C4)Cl,True,True,True,True,True,True
CCCNC(=NCC1=CC=CC=C1OCCN(CC)CC)NCC,True,True,True,True,True,True
CC1=CC=C(S1)C=CC(=O)NC2=CC(=CC=C2)S(=O)(=O)C,True,True,True,True,True,True
CC(C(=O)OC(C1CCCCC1)C(C(F)(F)F)(C(F)(F)F)O)(C23C(N2)N3)I,True,True,True,True,True,True
CCC(=O)CCCN1CC2=CC=CC=C2C1=O,True,True,True,True,True,True
CC1=C(C(=CC=C1)Cl)C(=O)PC2=C(C=C(C=C2)OC(C)C)OC(C)C,True,True,True,True,True,True
CC(=O)NC1=CC(=CC(=C1)C(=O)OC)C2=NC(=C(C3=C2C=CC=N3)O)C(=O)NNC,True,True,True,True,True,True
CC1=C(C=C(C=C1C(C)(C)C)SSC2=CC(=C(C(=C2)C(C)(C)C)S)C(C)(C)C)C(C)(C)C,True,True,True,True,True,True
CC(C)C(CN)CN(C)CC1=CN=CC=C1,True,True,True,True,True,True
CC(C)(C)C1=C(C=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)C#N)C3=C4C=CC=NC4=C(C=C3)C(=O)[O-])F.[Na+],True,True,True,True,True,True
CC(C)N(CC1=CC=CS1)C(=O)C2=CC(=C(C(=C2)Cl)Cl)N,True,True,True,True,True,True
CCCCCCCCCCCC[N+]1(CCCCC1)CC2=CC=CC=C2C=C,True,True,True,True,True,True
CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)C3CC(CN3C(=O)C(C(C)(C)C)NC(=O)COCCOCCOCCOCCOCC(=O)O)O,True,True,True,True,True,True
CCC[NH+](CC1=NN=C(O1)C2=CC=CO2)CC(=O)NC(=O)NC3=CC=CC=C3F,True,True,True,True,True,True
CC(C1=C(C=CC(=C1)Cl)Cl)NC(C)C(=O)N,True,True,True,True,True,True
C1=CC=C2C(=C1)[Si]C3=CC=CC=C3[Si][Si][Si]2,True,True,True,True,True,True
C1=CC=C2C(=C1)C3=NC=CC(=C3N2)C4=CC=CS4,True,True,True,True,True,True
CCCCC1=NC(=C(N1)CNC2=C(C=C(C=C2Br)F)Cl)Cl,True,True,True,True,True,True
CCC(=O)N1CCC(CC1)C(=O)NCC(C2=CC=CC=C2C)N3CCC(CC3)C,True,True,True,True,True,True
CCN1C(=NN=C1SCC(=O)NC2=CC(=C(C=C2)C)F)C3=C(OC=C3)C,True,True,True,True,True,True
C1C(CN(C1=O)C2=CC(=CC(=C2)Br)Cl)Br,True,True,True,True,True,True
CC(C)C1=C(C=C(C=C1)C=C(C=O)C(C)C)[N+](=O)[O-],True,True,True,True,True,True
CCOC(=O)C1=CC2=C(C(=C1)CSC3=NC4=C(C(=CS4)C5=CC6=C(CCCC6)C=C5)C(=O)N3)OCOC2,True,True,True,True,True,True
CC(=O)OC1C(C(C(OC1OC2CCC3(C4CCC5(C(CCC5C4CC=C3C2)C=C)C)C)O)O)O,True,True,True,True,True,True
CCCOCC(=O)N1CCC(C(C1)CC)NC,True,True,True,True,True,True
CN(C1=CC=CC=C1C2=CC=CC=C2)C3=C4C=CC=CC4=CC5=CC=CC=C53,True,True,True,True,True,True
CC(C1=CC(=CC=C1)F)NC2=CC3=C(C=C2)C(=O)N(C3=O)C,True,True,True,True,True,True
[Li+].CCC(C)[C-]1C=CC2=CC=CC=C12,True,True,,True,True,True
CC1CCCC2=NC(=C(C(=O)N12)C(=O)O)Br,True,True,,True,True,True
