SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CNC(=O)C1(CCN(CC1)C2CCNCC2)NC(=O)C3=CN=CN=C3,True,True,True,True,True,True
CCCC1=CC=C(C=C1)C2=C(C=C([C-]=C2OC3=[C-]C4=C(C=C3)C5=C(N4C6=NC=CC=N6)[C-]=C(C=C5)OC7=[C-]C(=CC(=C7C8=CC=C(C=C8)CCC)C(C)C)C9=CC=CC=N9)C1=CC=CC=N1)C(C)C.CC1=CC2=C([C-]=C1OC3=CC=CC(=[C-]3)C4=CC=CC=N4)N(C5=C2C=C(C(=[C-]5)OC6=CC=CC(=[C-]6)C7=CC=CC=N7)C)C8=NC=CC=N8.CC1=CC2=C([C-]=C1OC3=CC=CC(=[C-]3)C4=CC=CC=N4)N(C5=C2C=C(C(=[C-]5)OC6=CC=CC(=[C-]6)C7=CC=CC=N7)C)C8=NC=CC=N8.C1=CC=NC(=C1)C2=[C-]C(=CC=C2)OC3=[C-]C4=C(C=C3)C5=C(N4C6=NC=CC=N6)[C-]=C(C=C5)OC7=CC=CC(=[C-]7)C8=CC=CC=N8.[Pd+2].[Pd+2].[Pd+2].[Pd+2].[Pd+2].[Pd+2].[Pd+2].[Pd+2],True,True,True,True,True,True
CC(C1=CC=CC=C1)N2C=C(C=CC2=O)C(=O)OC,True,True,True,True,True,True
CC(CCCCOC)OC(=O)C1=CC(=CC(=C1)Cl)Cl,True,True,True,True,True,True
C1CN(C(=O)CN1C(=O)COCC2=CC=CC=C2)C3=CC(=NC=C3)C(F)(F)F,True,True,True,True,True,True
CC1=CC=C(C=C1)C2=NC(=CC3=CC(=C(C=C3)OCC4=CC=CC=C4)Br)C(=O)O2,True,True,True,True,True,True
[Li+].C.CC1CCC(C1)C(=O)C.CC1CCC(N1C(=O)C(C(C)C)NC(=O)OC)C(=O)C.CC1CCC(N1C(=O)C(C(C)C)NC(=O)OC)C(=O)O.CC(C)C(C(=O)O)NC(=O)OC.CF.[OH-],True,True,True,True,True,True
CCC1(CCC1)NC(=O)C2(CCNCC2)C3=CC=CC=C3,True,True,True,True,True,True
CCNC(COC1=CC=CC=C1)C2=CC=C(C=C2)C(C)C,True,True,True,True,True,True
CC(C)COC1=CC=CC=C1CCCC(=O)N2CCNCC2,True,True,True,True,True,True
CCC(C)C(C(CC(=O)N1CCCC1C(C)C(=C)C(=S)NC(CC2=CC=CC=C2)C3=NC=CS3)OC)N(C)C(=O)C(C(C)C)NC(=O)C(C(C)C)NC,True,True,True,True,True,True
CC(=C)C1=CC=C(C=C1)C(C)(C)NSC2=NC3=CC=CC=C3S2,True,True,True,True,True,True
CC(C)(C)OC(=O)NC1CCCN(C1)C(=O)C2=CC3=C(C=C2)N(C(=N3)C4=CC(=C(N4CC5CC5)N=C)C=C)C.CS(=O)O,True,True,True,True,True,True
CC1=C(C=C(C=C1)C(=O)OC)N=CC2=CC=C(C=C2)OCC3=C(C=C(C=C3)Br)Br,True,True,True,True,True,True
CCOC(=O)OC(C)OC(=O)C1CCC(CC1)C=N,True,True,True,True,True,True
C1CC1C2=NC=C3C(=CNC3=N2)C4=CC5=C(C=NN5C=C4)C(=O)NC6=CN=CC=C6,True,True,True,True,True,True
CCCCNC(=O)CCC1=NN=C2N1C3=CC=CC=C3C(=O)N2CC4=CC=CC=C4Cl,True,True,True,True,True,True
CC(=O)O.C(CO)C(CCO)(CCO)N,True,True,True,True,True,True
CC1(C(=O)N(C(=O)N1)CCCCCCCCCCCCN2C(=O)C(NC2=O)(C)C)C,True,True,True,True,True,True
CN(C1=CC=C(C=C1)C2=CN3C=CC=CC3=N2)C(=O)C(F)(F)F,True,True,True,True,True,True
CP(=O)O,True,True,True,True,True,True
C1CCC2(CC1)C3=C(C4=C2C5=C(S4)C6=C(S5)C=C(S6)C=C7C(=O)C8=CC(=C(C=C8C7=O)F)F)SC(=C3)C=C9C(=O)C1=CC(=C(C=C1C9=O)F)F,True,True,True,True,True,True
[CH3-].[CH3-].CC(C)N1C=NN=C1C2=NC(=CC=C2)N3C=NC4=CC(=C(C=C4C3=O)N5C=C(N=C5)C6CC6)O.CC(C)N1C=NN=C1C2=NC(=CC=C2)N3C=NC4=CC(=C(C=C4C3=O)N5C=C(N=C5)C6CC6)OCCCF.C(CF)CBr.[W].[W],True,True,True,True,True,True
CC(C)CC1CN(C(CN1)C(C)C)CC2=NN=CC=C2,True,True,True,True,True,True
CCCCCCCCC(CCC)[Al](CCCCCCCC)CCCCCCCC,True,True,True,True,True,True
CC=C(C=CNC1=C(CCCC1=CC=C2NC3=C(S2)C4=CC=CC=C4C=C3)C=CC5=C(C=CC6=CC=CC=C65)N)N(C)C,True,True,True,True,True,True
CN(C)C1=C(C=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,True,True,True,True,True,True
CC(CC1=C(C=C(C=C1)C=CC2=C(C=C(C=C2)Cl)F)F)C3=CC=CC=C3,True,True,True,True,True,True
CN(C1=CC(=CC=C1)O)C(=O)C2=C(C=CC(=C2)Cl)Br,True,True,True,True,True,True
CC(C)(C1=CC=C(C=C1)CN2C3=C(COC3)C(=CC2=O)O)O,True,True,True,True,True,True
C1CC1C2=COC3=C2C=CC(=C3)CC(=O)O,True,True,True,True,True,True
CC1CC(CN(C1)C(=O)C2=C(C=NC=C2)F)C(=O)O,True,True,True,True,True,True
C1CN(C(=O)C1(CCCO)C(CCNC(=O)C2=CC(=C(C=C2)F)F)C(=O)O)CCC3=CC=CC=C3,True,True,True,True,True,True
CC1=C(C(=O)C(=CN1C(C)C)C(=O)NCC2=CC=C(C=C2)S(=O)C)C3=CC(=CC=C3)C(F)F,True,True,True,True,True,True
CC1=C(C=CC(=C1)NC2=C3C(=CC(=C(C)C=C(C)C(=O)N4CCN(CC4)C)C)C(=O)N(C3=NC=N2)C)F,True,True,True,True,True,True
CNC(CO)C(=O)NC(CC(=O)O)C(=O)C(=O)C1CCCN1NC(CCCNC(N)N)C=O,True,True,True,True,True,True
CC1=CC(=C(C=C1)Cl)OC(C)C#N,True,True,True,True,True,True
CC1=C(N=C(S1)N)C23CC4CC(C2)CC(C4)C3,True,True,True,True,True,True
CCCCCCCCCCCCCCCC(C(CO)NC(=O)CC(CCCCCC=CCCCCCCCCC)OC(=O)CCCCCC=CC=CC=CC=CC=CCC)O,True,True,True,True,True,True
C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC(=C3C2=O)CCN4CCN(CC4)CCNC56CC7CC(C5)CC(C7)C6,True,True,True,True,True,True
CC1=CC(=CC=C1)CNC2=C3C(=NS2)C(=C(S3)N4CC5CNCC5C4)C,True,True,True,True,True,True
CC1=C(C(=CC=C1)N2C(=O)C(=C(C2=O)N3CCCC3)C4=CC=CC=C4)C,True,True,True,True,True,True
CC(C)OC(=O)C(C)NP(OCC1CC(C1=C)N2C=CC(=NC2=O)N)OC3=CC=CC=C3,True,True,True,True,True,True
CC1=NC2=C(C=C1)C=C(C=C2)C(=O)N3CCC(C3)NC4=NC=CC=N4,True,True,True,True,True,True
C1=CC=C(C=C1)N2C3=C(C=C(C=C3)C4=CC=CC5=C4N6C7=C5C=CC=C7C8=C9C1=CC3=CC=CC=C3C3=C1N(C9=CN=C86)C1=C3C=CC=C1C1=CC3=C(C=C1)N(C1=CC=CC=C13)C1=CC=CC=C1)C1=CC=CC=C12,True,True,True,True,True,True
CC(C)N1CCOC1=C.CC(C)N1C=CC=C1.CC(C)N1C=CCC1=O.CC(C)N1C=CSC1=O.CC(C)N1C=CC(=O)N1.CC(C)N1C=CC=N1.CC(C)N1C=CN=N1.CC(C)N1C=NN=C1.CC(C)N1C=NC=N1.CC(C)N1C=NN=N1.CC(C)N1N=CC=N1.CC(C)N1N=CN=N1,True,True,True,True,True,True
CC1CCC(CC1)N(C2CC2)C(=O)CN3CCCC(C3)C(C)O,True,True,True,True,True,True
CCCCC(CC)C(C)NC(=C1CCCCCCCCC(CC1)CC)CC(C)C,True,True,True,True,True,True
CCOC(C1=CC=CC=C1)C2=NOC(=N2)C3=NC(=NN3)N,True,True,True,True,True,True
C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NCC3=NN=NN3C4=CC(=CC=C4)F,True,True,True,True,True,True
CC1=NN=C(O1)CN(C)C2CCN(CC2)C3=NC(=NC=C3)SC,True,True,True,True,True,True
CCNC(=NCC1CCCS1)NCCCOCC2CC2.I,True,True,True,True,True,True
CCCOC1=C(C=C(C=C1)C(=O)NC(C)CC2=CC=CC=C2)OC,True,True,True,True,True,True
C1=CC2=C(C(=O)C3=NN(N=C3C2=O)O)N=C1,True,True,True,True,True,True
CC(C)(C)OC(=O)NCCC#CC1=NC=CC(=C1)F,True,True,True,True,True,True
CN1CC2=CC=CC=C2C(C3=CC=CC=C31)CCCN(C)CC4=CC=CC=C4,True,True,True,True,True,True
COC1=CC=C(C=C1)C2=NC(=CS2)COC(=O)CCC(=O)C3=CC=CS3,True,True,True,True,True,True
CCCCCCCCCCOP(=O)(O)[O-].[K+],True,True,True,True,True,True
C1CN(CCC1C(=O)C2=CC=CC=C2)CC3=CC(=CC=C3)S(=O)(=O)N4CCOCC4,True,True,True,True,True,True
CC12CCC(=O)N1C(CS2)C(=O)OCC(=O)NC3=CC=CC=C3S(=O)(=O)C,True,True,True,True,True,True
CC1CSCCN1C2=NC=CC(=C2)C(=O)OC,True,True,True,True,True,True
C1=CC(=O)N(C=C1)C2=CC=CC(=N2)C3=CNN=C3,True,True,True,True,True,True
CCCNC(=NCC1CC2=CC=CC=C2O1)N,True,True,True,True,True,True
CC(C)OC1=CC=C(C=C1)N2C(C(=C(C3=CC(=CC=C3)Cl)O)C(=O)C2=O)C4=CC=C(C=C4)OC,True,True,True,True,True,True
CC1=CC=C(C=C1)CN(CCCS(=O)(=O)N(C)C)C2CCC3=CC=CC=C23,True,True,True,True,True,True
C1=CC=C2C(=C1)C=CC=C2C3=CC=C(C=C3)C4=CC=C(C5=CC=CC=C54)C6=CC=C(C7=CC=CC=C76)C8=CC=CC(=C8)C#N,True,True,True,True,True,True
CC(C1=NC2=C(N1)C(=C(C=C2F)F)F)C3=NC4=C(N3C)C=C(C=C4)C(=O)N(C)CCOC5=CC=CC=C5C#N,True,True,True,True,True,True
CC1(CCCN(C1)C(=O)C2CNCCN2C(=O)OC(C)(C)C)CN3C=CN=C3.C1CC2=C(CC3=C(C1)C=C(C=C3)Cl)N=CC=C2,True,True,True,True,True,True
CC(C)(C)OC(=O)N1CCCC1C(=O)NCCCN2CCN(CC2)C,True,True,True,True,True,True
C1=CC2=C(C=CN=C2C(=C1)Br)NCCNC(=O)C3=CN=CC=C3,True,True,True,True,True,True
CC1C2CN(C1C(=O)C(C)C)C(=O)C(NC(=O)OC3CC4CC4C3CCCCC(C5=NC6=C(C=C(C=C6)Cl)N=C5O2)(F)F)C(C)(C)C,True,True,True,True,True,True
CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCCCC=CCCCCCCCC,True,True,True,True,True,True
CC1=CC=C(C=C1)N2C(=O)C3C(C2=O)C(=O)C4=C(C3NC(C)(C)C)C5=CC=CC=C5N4C,True,True,True,True,True,True
C1=CC=C(C=C1)OC(=O)OC(=O)OC(=O)OC(=O)OC2=CC=CC=C2,True,True,True,True,True,True
CC(=O)CNC(=O)C1=CC(=O)NC=C1,True,True,True,True,True,True
CC(=C1C2=C(C=CC(=C2)S(=O)(=O)N3CCCC3COC4=CC=CC=C4)NC1=O)[N+]#[C-],True,True,True,True,True,True
CCCC(C(=O)C(=O)NCCC(=O)NC(C)(C)C)NC(=O)C1C2C(C2(C)C)CN1C(=O)C(C3CCCCC3)NC(=O)OC(C)(C)C,True,True,True,True,True,True
CCOC1=C2CC(CC2=C(C=C1)CCCCC(=O)OCCCCOC3=CC4=C(CC(C4)N)C(=C3)CCCCC(=O)OCC)N,True,True,True,True,True,True
CCC(C)C1C(=O)NC(C(=O)NCC(=O)NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)C)CC(C)C)C(C)CC)CC(C)C)CCSC,True,True,True,True,True,True
CC1=CC(=C(C(=C1)C(C2=CC=CC=C2)C3=CC=CC=C3)N4CN5C(=C4)C=CC=C5N(C)C)C(C6=CC=CC=C6)C7=CC=CC=C7,True,True,True,True,True,True
CC(C(=O)N1C(CN(C1=O)CC2=CC=CC=C2)C(=O)O)NC(CCC3=CC=CC=C3)C(=O)O,True,True,True,True,True,True
C1CCC2=C(C1)C(=NN2)CNCC3=CC=CS3,True,True,True,True,True,True
C#CC1=C(C=CC2=C1C(=CC=C2)C3=C(C4=NC=CC(=C4C=N3)N5CC6C5CCN6C(=O)O)F)F,True,True,True,True,True,True
CCCC1(C(C(=O)C2=CC=CC=C2O1)CCC(=O)C)C.C1CCNCC1,True,True,True,True,True,True
C1C(CN1C2=NC=CC=N2)N3N=CC=N3,True,True,True,True,True,True
CCCC1CC(CO1)CCC(=C)N(C)C(C)C,True,True,True,True,True,True
CC1=C(C(=CC=C1)C(=O)CC2=NC=NN2C)F,True,True,True,True,True,True
C1=CC=C(C(=C1)C2=CC=C(O2)CNCCC3=CC=C(C=C3)Cl)Cl,True,True,True,True,True,True
CC(=O)NCC1=CC=C(O1)C2=CSC(=N2)NC(=O)C3=C(C=CC(=C3)F)F,True,True,True,True,True,True
CC1=NN=C(N1C)SC(C)CNCC2=CC=CO2,True,True,True,True,True,True
CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCCCCC(=O)OCC(COC(C(=O)[O-])OCC[N+](C)(C)C)OC(=O)CCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC,True,True,True,True,True,True
CCCCC1=C(C(=NC(=C1CC)CC)C2=[NH+]C=CC(=C2CC)CCC)N.[Cl-],True,True,True,True,True,True
CC(C)CCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC(C)C)COP(=O)(O)OCC(COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C)O,True,True,True,True,True,True
CC(C)(C)[Si](C)(C)CCCSC(CN)C1=C(C=CC(=C1)C(=O)O)C(=O)O,True,True,True,True,True,True
CC(C)N1C2=C(C=C(C=C2)C3=CC4=C(C=C3)C(=NO4)N)C(=N1)COC5=CC=CC=C5CC(=O)O,True,True,True,True,True,True
CC1=C(C(=NN1C)C)C2=NC(=C(C(=N2)NC)Br)C3CC3,True,True,True,True,True,True
CCCCCOC1=C(C=CC(=C1)N2CCCN(C2=O)CC3=C4C(=CN(C4=NC=C3)CC(=O)N(C)C)Cl)C(F)F,True,True,True,True,True,True
C1C(CN2C1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)CC4=CC=C(C=C4)Br)C5=CC=CC=C5,True,True,True,True,True,True
COCC1=NC(=CC(=O)N1)N2CCN(CC2)CC(=O)N3CCCC3,True,True,True,True,True,True
C1=CC(=CC(=C1)OC2=NNC(=CC2=O)Cl)[N+](=O)[O-],True,True,True,True,True,True
C1=CC(=NC=C1OCCCCC#N)CN,True,True,,True,True,True
C1=CC=C2C(=C1)C(=C(O2)CO)C=O,True,True,,True,True,True
CN(CC1=CC=CC=C1Br)C2=C(C=C(C=C2)[N+](=O)[O-])CBr,True,True,,True,True,True
B(C1=CC(=C(C=C1)C#N)C#N)(O)O,True,True,,True,True,True
CCC1(CCCC1)OC(=O)C=C.CC(C)OC(C)OC1=CC=C(C=C1)C=C.C=CC1=CC=C(C=C1)O,True,True,,True,True,True
CCC1=CC=C(S1)C(=O)C=CC2=C(N=C3N2C=C(S3)C)C,True,True,,True,True,True
CCC1=NN2C(=O)C=C(N=C2S1)CN3CCN(CC3)C4=CC(=CC=C4)OC,True,True,,True,True,True
CC(C(=O)NC1=NC(=CS1)C2=CC=CC=C2Cl)OC3=CC=CC=C3,True,True,,True,True,True
COC1=CC=CC=C1NC(=O)NC2=CC(=C(C=C2OC)Cl)OC,True,True,,True,True,True
CCOC(=O)C1=CC2=C(N1CCCCOC)C=CC(=C2)F,True,True,,True,True,True
CC(CCC(C1=CC2=C(C=C1)N=CO2)NC)N,True,True,,True,True,True
CC1=C(C=CC(=C1)O)[N+](C)(C)C.[I-],True,True,,True,True,True
CCOC1=CC2=C(C=C1)OC(=C2C)C(=O)N(C)C(C)C3=NC4=CC=CC=C4S3,True,True,,True,True,True
CC(CS(=O)C)N1C(=O)C(=C(NC1=O)Cl)F,True,True,,True,True,True
CCN(CC)C1=CC(=C(C=C1)NC(=O)C2=NC(=CC=C2)C(=O)NC(C)C)C,True,True,,True,True,True
CCSC(C)CC(C)(C(=O)O)N,True,True,,True,True,True
CCCN1CC2CCC1CN(C2)CC3=CC4=C(C=C3)N(C=C4)CC,True,True,,True,True,True
CCOC(=O)C1CCCN(C1)C(=S)NC2=CC=C(C=C2)[N+](=O)[O-],True,True,,True,True,True
C1CC2CN(CC2C1)CCCC(=O)O,True,True,,True,True,True
C1=CC=C(C(=C1)CC(C2=NC=NN2)O)F,True,True,,True,True,True
CCOC(=O)C1=NOC(C1)C(=O)C,True,True,,True,True,True
CC1=CC(=C(C=C1)C)NCC2CCC(=O)CC2,True,True,,True,True,True
CC1=CC(=CC2=C1N=C(N=C2N3CCC(CC3)C4=CC=CC=C4OC)C5(CCC5)F)N6CCC(C6)O,True,True,,True,True,True
C(=O)(C(C(C(C(C(=O)OF)(F)F)(F)F)(F)F)(F)F)OF,True,True,,True,True,True
C1CC(=O)NC2C1CN(CC2)C3=CC(=C(C=C3)N)CC#N,True,True,,True,True,True
C1CN(CCC1C(C2=NC=CS2)NC(=O)C3=CC=CC=N3)CC4=CC=C(C=C4)F,True,True,,True,True,True
CC1(CCCN1C(=O)NCC2=CC(=CC=C2)N3CCCS3(=O)=O)C,True,True,,True,True,True
CC1=CC=C(C=C1)C2=NN=C(O2)CCNS(=O)(=O)C3=C(C=C(C=C3)OC)C,True,True,,True,True,True
C1C(CC2=CC=CC=C21)C(=O)C3=CC(=C(C=C3)N)F,True,True,,True,True,True
CC.CC1=CC=C(C=C1)SCS.CC(C)(C)C=CC(N)N=C,True,True,,True,True,True
C1=CC=C(C(=C1)C(=O)C2=CC=C(C=C2)N=O)O,True,True,,True,True,True
CCOC1=C(C=C(C=C1)C2=CSC(=N2)NN)Cl,True,True,,True,True,True
CCCCOC1=CC=C(C=C1)C2=NC3=C(O2)C=C(C=C3)C,True,True,,True,True,True
