SMILES,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline
CCS(=O)(=O)C1=CC=C(C=C1)CNC(=O)N2CC(C(C2)C3=CC(=NN3C(C)C)C4CC4)C5=CC=CC=C5,1.0,1.0,0.3783783783783784,1.0,1.0,0.3783783783783784,1.0,0.9999999999999999,0.3783783783783784,1.0,1.0,0.3783783783783784,0.5,0.3783783783783784,0.3783783783783784,0.5,0.3783783783783784,0.3783783783783784
CCOC(=O)C12CCCN(CC1CN(C2)CC3=COC=C3)CC4=CC=C(S4)C,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285
CC(CN1C=CC=N1)NC2=C(C=C(C=N2)Cl)F,1.0,1.0,0.23529411764705882,1.0,1.0,0.23529411764705882,1.0,1.0,0.23529411764705882,1.0,1.0,0.23529411764705882,0.5,0.23529411764705882,0.23529411764705882,0.5,0.23529411764705882,0.23529411764705882
C1C(O1)CCC(C(C(C(C(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,1.0,0.1951219512195122,1.0,1.0,0.1951219512195122,1.0,1.0,0.1951219512195122,1.0,1.0,0.1951219512195122,0.5,0.1951219512195122,0.1951219512195122,0.5,0.1951219512195122,0.1951219512195122
CC(C)(C)OC(=O)N(C)C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)N3C=CC=N3,1.0,1.0,0.13793103448275862,1.0,1.0,0.13793103448275862,1.0,1.0,0.13793103448275862,1.0,1.0,0.13793103448275862,0.5,0.13793103448275862,0.13793103448275862,0.5,0.13793103448275862,0.13793103448275862
CC1=C(C(=C(C=C1NC2CCN(C2)CC3=C(C=CC(=C3)F)F)F)S(=O)(=O)NC4=CSC=N4)F,1.0,1.0,0.12121212121212122,1.0,1.0,0.12121212121212122,1.0,1.0,0.12121212121212122,1.0,1.0,0.12121212121212122,0.5,0.12121212121212122,0.12121212121212122,0.5,0.12121212121212122,0.12121212121212122
CC1(CC(CN1C(=O)OC(C)(C)C)CCCC#CC2=NC=C(C=C2)S(=O)NC)C,1.0,1.0,0.13793103448275862,1.0,1.0,0.13793103448275862,1.0,1.0,0.13793103448275862,1.0,1.0,0.13793103448275862,0.5,0.13793103448275862,0.13793103448275862,0.5,0.13793103448275862,0.13793103448275862
COC1=C(C=C(C=C1Br)Cl)S(=O)(=O)N2CCC(C2)C(=O)O,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,0.5,0.19047619047619047,0.19047619047619047,0.5,0.19047619047619047,0.19047619047619047
CC(CC(=O)N1CCCC1C2=CC3=C(C=C2)OCO3)C4CCCNC4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,0.9999999999999999,0.4,1.0,1.0,0.4,0.5,0.4,0.4,0.5,0.4,0.4
CC1=CC(=[N+](C=C1C)C)C2=CN3C=CN=C3N2C.CC1=C[N+](=C(C=C1CC(C)(C)C)C2=CN3C=CN=C3N2C)C.CC1=C[N+](=C(C=C1C2CCCC2)C3=CN4C=CN=C4N3C)C.CC1=C[N+](=C(C=C1C(C)C)C2=CN3C=CN=C3N2C)C.CC(C)(C)CC1=C[N+](=C(C=C1)C2=CN3C=CN=C3N2C)C,1.0,1.0,0.07766990291262135,1.0,1.0,0.07766990291262135,1.0,1.0,0.07766990291262135,1.0,1.0,0.07766990291262135,0.5,0.07766990291262135,0.07766990291262135,0.5,0.07766990291262135,0.07766990291262135
