SMILES,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline
CC1=CC(=C(C(=C1)OC)C(=O)OC)CCl,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2
CCCC1=NC(=CC(=C1)CCl)N2C=CN=C2CCC,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525
C.CCO.CCO.CCO.CC(C)C1=CC(=C(C=C1OCOC)OCOC)C(=O)NNC(=S)NC2=CC=C(C=C2)CN3CCN(CC3)C.CC(C)C1=CC(=C(C=C1OCOC)OCOC)C(=O)O.CC(C)C1=C(C=C(C(=C1)C2=NNC(=S)N2C3=CC=C(C=C3)CN4CCN(CC4)C)OCOC)OCOC.CN1CCNCC1.CN1CCN(CC1)CC2=CC=C(C=C2)N.CN1CCN(CC1)CC2=CC=C(C=C2)NC(=S)NN.CN1CCN(CC1)CC2=CC=C(C=C2)[N+](=O)[O-].CN1CCN(CC1)CC2=CC=C(C=C2)SC#N.CO.C1CCOC1.C1=CC(=CC=C1CCl)[N+](=O)[O-].NN.O,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,1.0,1.0,0.014925373134328358,0.5,0.014925373134328358,0.014925373134328358,0.5,0.014925373134328358,0.014925373134328358
CC1CCC2=CC=CC=C2N1C3=CC(=C(C=C3)CCl)C,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,0.5,0.15,0.15,0.5,0.15,0.15
C1=CC2=C(C=C1OCCCCl)N=CN=C2NC3=CNN=C3,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285
COC1=CC2=C(C=C1)C=CN(C2=O)CCCCCl,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
C1CC2C(C1)(CCN2C(=O)CCCl)CO,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2
COC(=O)C1CC2=CC=CC=C2CN1S(=O)(=O)CCCCl,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285
C1C(C=CNC1CCl)C#N,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,0.5,0.3,0.3,0.5,0.3,0.3
C1CC1C2=NN=C(N2C3=CC=C(C=C3)C(=O)N)CCl,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525
C1=CC(=CC=C1C(C(=O)NN)OCCCl)Cl,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,0.5,0.1875,0.1875,0.5,0.1875,0.1875
C(CCl)C(O)Cl.C(C(CCl)O)Cl,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
CCCCCl.NN,1.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855
CCCN(C1CC1)S(=O)(=O)C2=CN(C(=C2)CCl)CC,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525
C1OC2=C(O1)C=C(C=C2)N3C4=C(C=C(C=C4)F)N=C3CCl,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285
C.CCC1=NC2=C(N1CCCCCC(C)(C)[Si](C)(C)O)C3=CC=CC=C3N=C2.CCC1=NC2=C(N1CCCCCC(C)(C)[Si](C)(C)O)C3=CC=CC=C3[N+](=C2)O.CCC1=NC2=C(N1CCCCCC(C)(C)[Si](C)(C)O)C3=CC=CC=C3N=C2N.CCC1=NC2=C(N1CCCCNC3CCOCC3)C4=CC=CC=C4N=C2N.CCC1=NC2=C(N1CCCCN(C3CCOCC3)C(=O)C)C4=CC=CC=C4N=C2N.CCC1=NC2=C(N1CCCCO)C3=CC=CC=C3N=C2N.CCC1=NC2=C(N1CCCCCl)C3=CC=CC=C3N=C2N.CC(=O)O.CC(=O)O.C1COCCC1N.O=S(Cl)Cl.Cl,1.0,1.0,0.014778325123152709,1.0,1.0,0.014778325123152709,1.0,1.0,0.014778325123152709,1.0,1.0,0.014778325123152709,0.5,0.014778325123152709,0.014778325123152709,0.5,0.014778325123152709,0.014778325123152709
CN1CCCC1CN(C)C(=O)CCl,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,0.5,0.23076923076923078,0.23076923076923078,0.5,0.23076923076923078,0.23076923076923078
C1=CC(=C(C=C1C2=NC=NO2)Cl)NC(=O)CCl,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,0.5,0.17647058823529413,0.17647058823529413,0.5,0.17647058823529413,0.17647058823529413
C1CCN(C1)CC(=O)CC2=CC(=C3CC4CC5C(C(=O)C(=C(C5(C(=O)C4=C(C3=C2O)O)O)O)C(=O)N)NCCCCl)F,1.0,1.0,0.07142857142857142,1.0,1.0,0.07142857142857142,1.0,1.0,0.07142857142857142,1.0,1.0,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142
C1=CC(=CC=C1CCl)C2C(=O)NC=N2,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,0.5,0.21428571428571427,0.21428571428571427,0.5,0.21428571428571427,0.21428571428571427
CCC(C)OC(=O)CCl,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333
CC1=C(C=C(C=C1)Br)CCNCCl,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,0.5,0.23076923076923078,0.23076923076923078,0.5,0.23076923076923078,0.23076923076923078
C1=CC(=CC=C1COCCCCl)Br,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,0.5,0.23076923076923078,0.23076923076923078,0.5,0.23076923076923078,0.23076923076923078
CC(C)C(CCCl)NCCCC1=CC=CC=C1,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,0.5,0.17647058823529413,0.17647058823529413,0.5,0.17647058823529413,0.17647058823529413
CN(CC1=CC(=CS1)Br)S(=O)(=O)C2=C(SC=C2)CCl,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525
CCC1=NN(C=C1N2C(=NC3=C2N(N=C3CC)C)CCl)C,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285
C1=CC(=NC=C1Br)C(=O)NC2=NC(=CS2)CCl,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,0.5,0.17647058823529413,0.17647058823529413,0.5,0.17647058823529413,0.17647058823529413
CC(C)(C)OC(=O)N1C(=O)CCC(C1=O)N2CCN(C2=O)C3=CC=C(C=C3)OCC#CC(C)(CCCCl)O,1.0,1.0,0.07894736842105263,1.0,1.0,0.07894736842105263,1.0,1.0,0.07894736842105263,1.0,1.0,0.07894736842105263,0.5,0.07894736842105263,0.07894736842105263,0.5,0.07894736842105263,0.07894736842105263
COC1=C(C=C(C=C1)CC#N)OC2CCCC2.COC1=C(C=C(C=C1)CCl)OC2CCCC2,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,0.5,0.09090909090909091,0.09090909090909091,0.5,0.09090909090909091,0.09090909090909091
CCCC(CCCl)CNC1=CC(=NC=N1)OCC,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
C1=C(OC(=C1)C(=O)NCCS(=O)(=O)O)CCl,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,0.5,0.1875,0.1875,0.5,0.1875,0.1875
C1CCC(C1)(CNC(=O)C2=CC(=C(C=C2)Cl)F)CCl,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525
COC1=C(C=C(C=C1)C(=O)N2CCCC2CCCCl)O,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,0.5,0.15,0.15,0.5,0.15,0.15
C1=CC=C(C=C1)N(CCl)C2=CC=CC=C2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2
COCC(COC1=CC=C(C=C1)S(=O)(=O)C2=CC(=C(C(=C2)Cl)OCCCCl)Cl)O,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,0.5,0.10344827586206896,0.10344827586206896,0.5,0.10344827586206896,0.10344827586206896
CC1=CC(=CC(=N1)OC(C)C2=CC=CC=C2)CCl,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
CC(CCl)C(=O)NCCC1CCCCO1,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2
CC(C)(C)[Si](C1=CC=CC=C1)(C2=CC=CC=C2)NS(=O)(=O)CCCl,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,0.5,0.125,0.125,0.5,0.125,0.125
C1=CC=C(C=C1)C(CC(=O)O)C(=O)CCl,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2
C1=C(C(=C(N=C1C(F)(F)F)CCl)C(F)F)F,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,0.5,0.1875,0.1875,0.5,0.1875,0.1875
CC1(C(CC2=C(C1OCC3=CC=CC=C3)SC(=C2Cl)CCl)C4=CC=C(C=C4)OC)C,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,0.5,0.1,0.1,0.5,0.1,0.1
CCCN(CC)CC1=NC(=CS1)CCl,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,0.5,0.21428571428571427,0.21428571428571427,0.5,0.21428571428571427,0.21428571428571427
CC(C)CC(CCl)NC(=O)C1=CC(=CC(=C1)Cl)[N+](=O)[O-],1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,0.5,0.15,0.15,0.5,0.15,0.15
CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)CN(CCOC)C(=O)C(C)(C)CCl,1.0,1.0,0.09375,1.0,1.0,0.09375,1.0,1.0,0.09375,1.0,1.0,0.09375,0.5,0.09375,0.09375,0.5,0.09375,0.09375
