SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CC(CC(=O)O)C(=O)NC(CNC(=O)CN(CC(=O)O)CC(=O)O)C(=O)NC(CCCCNC(=O)COCCOCCNC(=O)CCCCCCCCCCCCCCCc1nn[nH]n1)C(N)=O.CNC(=O)C(CCCCN)NC(=O)C1CCCN1C(=O)C1CCCN1C(=O)C1CSSCCC(NC(C)=O)C(=O)NC(CC2=CCC=N2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCCN=C(N)N)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N1,True,True,True,True,True,True,False
CCCS(=O)(=O)N1CCC2CCC(C1)N2,True,True,True,True,True,True,False
NC(N)=Nc1cccc(C(=O)CCCc2ccc(CC(NC(=O)N3CCCCC3)C(=O)O)cc2)c1,True,True,True,True,True,True,False
CC(C)(O)C(NC(=O)c1cncc(Cl)n1)c1ccc(OC(F)(F)F)c(F)c1,True,True,True,True,True,True,False
CC(=O)Nc1cccc(C(C)Nc2cc(N)nc(N)n2)c1,True,True,True,True,True,True,False
CC(C)C(CC(=O)C(Cc1ccccc1)NC(=O)C=Cc1cc(Cl)cc(Cl)c1)C(=O)C(F)(F)C(=O)NCC(F)(F)F,True,True,True,True,True,True,False
COc1ccccc1C1CC(c2ccc(C)c(C)c2)=NN1C(=O)CN(CCN1CCOCC1)C(=O)C1CCC1,True,True,True,True,True,True,False
CC(NC(=O)c1cc(Nc2nccs2)ncn1)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,True,True,True,True,True,True,False
COC(=O)C(C(NC(C)=O)c1ccc(C)cc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,True,True,True,True,True,True,False
CCc1nncn1CCNC(=NC)NCCc1ccc(-c2csc(C)n2)s1,True,True,True,True,True,True,False
CC(C)C(=O)N1CCCC(c2ccccc2)C1.CC(C)C(=O)N1CCCC1.CC(C)C(=O)N1CCCCC1.CC(C)C(=O)NC(C)(C)C.CC(C)C(=S)NC1CCCCC1.CC(C)C(=S)OCCCc1ccccn1.CC(C)C(=S)OCCn1cccc1.CC(C)C(=S)OCc1ccccn1.CC(C)CC(=O)OC(C)C.CC(C)CC(=O)Oc1ccccc1.CC(C)CN(C)C(=O)C(C)C.CC(C)c1ccc(S(C)(=O)=O)cc1F.CC(C)c1ccccn1.CC1CCCN(C(=O)C(C)C)C1.CC1CCN(C(=O)C(C)C)CC1.CCCCN(CCCC)C(=O)C(C)C.CCc1ccc(C(C)C)nc1.Cc1ccc(C(C)C)nc1.Cc1ccc(C(C)C)nc1.Cc1ccc(C(C)C)nc1.Cc1ccc(C(C)C)nc1.Cc1cccc(C(C)C)n1.Cc1ccnc(C(C)C)c1.Cc1cnc(C(C)C)c(F)c1,True,True,True,True,True,True,False
CC(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)NCC(=O)NCCC(=O)NCC(=O)NCCC(=O)NCC(=O)NCCC(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,True,True,True,True,True,True,False
CC.Oc1ccc(F)c(F)c1,True,True,True,True,True,True,False
COc1ccc(CCNC(=O)COc2cccc3c2CCN(Cc2ccc(F)cc2)C3=O)cc1OC,True,True,True,True,True,True,False
