SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
Cc1ncc([N+](=O)[O-])n1CCOC(=O)NC(NCc1cccnc1)C(Cl)(Cl)Cl,0.5,0.35714285714285715,0.35714285714285715,1.0,1.0,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,0.9999999999999999,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,1.0,0.35714285714285715
CN(Cc1ccccc1)C(NC(=O)c1ccc(Br)cc1)C(Cl)(Cl)Cl,0.5,0.4166666666666667,0.4166666666666667,1.0,1.0,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,1.0,1.0,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,0.5,0.4166666666666667,0.4166666666666667,1.0,1.0,0.4166666666666667
O=C(NC(Oc1cccc2ccccc12)C(Cl)(Cl)Cl)c1ccccc1O,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.8125,0.625,0.38461538461538464
CCCCNC(NC(=O)C=Cc1ccccc1)C(Cl)(Cl)Cl,0.5,0.47619047619047616,0.47619047619047616,1.0,1.0,0.47619047619047616,0.5,0.47619047619047616,0.47619047619047616,1.0,1.0,0.47619047619047616,0.5,0.47619047619047616,0.47619047619047616,0.5,0.47619047619047616,0.47619047619047616,1.0,1.0,0.47619047619047616
COc1ccc(C(=O)NC([NH2+]CCC[NH+](C)C)C(Cl)(Cl)Cl)cc1,0.5,0.43478260869565216,0.43478260869565216,1.0,1.0,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,1.0,1.0,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,1.0,1.0,0.43478260869565216
CC(C)c1cc(C(C)C)c(NC(=O)NC(Oc2ccccc2OC(NC(=O)Nc2c(C(C)C)cc(C(C)C)cc2C(C)C)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl)c(C(C)C)c1,0.5,0.35714285714285715,0.35714285714285715,1.0,1.0,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.975,0.9678571428571429,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.6083333333333334,0.4237577639751553,0.35714285714285715
CCOC(=O)c1ccc(NC(=S)NC(NC(=O)COc2ccc(Cl)cc2Cl)C(Cl)(Cl)Cl)cc1,0.5,0.30303030303030304,0.30303030303030304,1.0,1.0,0.30303030303030304,0.5,0.30303030303030304,0.30303030303030304,1.0,1.0,0.30303030303030304,0.5,0.30303030303030304,0.30303030303030304,0.5,0.30303030303030304,0.30303030303030304,1.0,1.0,0.30303030303030304
Cc1cccc(C(=O)NC(Nc2cc(C(F)(F)F)ccc2Cl)C(Cl)(Cl)Cl)c1,0.5,0.37037037037037035,0.37037037037037035,1.0,1.0,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,1.0,0.9999999999999999,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,1.0,1.0,0.37037037037037035
CCN(CC)C(=O)NC(NC(=S)Nc1cccc(C(=O)O)c1)C(Cl)(Cl)Cl,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.95,0.9384615384615385,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464
O=C(NC(Nc1cccc([N+](=O)[O-])c1)C(Cl)(Cl)Cl)c1ccccc1[N+](=O)[O-],0.5,0.37037037037037035,0.37037037037037035,1.0,1.0,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,1.0,0.9999999999999999,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,0.7647058823529411,0.5555555555555556,0.37037037037037035
O=C(NC(Nc1ccc(Cl)cc1)C(Cl)(Cl)Cl)c1ccc(F)cc1,0.5,0.43478260869565216,0.43478260869565216,1.0,1.0,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,1.0,1.0,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,0.5,0.43478260869565216,0.43478260869565216,0.8076923076923077,0.6666666666666666,0.43478260869565216
Cc1ccc(C(=O)NC(NC(=O)Nc2cccnc2)C(Cl)(Cl)Cl)cc1,0.5,0.52,0.52,0.9935897435897436,0.9945054945054943,0.52,0.5,0.52,0.52,0.9230769230769231,0.9261538461538461,0.52,0.5,0.52,0.52,0.5,0.52,0.52,0.8846153846153846,0.8892307692307693,0.52
O=C(C=Cc1ccccc1)NC(NC(=S)Nc1ccc(N=Nc2ccccc2)cc1)C(Cl)(Cl)Cl,0.5,0.29411764705882354,0.29411764705882354,1.0,1.0,0.29411764705882354,0.5,0.29411764705882354,0.29411764705882354,1.0,0.9999999999999999,0.29411764705882354,0.5,0.29411764705882354,0.29411764705882354,0.5,0.29411764705882354,0.29411764705882354,1.0,1.0,0.29411764705882354
O=C(NC(n1c(=O)cc[nH]c1=S)C(Cl)(Cl)Cl)c1ccccc1,0.5,0.45454545454545453,0.45454545454545453,1.0,1.0,0.45454545454545453,0.5,0.45454545454545453,0.45454545454545453,1.0,1.0,0.45454545454545453,0.5,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.45454545454545453,0.7916666666666666,0.6666666666666666,0.45454545454545453
CC(C)(C)C(=O)NC(n1ccc(=O)[nH]c1=O)C(Cl)(Cl)Cl,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5
O=C(NC(NC(=S)Nc1ccc(I)cc1)C(Cl)(Cl)Cl)c1ccccc1Cl,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,1.0,1.0,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.5,0.38461538461538464,0.38461538461538464,0.96875,0.9090909090909091,0.38461538461538464
CCOC(=O)c1c(NC(NC(=O)C(C)(C)C)C(Cl)(Cl)Cl)sc(C(=O)OC)c1C,0.5,0.35714285714285715,0.35714285714285715,1.0,1.0,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,1.0,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,0.5,0.35714285714285715,0.35714285714285715,1.0,1.0,0.35714285714285715
