SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CC(C)C(=O)CN(CC(=O)C(C)(C)C)C(C)(C)C,True,True,True,True,True,True,False
C=CC(=O)NC1CCCC(N(C)c2cnc(C(=O)NC3CC(NC(=O)C=C)C(C)C(N(C)c4nnc(C(N)=O)c(Nc5ccc6ncccc6c5)n4)C3)c(Nc3ccc4ncccc4c3)n2)C1C,True,True,True,True,True,True,False
O=C1C=C(SC2CCCCC2)C(=O)C=C1Nc1ccccc1,True,True,True,True,True,True,False
CC(=O)N1CC2CC1C(=O)N1C(CCC1C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)(C)C)C(=O)N1CCC(C(=O)N3CCC(C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(Cc4c[nH]c5ccccc45)C(N)=O)CC3)CC1)CS2,True,True,True,True,True,True,False
CCN=c1cc2oc3cc([NH2+]CCCOC(=O)C(NC(=O)OC(C)(C)C)C(C)C)c4ccccc4c3nc-2cc1C,True,True,True,True,True,True,False
CC(C)(C)CC(C)(C)C(Cc1cc(OCC2CC2)c(Cl)nc1Br)OC(N)=O,True,True,True,True,True,True,False
Cc1nn(CCC(=O)NC2CCCc3ccccc32)c(C)c1[N+](=O)[O-],True,True,True,True,True,True,False
CC(C)C1=CN(CCC(C)(C)C(=O)O)C(=O)NC1(C)c1ccc(CCC(C)(C)C)c(Cl)c1,True,True,True,True,True,True,False
COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)Cc2c(F)cccc2F)C(C)C)C(C)C)ccc1OC,True,True,True,True,True,True,False
CCOc1c(I)cc(C=C2C(=O)NC(=O)N(c3cccc(Cl)c3Cl)C2=O)cc1OC,True,True,True,True,True,True,False
CCC1NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(Cc2cnc[nH]2)CC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(C)CC(=O)C(NC(=O)C(CCC(=O)O)CC(C)(C)C)CSCCC(C(=O)NCC(C)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O,True,True,True,True,True,True,False
CC(C)(C)CC(C)(C)NC(=O)C1N(C(CO)c2ccccc2)C(=O)C2C(C(=O)Nc3ccccc3)C3CCC21O3,True,True,True,True,True,True,False
NCc1ccc(NC(=O)C(O)C2OCCN(c3ccc(C(F)(F)F)cc3)C2=O)cc1,True,True,True,True,True,True,False
CCCc1cc(=O)[nH]c(SC(C)C(=O)Nc2cc(C)on2)n1,True,True,True,True,True,True,False
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(CC(C)(C)C)NC(=O)CNC1CC1)S(=O)(=O)c1ccc2c(c1)OCO2,True,True,True,True,True,True,False
CO[NH+]([O-])Oc1ccccc1C,True,True,True,True,True,True,False
