SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
CCCCCCCC(=O)NNC(=O)C(C)c1cc(C)c(O)c(C2CCCCCCCCCCC2)c1,0.5,0.45714285714285713,0.45714285714285713,1.0,1.0,0.45714285714285713,0.5,0.45714285714285713,0.45714285714285713,0.96875,0.9660714285714286,0.45714285714285713,0.5,0.45714285714285713,0.45714285714285713,0.5,0.45714285714285713,0.45714285714285713,0.9473684210526316,0.8888888888888888,0.45714285714285713
CCCCCCCC(=O)NNC(=O)C(CC)CCCC,0.5,0.8,0.8,1.0,1.0,0.8,0.5,0.8,0.8,0.96875,0.9875,0.8,0.5,0.8,0.8,0.5,0.8,0.8,1.0,1.0,0.8
CCCCCCCC(=O)NNC(=O)C(C)C,,,,,,,,,,,,,,,,,,,,,
CCCCCCCC(=O)NNC(=O)C1CCC(c2ccc(CCCCC)cc2)CC1,0.5,0.5333333333333333,0.5333333333333333,1.0,1.0,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.96875,0.9708333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,0.5,0.5333333333333333,0.5333333333333333,1.0,1.0,0.5333333333333333
CCCCCCCC(=O)NNC(=O)C1CC1c1ccccc1,0.5,0.7272727272727273,0.7272727272727273,1.0,1.0,0.7272727272727273,0.5,0.7272727272727273,0.7272727272727273,0.9375,0.9659090909090909,0.7272727272727273,0.5,0.7272727272727273,0.7272727272727273,0.5,0.7272727272727273,0.7272727272727273,1.0,1.0,0.7272727272727273
CCCCCCCC(=O)NNC(=O)C1COc2ccccc2O1,0.5,0.6956521739130435,0.6956521739130435,1.0,1.0,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.96875,0.9809782608695652,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.9285714285714286,0.9411764705882353,0.6956521739130435
CCCCCCCC(=O)NNC(=O)C(C)Oc1ccccc1F,0.5,0.6956521739130435,0.6956521739130435,1.0,1.0,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.96875,0.9809782608695652,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.5,0.6956521739130435,0.6956521739130435,0.7857142857142857,0.8421052631578947,0.6956521739130435
CCCCCCCC(=O)NNC(=O)C(CC)CC,0.5,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8888888888888888,0.5,0.8888888888888888,0.8888888888888888,0.96875,0.9930555555555556,0.8888888888888888,0.5,0.8888888888888888,0.8888888888888888,0.5,0.8888888888888888,0.8888888888888888,1.0,1.0,0.8888888888888888
CCCCCCCC(=O)NNC(=O)C1CCCCC1,0.5,0.8421052631578947,0.8421052631578947,1.0,1.0,0.8421052631578947,0.5,0.8421052631578947,0.8421052631578947,0.9375,0.9802631578947368,0.8421052631578947,0.5,0.8421052631578947,0.8421052631578947,0.5,0.8421052631578947,0.8421052631578947,1.0,1.0,0.8421052631578947
CCCCCCCC(=O)NNC(=O)C(C)Oc1ccc(C)c(C)c1,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.96875,0.9791666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.75,0.8,0.6666666666666666
