SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
CCN(CC)CCOC(=O)C1N2C(=O)C(NC(=O)c3c(-c4ccccc4)noc3C)C2SC1(C)C,0.5,0.37142857142857144,0.37142857142857144,1.0,0.9999999999999998,0.37142857142857144,0.5,0.37142857142857144,0.37142857142857144,0.9615384615384616,0.9516483516483516,0.37142857142857144,0.5,0.37142857142857144,0.37142857142857144,0.5,0.37142857142857144,0.37142857142857144,0.8863636363636364,0.7222222222222222,0.37142857142857144
CCC(C)(C)C(=O)NCCCN(C)C.CCC(C)(C)C(=O)OCCCN(C)C.CCC(C)(C)C(=O)OCCN(C)C.CCC(C)(C)C(=O)OCN(C)C(C)C.CCC(C)(C)C(=O)OCN(C)C(C)C.CCC(C)C(=O)NCCCN(C)C.CCC(C)C(=O)NCN(C)C.CCC(C)C(=O)NCN(C)C.CCC(C)C(=O)OCCCN(C)C.CCC(C)C(=O)OCCN(C)C.CCC(C)C(=O)OCCN(CC)CC.CCN(CC)CCOC(=O)C(C)(C)CC,0.5,0.08227848101265822,0.08227848101265822,1.0,0.9999999999999998,0.08227848101265822,0.5,0.08227848101265822,0.08227848101265822,1.0,1.0,0.08227848101265822,0.5,0.08227848101265822,0.08227848101265822,0.5,0.08227848101265822,0.08227848101265822,0.49310344827586206,0.08227848101265822,0.08227848101265822
CCN(CC)CCOC(=O)C(c1ccccc1)C(O)C1CCCC1.Cl,0.5,0.52,0.52,1.0,0.9999999999999998,0.52,0.5,0.52,0.52,1.0,1.0,0.52,0.5,0.52,0.52,0.5,0.52,0.52,0.75,0.6842105263157895,0.52
CCN(CC)CCOC(=O)C(c1cccs1)C1C=CCCC1.Cl,0.5,0.5652173913043478,0.5652173913043478,1.0,0.9999999999999998,0.5652173913043478,0.5,0.5652173913043478,0.5652173913043478,1.0,1.0,0.5652173913043478,0.5,0.5652173913043478,0.5652173913043478,0.5,0.5652173913043478,0.5652173913043478,0.8,0.7647058823529411,0.5652173913043478
CC[NH+](CC)CCOC(=O)C(C)c1ccc(CC(C)C)cc1.[CH3-],0.5,0.5652173913043478,0.5652173913043478,1.0,0.9999999999999998,0.5652173913043478,0.5,0.5652173913043478,0.5652173913043478,0.9615384615384616,0.9665551839464883,0.5652173913043478,0.5,0.5652173913043478,0.5652173913043478,0.5,0.5652173913043478,0.5652173913043478,0.9,0.8666666666666667,0.5652173913043478
CCN(CC)CCOC(=O)C1CCC(C)CC1,0.5,0.7647058823529411,0.7647058823529411,1.0,0.9999999999999998,0.7647058823529411,0.5,0.7647058823529411,0.7647058823529411,1.0,1.0,0.7647058823529411,0.5,0.7647058823529411,0.7647058823529411,0.5,0.7647058823529411,0.7647058823529411,1.0,1.0,0.7647058823529411
CC[N+](C)(CC)CCOC(=O)C(c1ccccc1)C1(O)CCCCC1C.[Br-],0.5,0.48148148148148145,0.48148148148148145,0.9560439560439561,0.939533756841449,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145,1.0,1.0,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145,0.5,0.48148148148148145,0.48148148148148145,0.75,0.65,0.48148148148148145
CCN(CC)CCOC(=O)C(Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)C1(CCOC)CCCC1,0.5,0.3170731707317073,0.3170731707317073,1.0,0.9999999999999998,0.3170731707317073,0.5,0.3170731707317073,0.3170731707317073,0.9615384615384616,0.9474671669793622,0.3170731707317073,0.5,0.3170731707317073,0.3170731707317073,0.5,0.3170731707317073,0.3170731707317073,0.5714285714285714,0.35135135135135137,0.3170731707317073
CCN(CC)CCOC(=O)C(c1ccc([Si](C)(C)C)cc1)C(C)(C)O.Cl,0.5,0.5,0.5,1.0,0.9999999999999998,0.5,0.5,0.5,0.5,0.9230769230769231,0.923076923076923,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7307692307692308,0.65,0.5
CCC(CC(C)C(=O)OCC[N+](C)(C)C)C(=O)OCCN(CC)CC,0.5,0.52,0.52,1.0,0.9999999999999998,0.52,0.5,0.52,0.52,0.9615384615384616,0.9630769230769229,0.52,0.5,0.52,0.52,0.5,0.52,0.52,1.0,1.0,0.52
CC[NH+](CC)CCOC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C(C)NC(=O)C(Cc1ccc(OC(C)=O)cc1)NC(C)=O,0.5,0.24074074074074073,0.24074074074074073,1.0,0.9999999999999998,0.24074074074074073,0.5,0.24074074074074073,0.24074074074074073,1.0,1.0,0.24074074074074073,0.5,0.24074074074074073,0.24074074074074073,0.5,0.24074074074074073,0.24074074074074073,0.524390243902439,0.25,0.24074074074074073
