SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
C#CCBr.C#CCOCCOCCOCCC.C#CCOCCOCCOCCO.C#CCOCCOCCOCCOc1cc(C=O)ccc1O.C#CCOCCOCCOCCOc1cc(C=O)ccc1OC(C)=O.C#CCOCCOCCOCCOc1cc(CO)ccc1OC(C)=O.CC(=O)Cl.CC(C)CC(NC(=O)C(CCc1ccccc1)CC(=O)CN1CCOCC1)C(=O)CC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)C1(C)CO1.CN=[N+]=[N-].Cc1ccc(S(=O)(=O)Cl)cc1.O=Cc1ccc(O)c(O)c1.OCCOCCOCCO.[B],True,True,True,True,True,True,False
Cc1ccc(C#Cc2ccc([N+](=O)[O-])cc2)cc1C,True,True,True,True,True,True,False
CCc1cccnc1CNC(=O)CCC(C)N,True,True,True,True,True,True,False
CC(NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(NC(=O)C(N)C(C)O)C(C)O)C(C)O)C(=O)NCC(=O)NCC(=O)NCC(=O)NC(C(=O)NC(CCCN=C(N)N)C(=O)O)C(C)C,True,True,True,True,True,True,False
CCCc1cc(C(=O)NC(CC(=O)O)Cc2ccccc2C)nn1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)=O)cc1,True,True,True,True,True,True,False
CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(C)=O)C(C)O)C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(N)=O,True,True,True,True,True,True,False
Cc1ccc(OC(C)C(=O)Nc2ccccc2-c2ccccc2)cc1,True,True,True,True,True,True,False
CC(O)C(NC(=O)C(CC(N)=O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(N)CCCN=C(N)N)C(C)O)C(=O)NC(Cc1ccccc1)C(=O)O,True,True,True,True,True,True,False
CC(CNC(=O)CCCS(=O)(=O)c1ccc(Br)cc1)C(=O)O,True,True,True,True,True,True,False
COC(=O)C1=C(C)N(Cc2ccc(OC)cc2)C(=O)C1=Cc1cc2c(cc1Br)OCO2,True,True,True,True,True,True,False
CC(=O)NCCNC(CC(=O)O)C(=O)c1ccc(F)cc1,True,True,True,True,True,True,False
C.C=CC.CC(=O)NC(CC(=O)O)C(=O)O.CC(=O)OC(C(=O)O)C(OC(C)=O)C(=O)O.CC1=C(C(=O)O)SCSC(C(=O)O)=C(C)C1.CC=CCOC(O)NC(CC=O)C(C)O.CCC(CC)C(C(=O)O)C(=O)O.CCCCCCCCCCCC(C(=O)O)C1(C(=O)O)CCC(=O)O1.CCCCO.CCCCO.CCOCCC(O)(CC(=O)O)C(=O)O.O.O.O.O.O.O=C(O)CC(C(=O)O)c1ccccc1.O=C(O)CCCCCNC(=S)NCCCCCC(=O)O.O=CCCCCCCCCCCCCCC(=O)O.O=CNC(CC(=O)O)C(=O)O,True,True,True,True,True,True,False
C=Cc1ccc2ncc(N(C)CCN(C)C)nc2c1,True,True,True,True,True,True,False
[B][B]C(B([B])[B])(B([B])[B])C1B(C)B1N1C=CN(C)C1C,True,True,True,True,True,True,False
CC(C)CC(C(=O)CC(C)C(=O)NC(C(=O)CC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)N(C)C(C)C(=O)NC(COC(C)(C)C)C(=O)NCC(N)=O)C(C)C)N(C)C(=O)CCC(=O)C(Cc1ccccc1)N(C)C(=O)C(C)CC(=O)CNC(=O)OC(C)(C)C,True,True,True,True,True,True,False
C.C=CC(=O)N1CCCCC(n2c(NC(=O)c3cccc(C)c3)nc3cc(OC(=O)N4CCOCC4)cc(Cl)c32)C1.C=CC(=O)N1CCCCC(n2c(NC(=O)c3cccc(C)c3)nc3cc(OC4CCN(C(C)=O)CC4)cc(Cl)c32)C1.C=CC(=O)N1CCCCC(n2c(NC(=O)c3cccc(C)c3)nc3cc(OC4CCOCC4)cc(Cl)c32)C1.C=CC(=O)N1CCCCC(n2c(NC(=O)c3ccnc(C)c3)nc3cc(OC4CCN(C(C)=O)CC4)cc(Cl)c32)C1.C=CC(=O)N1CCCCC(n2c(NC(=O)c3ccnc(C)c3)nc3cc(OC4CCN(C(C)=O)CC4)cc(Cl)c32)C1,True,True,True,True,True,True,False
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(N)CO)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCSC)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C)C(C)C,True,True,True,True,True,True,False
Cc1c(C)c(S(=O)(=O)NC(N)=NCCCC2NC(=O)C(CCC(N)=O)NC(=O)C(COC(C)(C)C)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)OC(C)(C)C)CCCCNC(=O)CCC(C(=O)NC(CC(=O)O)C(=O)N3CCCC3C(=O)NC(C(N)=O)C(C)C)NC(=O)C(CC(=O)OC(C)(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(COC(C)(C)C)NC2=O)c(C)c2c1OC(C)(C)CC2,True,True,True,True,True,True,False
C=CC(=O)N1CCC(=O)Oc2ccc(CC(CC(C)C(=O)O)NC(=O)c3csc(C(CC(C(C)C)N(C)C(=O)C(NC(=O)C4CCCCN4C)C(C)CC)OC(C)=O)n3)cc2NC(=O)CCN1C(C)=O,True,True,True,True,True,True,False
CC(NC(=O)CNC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCN)C(=O)NC(CCCN=C(N)N)C(=O)O,True,True,True,True,True,True,False
