SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CCOCC(C)NS(=O)(=O)c1c(N)nn(C)c1C,True,True,True,True,True,True,False
CNC1CCC(N(C)CCc2nccn2C)CC1,True,True,True,True,True,True,False
Cn1cc(C(C)(C)CCN)c2cc(Cl)ccc21,True,True,True,True,True,True,False
CC(C)CN(CCN(C)C)Cc1ccccc1CN,True,True,True,True,True,True,False
Cc1csc(C(CN)OC(C)C)n1,True,True,True,True,True,True,False
Cc1csc(C(C)NC(=O)NC(=O)CC(C)CC(=O)O)n1,True,True,True,True,True,True,False
CCc1ccc2c(=O)cc(-c3cccc(N)c3)oc2c1,True,True,True,True,True,True,False
CNC(C)c1ccc(OCc2ccccc2F)c(Br)c1,True,True,True,True,True,True,False
Cc1cc(C)nc(-c2ccc(C(=O)N(C)C(C)Cc3ccccn3)cc2)n1,True,True,True,True,True,True,False
CN(CN(c1nc(N2CCOCC2)nc(N(CNC2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)n1)C1CC(C)(C)NC(C)(C)C1)C1CC(C)(C)NC(C)(C)C1,True,True,True,True,True,True,False
CC(O)C(=O)Nc1ccc(N2CCCCC2)c(Cl)c1,True,True,True,True,True,True,False
CC(C)CCNC(=O)CCNC(=O)c1nc(NC(=O)CCNC(=O)c2cc(NC(=O)c3nc(NC(=O)CCNCOCc4cc(NC(=O)c5nccn5C)cn4C)cn3C)cn2C)cn1C,True,True,True,True,True,True,False
Cc1cc(-c2nc(C)n3c2cnc2[nH]ccc23)ccc1N1CCN(C)CC1,True,True,True,True,True,True,False
COc1ccc2nc(NC(=O)C(Sc3cccc(NC(=O)c4ccc(C)cc4)c3)c3ccccc3)sc2c1,True,True,True,True,True,True,False
CNCC(C)C(=O)NCCSCCOc1cccc(Br)c1,True,True,True,True,True,True,False
C1=C[NH2+]C=N1.[Br-],True,True,True,True,True,True,True
Cc1cc(OC(C)(C)C(=O)O)ccc1Cn1c(C)c(C)c2cc(C(=O)NC(C)c3cccc(C(C)C)c3)ccc21,True,True,True,True,True,True,False
CCC(C)NCc1ncc(-c2ccc(Cl)c([N+](=O)[O-])c2)[nH]1,True,True,True,True,True,True,False
CC(C)CNc1cnc(C(=O)Nc2ccc(OC(C)C)cc2)cn1,True,True,True,True,True,True,False
CCN(C)CC(C)CC=O,True,True,True,True,True,True,False
CC(C)Cc1nc(N)c(C#N)cc1C(C)C,True,True,True,True,True,True,False
CC.CN1CCC2(CC1)CN(C)CCN2C,True,True,True,True,True,True,False
Cc1cc(Br)c(CC(C)C)s1,True,True,True,True,True,True,False
CCC(CC=O)C(=O)N(C)C(C)C,True,True,True,True,True,True,False
O=C(CCCS(=O)(=O)O)Cc1ccccc1,True,True,True,True,True,True,False
CCCc1ccc(C(NC(=O)c2ccc(OCC(=O)NC(C)C)c(OC)c2)c2cccs2)cc1,True,True,True,True,True,True,False
CCOC(=O)C(CC)NC(C)C(=O)N1CC(OCc2ccccc2)CC1C(=O)O,True,True,True,True,True,True,False
ClCCCN(Cc1c(Cl)cccc1Cl)C1CCC1,True,True,True,True,True,True,False
CCCCCCOC(CNC)c1ccc(Cl)cc1,True,True,True,True,True,True,False
Br.CCCCCCCCCCCC[n+]1ccccc1,True,True,True,True,True,True,False
CCNC(=O)NC(=O)C(C)NCc1cccc2c1OCO2,True,True,True,True,True,True,False
O=S1(=O)Oc2ccc3cc(B(O)O)ccc3c2-c2c(ccc3cc(B(O)O)ccc23)O1,True,True,True,True,True,True,False
CC(C)CN(CC(C)C)S(=O)(=O)c1ccc(NC(=O)COc2ccccc2)cc1,True,True,True,True,True,True,False
Cc1nc(C)c(C(=O)OCC(C)C)c(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)n1,True,True,True,True,True,True,False
Cc1ccccc1N(C)C1=CCCC=C1,True,True,True,True,True,True,False
Cc1cc(Cl)ccc1NC(=O)c1cc(-c2cnn(-c3ccc(C(C)C)cc3)c2C)nc2ccccc12,True,True,True,True,True,True,False
Cn1cccc1C[NH2+]Cc1cccs1,True,True,True,True,True,True,False
CCC(C)(C)CC(C)C.CCC(C)=C(C)C(C)C.CCC(C)=CC(C)(C)CC.CCC(C)C(C)=C(C)C,True,True,True,True,True,True,False
CCOC(=O)C(C)(CC)c1ccc(CC(C)C)cc1,True,True,True,True,True,True,False
CC(C)CC(NC(=O)C1CCCN1C(=O)C(COC(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NC(CCC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,True,True,True,True,True,True,False
Cc1oc(-c2cccs2)nc1CSC(C)C(=O)NCc1ccccc1Cl,True,True,True,True,True,True,False
COC(=O)c1sccc1NC(=O)CSC(C)CN,True,True,True,True,True,True,False
CCOC(=O)CC1(CC(=O)OCC)C(=O)N(CC(C)C)c2ccc([N+](=O)[O-])cc21,True,True,True,True,True,True,False
c1ccc(-c2c3ccccc3c(-c3ccc(-n4c5ccccc5c5cc(-c6ccc7oc8c(-c9ccccc9)cccc8c7c6)ccc54)cc3)c3ccccc23)cc1.c1ccc(-c2cccc(-c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(-c5c6ccccc6c(-c6ccccc6)c6ccccc56)cc4)cc4c3oc3c(-c5ccccc5)cc(-c5ccc6ccccc6c5)cc34)c2)cc1,True,True,True,True,True,True,False
CC(C)(C)OC(=O)N1Cc2nc(-c3nn(COCC[Si](C)(C)C)c4cc(Br)ccc34)n(COCC[Si](C)(C)C)c2C1.CCc1cc(C)c(F)cc1-c1ccc2c(-c3nc4c(n3COCC[Si](C)(C)C)CN(Cc3cnccn3)C4)nn(COCC[Si](C)(C)C)c2c1.CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(Cc3cnccn3)C4)n[nH]c2c1.C[Si](C)(C)CCOCn1c(-c2nn(COCC[Si](C)(C)C)c3cc(Br)ccc23)nc2c1CN(Cc1cnccn1)C2.N=NN=NCl,True,True,True,True,True,True,False
CC(=CCCC(C=O)=CCC(O)C1=CC(=O)OC1OCC[Si](C)(C)C)CCC1=C(C)CCCC1(C)C,True,True,True,True,True,True,False
CC(O)CCNC(=O)COc1ccc(F)cc1,True,True,True,True,True,True,False
CC1CN(C(C)C(=O)NC2CC2)CC(C)N1.Cl,True,True,True,True,True,True,False
CC(NC(=O)c1cc(=O)c2ccccc2o1)C(=O)O,True,True,True,True,True,True,False
CC1=C(C)C([Si](C)(C)C2C=CC(C(C)C(C)(C)C)=C2)C(C)=C1C,True,True,True,True,True,True,False
NC(=O)CC#Cc1ccc(CO)s1,True,True,True,True,True,True,False
COc1cccc2cc(C(=O)C3=C(O)C(=O)N(Cc4ccccn4)C3c3ccc(C)o3)oc12,True,True,True,True,True,True,False
COc1ccc(-c2ccnc(NCC(C)OC)c2[N+](=O)[O-])c(Cl)c1,True,True,True,True,True,True,False
Cc1sc2ncn(CC(=O)OCC(=O)N3CCCC(C(N)=O)C3)c(=O)c2c1C,True,True,True,True,True,True,False
O=C(O)c1cn(C2CN(Cc3cccc(O)c3)C2)nn1,True,True,True,True,True,True,False
CCN(CCOC(C)(C)C)C1(CN)CCCCCC1,True,True,True,True,True,True,False
CCC1CCCC(NC(c2cccs2)c2ccc(Cl)s2)C1,True,True,True,True,True,True,False
O=S(=O)(Nc1ccc(NCc2ccccc2Cl)cn1)c1ccccc1,True,True,True,True,True,True,False
CC(=O)C(C)C=C(C)CSCc1ccccc1,True,True,True,True,True,True,False
Cl.O=C1c2ccccc2CN1CC1CCN(CCSc2ccc(F)cc2)CC1,True,True,True,True,True,True,False
CCOC(=O)c1c(NCCc2ccc(S(N)(=O)=O)cc2)c(C#N)c(=O)n2ccccc12,True,True,True,True,True,True,False
CCC(O)CCCN1CCN(CC(C)C)CC1,True,True,True,True,True,True,False
CSCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)NC(CCSC)C(=O)O,True,True,True,True,True,True,False
S=C(Nc1ccccc1)Nc1cccc[nH+]1.S=C(Nc1ccccc1)Nc1cccc[nH+]1.[Co+2],True,True,True,True,True,True,False
COCCNCC=Cc1ccccc1F,True,True,True,True,True,True,False
CC(O)Cn1nc([N+](=O)[O-])nc1[N+](=O)[O-],True,True,True,True,True,True,False
CCCCSc1nc(-c2ccc(OC)c(OC)c2)ccc1C#N,True,True,True,True,True,True,False
CC(C)(C)C(N)C(=O)Nc1ccc(OC2CCCC2)c(F)c1,True,True,True,True,True,True,False
COC(=O)C(C)(C)CS(=O)(=O)NC(C(=O)O)c1ccccc1,True,True,True,True,True,True,False
O=C(F)NNC(F)=C(F)F,True,True,True,True,True,True,False
CCCS(=O)(=O)N1CCC(NC(=O)c2ccc(OC(C)c3ccccc3)nc2)CC1,True,True,True,True,True,True,False
