SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
CCC1(C)CCN(C(=O)CC2CCCC2N)C1.Cl,0.5,0.3888888888888889,0.3888888888888889,1.0,0.9999999999999998,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,1.0,0.9999999999999998,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889
CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)CC(=O)OCC1CC(COC(=O)CC(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC)N1C(=O)OCCCN1CCC(C)CC1,0.5,0.18181818181818182,0.18181818181818182,1.0,0.9999999999999998,0.18181818181818182,0.5,0.18181818181818182,0.18181818181818182,1.0,1.0,0.18181818181818182,0.5,0.18181818181818182,0.18181818181818182,0.5,0.18181818181818182,0.18181818181818182,0.5555555555555556,0.20147420147420148,0.18181818181818182
CC(=O)Oc1ccc(N2C(=O)CC(N(Cc3cccnc3)C(=O)Cc3ccc(Cl)cc3)C2=O)cc1,0.5,0.2,0.2,1.0,0.9999999999999998,0.2,0.5,0.2,0.2,1.0,0.9999999999999998,0.2,0.5,0.2,0.2,0.5,0.2,0.2,1.0,1.0,0.2
C=C1C(C)CC(C)C=CC=CC=C(C)C(OC)CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCC3CCC(=O)N3CCOC[Si](C)(C)C)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C1OC.C=C1C(C)CC(C)C=CC=CC=C(C)C(OC)CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCOC[Si](C)(C)C)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C1OC.C=C1C(C)CC(C)C=CC=CC=C(C)C(OC)CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OC[Si](C)(C)C)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C1OC,0.5,0.09417040358744394,0.09417040358744394,1.0,0.9999999999999998,0.09417040358744394,0.5,0.09417040358744394,0.09417040358744394,0.9047619047619048,0.8274610292547513,0.09417040358744394,0.5,0.09417040358744394,0.09417040358744394,0.5,0.09417040358744394,0.09417040358744394,0.49504950495049505,0.09417040358744394,0.09417040358744394
COc1ccc(SCC(=O)NC(CC(N)=O)C(=O)O)cc1,0.5,0.3333333333333333,0.3333333333333333,1.0,0.9999999999999998,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333
CC(C)NC(=O)CCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,0.5,0.23333333333333334,0.23333333333333334,1.0,0.9999999999999998,0.23333333333333334,0.5,0.23333333333333334,0.23333333333333334,1.0,1.0,0.23333333333333334,0.5,0.23333333333333334,0.23333333333333334,0.5,0.23333333333333334,0.23333333333333334,1.0,1.0,0.23333333333333334
CCCCCC=CC=CC=CC=CCCCCCCCC(=O)OC(CC=CCC=CCC=CCC=CCCCCC)CC(=O)NC(CO)C(O)CCCCCCCCCCCCCCCC,0.5,0.10606060606060606,0.10606060606060606,1.0,0.9999999999999998,0.10606060606060606,0.5,0.10606060606060606,0.10606060606060606,1.0,1.0,0.10606060606060606,0.5,0.10606060606060606,0.10606060606060606,0.5,0.10606060606060606,0.10606060606060606,0.9915254237288136,0.875,0.10606060606060606
Cc1nnc(C2CCN(C(=O)C3CC(=O)N(c4cccc(Br)c4)C3)CC2)s1,0.5,0.25925925925925924,0.25925925925925924,1.0,0.9999999999999998,0.25925925925925924,0.5,0.25925925925925924,0.25925925925925924,1.0,0.9999999999999998,0.25925925925925924,0.5,0.25925925925925924,0.25925925925925924,0.5,0.25925925925925924,0.25925925925925924,1.0,1.0,0.25925925925925924
Cc1noc(CNC(=O)N2CCOC(CC(=O)O)C2)n1,0.5,0.35,0.35,1.0,0.9999999999999998,0.35,0.5,0.35,0.35,1.0,0.9999999999999998,0.35,0.5,0.35,0.35,0.5,0.35,0.35,1.0,1.0,0.35
O=C(CC(c1ccccc1)c1ccccc1)OCC(=O)N(c1ccccc1)C1C=CS(=O)(=O)C1,0.5,0.20588235294117646,0.20588235294117646,1.0,0.9999999999999998,0.20588235294117646,0.5,0.20588235294117646,0.20588235294117646,1.0,1.0,0.20588235294117646,0.5,0.20588235294117646,0.20588235294117646,0.5,0.20588235294117646,0.20588235294117646,0.8518518518518519,0.4666666666666667,0.20588235294117646
NC(=O)CCC(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(CC(=O)O)NC(=O)C1CCCN1)C(=O)O,0.5,0.2,0.2,1.0,0.9999999999999998,0.2,0.5,0.2,0.2,1.0,1.0,0.2,0.5,0.2,0.2,0.5,0.2,0.2,1.0,1.0,0.2
O=C(O)CC1C(=O)NCCN1C(=O)NCCOCC(F)F,0.5,0.3333333333333333,0.3333333333333333,1.0,0.9999999999999998,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333
COC(C)C(NC(=O)CC(C)CNC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,0.5,0.21212121212121213,0.21212121212121213,1.0,0.9999999999999998,0.21212121212121213,0.5,0.21212121212121213,0.21212121212121213,1.0,1.0,0.21212121212121213,0.5,0.21212121212121213,0.21212121212121213,0.5,0.21212121212121213,0.21212121212121213,0.9615384615384616,0.7777777777777778,0.21212121212121213
CC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1.CC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(CNC(=O)C1CCCCC1)NC(=O)OCc1ccccc1.CC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)OCc1ccccc1)C(C)C(=O)OC(C)(C)C.CCC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)OCc1ccccc1)C(C)OC(C)(C)C,0.5,0.03910614525139665,0.03910614525139665,1.0,0.9999999999999998,0.03910614525139665,0.5,0.03910614525139665,0.03910614525139665,1.0,0.9999999999999998,0.03910614525139665,0.5,0.03910614525139665,0.03910614525139665,0.5,0.03910614525139665,0.03910614525139665,0.4941860465116279,0.03910614525139665,0.03910614525139665
CCc1cc(C=NN=C2NC(=O)C(CC(=O)O)S2)c(O)c(OC)c1,0.5,0.2916666666666667,0.2916666666666667,1.0,0.9999999999999998,0.2916666666666667,0.5,0.2916666666666667,0.2916666666666667,1.0,1.0,0.2916666666666667,0.5,0.2916666666666667,0.2916666666666667,0.5,0.2916666666666667,0.2916666666666667,1.0,1.0,0.2916666666666667
CC(C)NC(=O)CC(CN)N1CC(C)SC(C)C1,0.5,0.3888888888888889,0.3888888888888889,1.0,0.9999999999999998,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889
CCC(C)C(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)N1CCCC1C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)C(C)O,0.5,0.04861111111111111,0.04861111111111111,1.0,0.9999999999999998,0.04861111111111111,0.5,0.04861111111111111,0.04861111111111111,1.0,0.9999999999999998,0.04861111111111111,0.5,0.04861111111111111,0.04861111111111111,0.5,0.04861111111111111,0.04861111111111111,0.4661105318039624,0.04588642968924658,0.04861111111111111
CCc1cc(-c2cccc(CCc3c(OCCCO)c(OC)c(OCCC(O)C=Cc4ccccc4)c4c3OC(c3ccc(O)cc3)CC4=O)c2)c(N2CCNCC2)[nH]1,0.5,0.11864406779661017,0.11864406779661017,1.0,0.9999999999999998,0.11864406779661017,0.5,0.11864406779661017,0.11864406779661017,1.0,0.9999999999999998,0.11864406779661017,0.5,0.11864406779661017,0.11864406779661017,0.5,0.11864406779661017,0.11864406779661017,1.0,1.0,0.11864406779661017
Nc1c(F)cccc1N1CCC(CC(=O)Nc2ccc3cc2CCc2cncc(c2)Nc2ncc(Cl)c(n2)N3)CC1,0.5,0.17073170731707318,0.17073170731707318,1.0,0.9999999999999998,0.17073170731707318,0.5,0.17073170731707318,0.17073170731707318,1.0,1.0,0.17073170731707318,0.5,0.17073170731707318,0.17073170731707318,0.5,0.17073170731707318,0.17073170731707318,1.0,1.0,0.17073170731707318
