SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CCC(C)c1cc(I)c(OC(=O)c2cc(I)cc(I)c2)c(C(=O)OC(C(F)(F)F)C(F)(F)S(=O)(=O)[O-])c1,True,True,True,True,True,True,False
Cc1nc(CC(=O)Nc2cc(N3CCCS3(=O)=O)ccc2C)no1,True,True,True,True,True,True,False
CCC(C)NC(=O)C(C)N(Cc1ccc(F)cc1)C(=O)CSCc1cc(C)cc(C)c1,True,True,True,True,True,True,False
CCc1ccc(N(CC(=O)NC(CC)c2ccc(S(C)(=O)=O)cc2)S(C)(=O)=O)cc1,True,True,True,True,True,True,False
CS(=O)(=O)NC(CSCP(=O)(O)O)C(=O)N1CCCCC1C(=O)NCC(C(N)=O)c1ccc2ccccc2c1,True,True,True,True,True,True,False
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(O)COCCOc2ccc(Nc3ncc(C(F)(F)F)c(NCc4cccc(N(C)S(C)(=O)=O)c4)n3)cc2)C(C)(C)C)cc1,True,True,True,True,True,True,False
O=C(CCl)N(Cc1ccccc1F)C1Cc2ccccc2C1,True,True,True,True,True,True,False
CC(C)NS(=O)(=O)c1cccc(Cc2nc(Cl)ncc2Cl)c1,True,True,True,True,True,True,False
CCNC(=NCC(c1ccc(OC)c(OC)c1)N1CCOCC1)NCCS(C)(=O)=O.I,True,True,True,True,True,True,False
[C-]#[N+]c1ccc(Cc2ccc(C#N)c(C#N)c2)cc1[N+]#[C-],True,True,True,True,True,True,False
CC(C)C(NC(=O)C1CCN(S(=O)(=O)c2cccs2)CC1)c1ccc(Cl)cc1,True,True,True,True,True,True,False
COC(=O)C(CN(c1ccc(Oc2ccc(C(F)(F)F)cc2)cc1)S(C)(=O)=O)OC(C)C,True,True,True,True,True,True,False
C=Cn1c(-c2ccc(N3C(C)=C(C)SC(C)=C3C)cc2O)nc2ccccc21,True,True,True,True,True,True,False
Cc1cc(C#N)cc(OCCCC(F)(F)F)n1,True,True,True,True,True,True,False
CC(C)c1cc(-c2cccc(Cl)c2)cc(C(C)C)c1NC(=O)N=S(N)(=O)c1ccc(CN(C)C)cc1,True,True,True,True,True,True,False
Cc1c(F)cc(CO)cc1S(=O)(=O)NC1CCCSC1,True,True,True,True,True,True,False
CC(=O)O.CC(=O)O.CSc1nc(C)cc(-c2ccnc(Cl)c2)n1.CSc1nc(Cl)cc(-c2ccnc(Cl)c2)n1.Cc1cc(-c2ccnc(Cl)c2)nc(N2CC3CC2CN3C(=O)OC(C)(C)C)n1.Cc1cc(-c2ccnc(Cl)c2)nc(S(C)(=O)=O)n1.Cc1cc(-c2ccnc(NC(C)c3ccccc3)c2)nc(N2CC3CC2CN3C(=O)OC(C)(C)C)n1.Cl.[Br-].[CH3-].[Mg+2].[Pd],True,True,True,True,True,True,False
CC(CCl)C(=O)Nc1cc(S(C)(=O)=O)ccc1F,True,True,True,True,True,True,False
CC(C)c1ccc(C(=O)NNC(=O)c2cccc(S(=O)(=O)N3CCCC3)c2)cc1,True,True,True,True,True,True,False
CCc1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)c2ncc(NS(C)(=O)=O)o2)c1,True,True,True,True,True,True,False
Cc1ccc(C(Nc2ccc3c(c2)ncn3C)c2cccc(S(C)(=O)=O)c2)cc1,True,True,True,True,True,True,False
