SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
CC1(C)CC(=O)C2C(C)(C1)C1C(=O)CC(C)(C)CC21C,,,,,,,,,,,,,,,,,,,,,
CCN1C(=O)NC(c2cccc(C(F)(F)F)c2)C2C(=O)CC(C)(C)CC21O,0.5,0.4444444444444444,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0,0.4444444444444444,1.0,1.0,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,1.0,1.0,0.4444444444444444
CC1(C)CC(=O)C(N=C=O)C(C)(N=C=O)C1.CCOC(C)=O.OCCCC(F)(C(F)(F)F)C(F)(F)F,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333
CC(C)C(=O)CC(C)(C)CC(C)(C)[NH+]1C(=O)C=CC1=O.[I-],0.5,0.6666666666666666,0.6666666666666666,1.0,0.9999999999999999,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,0.9999999999999999,0.6666666666666666,1.0,0.9999999999999999,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666
CC(C)SCC(NC(=O)CC(C)(C)CC(C)(C)CC(=O)C(C)C)C(=O)O,0.5,0.5384615384615384,0.5384615384615384,1.0,0.9999999999999999,0.5384615384615384,1.0,1.0,0.5384615384615384,1.0,1.0,0.5384615384615384,1.0,0.9999999999999999,0.5384615384615384,0.5,0.5384615384615384,0.5384615384615384,1.0,1.0,0.5384615384615384
CC(=O)OC12CC(C)(C)CC(=O)C1C1CCCCCCC12,0.5,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5714285714285714
CC1(C)CC(=O)C(OC#N)C(C)(OC#N)C1,0.5,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.75,0.9583333333333333,0.9791666666666667,0.75,1.0,1.0,0.75,0.5,0.75,0.75,1.0,1.0,0.75
CC1(C)CC(=O)C2OC2(CC(=O)c2ccc(Cl)cc2)C1,0.5,0.55,0.55,1.0,1.0,0.55,1.0,1.0,0.55,1.0,1.0,0.55,1.0,1.0,0.55,0.5,0.55,0.55,1.0,1.0,0.55
CC1(C)CC(=O)C2OC2(C)C1.Cc1c(C(=O)O)cccc1C(=O)O,0.5,0.4583333333333333,0.4583333333333333,1.0,1.0,0.4583333333333333,1.0,1.0,0.4583333333333333,1.0,1.0,0.4583333333333333,1.0,1.0,0.4583333333333333,0.5,0.4583333333333333,0.4583333333333333,0.4230769230769231,0.4583333333333333,0.4583333333333333
CCN1C(=O)NC(c2ccc(F)cc2)C2C(=O)CC(C)(C)CC21O,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.9583333333333333,0.9583333333333334,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5
CC1(C)CC(=O)C(Br)C(C)(C)C1,,,,,,,,,,,,,,,,,,,,,
CCN1C(=O)NC(c2cccc(F)c2)C2C(=O)CC(C)(C)CC21O,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.9583333333333333,0.9583333333333334,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5
CC1(C)CC(=O)C2C(c3ccccc3)NC(c3ccccc3)C2(C)C1,0.5,0.48,0.48,1.0,1.0,0.48,1.0,1.0,0.48,0.9583333333333333,0.9566666666666668,0.48,1.0,1.0,0.48,0.5,0.48,0.48,0.7307692307692308,0.631578947368421,0.48
CC1(C)CC(=O)C(N=C=O)C(C)(N=C=O)C1.CCCCC(CC)CO.CCOC(C)=O,0.5,0.3870967741935484,0.3870967741935484,1.0,1.0,0.3870967741935484,1.0,1.0,0.3870967741935484,0.9583333333333333,0.9489247311827956,0.3870967741935484,1.0,1.0,0.3870967741935484,0.5,0.3870967741935484,0.3870967741935484,1.0,1.0,0.3870967741935484
