SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CCN(CC)CCNC(=O)c1cc(Cl)c(-c2ccc(C=O)o2)cc1OC,True,True,True,True,True,True,False
CN(C(=O)C1CCC(=O)N(C2CC2)C1c1ccnn1C)c1ccccn1,True,True,True,True,True,True,False
COc1ccccc1-c1ncccc1CN(C(=O)c1ccc(-c2ccc(C#N)cc2)o1)c1ccc(N2CCNCC2)cc1,True,True,True,True,True,True,False
CCCN(C(=O)c1cc(OC)ccc1N)C(C)C,True,True,True,True,True,True,False
CCCOC(=O)c1c[nH]c2c(=O)[nH]c3ccc(S(=O)(=O)N(CC4CCCN4)C(C)C)cc3c12.Cl,True,True,True,True,True,True,False
CC1C=CC(COC(=O)CCC#Cc2cn(C3CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O3)c(=O)[nH]c2=O)C2C(=O)N(CCC(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(CC(=O)O)C(=O)O)C(=O)C12.CCN(CC)CC.CCN(CC)CC.CCN(CC)CC.CCN(CC)CC,True,True,True,True,True,True,False
CC(C)(C)c1ccc(C(=O)Nc2cc3c(cc2CO)CCCCC3)cc1.CCn1nc(C(=O)Nc2cc3c(cc2OC)CCCCC3)cc1C.CN(C(=O)c1ccc(C(C)(C)C)cc1)c1ccc2c(c1)CCCCC2.COc1cc2c(cc1N(C)C(=O)c1ccc(C(C)(C)C)cc1)CCCCC2.Cc1cc(C(=O)Nc2ccc3c(c2)CCCCC3)nn1C(C)(C)C,True,True,True,True,True,True,False
CCCN(CCC)CC1Cc2cc(OC(=O)NC(C)C)ccc2O1,True,True,True,True,True,True,False
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCN(C)CCN(CCCCC)CCN(CCC(=O)OC)CCC(=O)OCCCCCCCCCCCCCC,True,True,True,True,True,True,False
C=C(SCc1ccccc1C)SC(=C)C(=O)N(C)CCOCCOCCOCCC(=O)N1CCN(CCC2(c3ccc(Cl)cc3)SC2CC)CC1,True,True,True,True,True,True,False
CC(=O)OC1CC(CC[SiH3])CCC1O.CC(=O)OCCC[SiH3].CC(C)(C)OCCC[SiH3].CCC(C)(C)OCCC[SiH3].CO.COC.COC(C)=O.COC(C)OCCC[SiH3].COCOCCC[SiH3].OCC(O)COCCC[SiH3].OCC(O)COCCC[SiH3].OCC(O)COCCC[SiH3].[SiH3]CCCOC1CCCCO1.[SiH3]CCCOC1CCCO1.[SiH3]c1ccccc1.[SiH3]c1ccccc1.[SiH3]c1ccccc1,True,True,True,True,True,True,False
CCCCCCCCC(CCCCCC)COC(=O)CCCCCN(CCCCCC(=O)OCC(CCCCCC)CCCCCCCC)CCN(CCCCC)C1CCC1,True,True,True,True,True,True,False
COc1ccc(OC)c(S(=O)(=O)NN=Cc2ccccc2C)c1,True,True,True,True,True,True,False
CC1CCCC(S(=O)(=O)c2cc(F)ccc2N)C1,True,True,True,True,True,True,False
CCN(CC)CCCOc1cc(N)ccc1C#N.O=P(O)(O)O,True,True,True,True,True,True,False
NC(=O)C(=O)N(CCOC1CCC(Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)CC1)c1ccc2cc(Cl)ccc2c1,True,True,True,True,True,True,False
CC(C)c1cccc(C(C)C)c1N.CCC(C)(C)OC(=O)N1CCCCC1.CCN1CCN(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)CC1.O=C(O)c1ccccc1[O-].O=C1OCCC1N1CCN(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O)CC1.O=C1OCCC1N1CCN(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)CC1.OCCOCCN(CCOCCO)CCOCCO.c1ccc(-c2nc3ccccc3[nH]2)cc1.c1ccc([S+](c2ccccc2)c2ccccc2)cc1.c1ccc([S+](c2ccccc2)c2ccccc2)cc1.c1ccc([S+](c2ccccc2)c2ccccc2)cc1.c1ccc([S+](c2ccccc2)c2ccccc2)cc1,True,True,True,True,True,True,False
CCCCCCCCCCN(CCCCCCCCCC)CCCC(=O)Oc1c(OC)cc(C(=O)OCCCN(C)C)cc1OC,True,True,True,True,True,True,False
CCC(OC)C(=O)O.CCC(OC)C(=O)OC.CCC(OC)C(=O)OC(C)(C)C.CCC(OC)C(=O)OC(C)C.CCC(OC)C(=O)OCC1CC1.CCC(OC)C(=O)OCc1ccccc1.CCCOC(=O)C(CC)OC.CCOC(=O)C(CC)OC,True,True,True,True,True,True,False
CCOc1ccc2nc(N(CCN(CC)CC)C(=O)c3cnccn3)sc2c1,True,True,True,True,True,True,False
CCN(CC)CCCNc1nc(-c2cc(C(=O)NC(C)(C)C)ccc2C)c2ccc(=O)n(-c3c(F)cccc3F)c2n1,True,True,True,True,True,True,False
CN=C(NCc1ccc(C)cc1)N1CCN(c2ncccn2)CC1,True,True,True,True,True,True,False
CCN(C(=O)c1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)c(C)c1)C(C)C(=O)O,True,True,True,True,True,True,False
CCCCC(CC)COC.CCCCC(CC)COC(=O)CCCCC(C)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCC=O)CC(O)CCCCC(=O)OCC(CC)CCCC)NC1=O)CC(O)CCCCC(=O)OCC(CC)CCCC,True,True,True,True,True,True,False
CN(C)c1ccc(C(=O)Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)cc1,True,True,True,True,True,True,False
