SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
NCCCc1cc(N)n(C2C3CC4CC(C3)CC2C4)n1,0.5,0.4,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,0.5,0.4,0.4,1.0,1.0,0.4
O=C(OC1C(O)OC(COC(c2ccccc2)(c2ccccc2)c2ccccc2)C(OC(=O)c2ccccc2)C1OC(=O)c1ccccc1)c1ccccc1,0.5,0.2,0.2,0.8636363636363636,0.7818181818181819,0.2,0.8636363636363636,0.7818181818181819,0.2,1.0,1.0,0.2,0.8636363636363636,0.7818181818181819,0.2,0.5,0.2,0.2,0.8636363636363636,0.7818181818181819,0.2
CC(C)(CCC(CO)(CO)CCC(C)(C)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(CCCC(CO)(CO)CCCC(C)(C)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)C[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C.CC(CCC(CO)(CO)CCC(C)C(C)[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C)C(C)[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,0.5,0.096,0.096,0.75,0.548,0.096,0.75,0.548,0.096,1.0,1.0,0.096,0.75,0.548,0.096,0.5,0.096,0.096,0.49557522123893805,0.096,0.096
CC(CC(=O)O)ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC3=NC(N)=C(N)CN3C)CSC12)c1csc(N)n1,0.5,0.14634146341463414,0.14634146341463414,1.0,1.0,0.14634146341463414,1.0,1.0,0.14634146341463414,1.0,1.0,0.14634146341463414,1.0,1.0,0.14634146341463414,0.5,0.14634146341463414,0.14634146341463414,1.0,1.0,0.14634146341463414
CCC(C)C(C(=O)N1CCCC1CC(N)=O)N(C)C(=O)C(CC(C)C)NC(=O)C(CCN)NC(=O)CCC(NS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1)C(=O)O,0.5,0.1,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,0.9999999999999999,0.1,1.0,1.0,0.1,0.5,0.1,0.1,0.5277777777777778,0.10526315789473684,0.1
CC1CC1[N+](C)(N)N,0.5,0.625,0.625,1.0,1.0,0.625,1.0,1.0,0.625,1.0,1.0,0.625,1.0,1.0,0.625,0.5,0.625,0.625,1.0,1.0,0.625
CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)C=CCCC=CCCCCCCCCCCC,0.5,0.22077922077922077,0.22077922077922077,0.7352941176470589,0.5874713521772346,0.22077922077922077,0.7352941176470589,0.5874713521772346,0.22077922077922077,1.0,1.0,0.22077922077922077,0.7352941176470589,0.5874713521772346,0.22077922077922077,0.5,0.22077922077922077,0.22077922077922077,0.7941176470588236,0.679144385026738,0.22077922077922077
O=C1CCCCC(=O)N1C1CCCC1CO,0.5,0.375,0.375,1.0,1.0,0.375,1.0,1.0,0.375,1.0,1.0,0.375,1.0,1.0,0.375,0.5,0.375,0.375,1.0,1.0,0.375
CCC(C)C(NC(=O)C1CCCCN1C)C(=O)N(CCCCc1cn(-c2ccccc2)nn1)C(CC(OC(C)=O)c1nc(C(=O)NC(Cc2ccc(C)cc2)CC(C)(C)C(=O)O)cs1)C(C)C,0.5,0.1791044776119403,0.1791044776119403,0.75,0.5895522388059702,0.1791044776119403,0.75,0.5895522388059702,0.1791044776119403,0.9583333333333333,0.931592039800995,0.1791044776119403,0.75,0.5895522388059702,0.1791044776119403,0.5,0.1791044776119403,0.1791044776119403,0.7916666666666667,0.6579601990049752,0.1791044776119403
O=C(O)CCCCC(S)C1CCOCC1,0.5,0.4,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,0.5,0.4,0.4,1.0,1.0,0.4
