SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
COc1ccc(CCC(=O)O)c(OCCOc2ccc(C(C)C)cc2)c1,True,True,True,True,True,True,False
CCOCCCNC(=O)c1c(Nc2cccc(Cl)c2)sc(C(=O)Nc2ccc(Br)c(C)c2)c1N,True,True,True,True,True,True,False
O=C(NCCS(=O)(=O)N1CCCCCC1)c1ccc(Cl)c(Cl)c1,True,True,True,True,True,True,False
CCOC(=O)C(CCc1ccccc1OC)CC(C)C,True,True,True,True,True,True,False
COc1ccc(C(=O)CSc2nnc(-c3ccccc3F)n2CC(C)C)cc1Br,True,True,True,True,True,True,False
COc1cc(CNC(CC(C)C)C(=O)O)ccc1OC(C)C,True,True,True,True,True,True,False
Cc1cc(Cc2ccccc2)cc(Cl)c1C(=O)O,True,True,True,True,True,True,False
CCC(C)C(Nc1ccc2c(cc1=O)C(NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2)C(=O)N1CCN(S(=O)(=O)C(C)C)CC1,True,True,True,True,True,True,False
COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C(C)C(=O)OC(C)(C)C)cc1OC.COc1ccc(CC2c3cc(OC)c(OC)cc3CCN2C(C)C(=O)OC(C)(C)C)cc1OC.O=C(O)C(=O)O,True,True,True,True,True,True,False
CC(CSCC(N)=O)C(=O)NC(CCN)C(=O)NCCOCCOCC(=O)NCCCCCCCCCCC(=O)O,True,True,True,True,True,True,False
CC(C)CCC(=O)C(CCCCNC(=O)OCc1ccccc1)OCC(=O)c1cccc(C(=O)COC(CCCCNC(=O)OCc2ccccc2)C(=O)CCC(C)C)c1,True,True,True,True,True,True,False
CCCCCOc1ccc(C(C)NC(=O)c2ccc(=O)n(-c3ccc(F)cc3)n2)cc1OC,True,True,True,True,True,True,False
Cc1ccccc1CCc1nnc(CO)n1C,True,True,True,True,True,True,False
Cc1cc(N2CCN(Cc3ccccc3)C(=O)C2)n2ncnc2n1,True,True,True,True,True,True,False
COc1cccc(CC(=O)N2CCN(C(=O)C(C)C3CNC3)CC2)c1,True,True,True,True,True,True,False
CCOc1ccc(S(=O)(=O)NCc2cccs2)cc1C(=O)O,True,True,True,True,True,True,False
CC(C)CCN(C)C(Cc1ccncc1)C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)NCCN1CCCCC1,True,True,True,True,True,True,False
COc1ccccc1C(Cn1c(=O)n(C(C)C(=O)NS(=O)(=O)C2(c3cnc(-c4sc5c(c4C)c(=O)n(C(C)C(=O)NS(=O)(=O)C(C)(C)C)c(=O)n5CC(OC4CC5CCC(C4)O5)c4ccccc4OC)o3)CC2)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CC2CCC(C1)O2,True,True,True,True,True,True,False
CNC(=O)C(Cc1ccc(OC)cc1)NC(=O)C(C)(CC(C)C)c1c(S)cccc1Cl,True,True,True,True,True,True,False
CC(=O)OC1CC(C)(C)C(=C=CC(C)OC2OC(CO)C(O)C(O)C2O)C(C)(O)C1,True,True,True,True,True,True,False
CC(=O)NC(=O)NCC(C)C(=O)N1CCN(c2cc(F)cc(-c3cn[nH]c3)c2)CC1,True,True,True,True,True,True,False
C.C.C.C.C.C.C1CCNC1.C1CCOCC1.C1CCOCC1.C1CNCN1.C1COCCN1.C1COCCN1,True,True,True,True,True,True,False
CC(=O)C(C)OC(=O)C(CC(C)C)N(C)C(=O)COC(=C1CCC1)C(C)CC(C)C,True,True,True,True,True,True,False
COC(=O)C(C)NC(=O)Cc1ccc(OC)c(OC)c1,True,True,True,True,True,True,False
O=P(O)(O)CNS(=O)(=O)c1cc2c(F)c(F)c(OCCI)c(F)c2s1,True,True,True,True,True,True,False
CCOC(=O)c1ccc(C(F)(F)F)nc1NN,True,True,True,True,True,True,False
CC(C)CCCCCCC(=O)Oc1ccc(CN(C)C)c(CN(C)C)c1CN(C)C,True,True,True,True,True,True,False
O=P(O)(O)OCC1OC(n2cnc3c(NCc4c(Cl)cccc4Cl)ncnc32)C(O)C1O,True,True,True,True,True,True,False
CNC(=O)C(CC(C)C)NC1CC(c2ccc(Cl)cc2)C1,True,True,True,True,True,True,False
CCCCc1ccc2c(c1CCCC)Oc1c(CCCC)c(O)c(O)c(CCCC)c1O2,True,True,True,True,True,True,False
CC(C)Cc1cnc(-c2ccnc(CC(=O)c3ccccc3)c2)[nH]1,True,True,True,True,True,True,False
