SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
Cn1ccnc1S(=O)(=O)C1CC2CN(Sc3ccc4c(c3)CCO4)CC2C1,0.5,0.25925925925925924,0.25925925925925924,1.0,1.0,0.25925925925925924,1.0,1.0,0.25925925925925924,1.0,1.0,0.25925925925925924,1.0,1.0,0.25925925925925924,0.5,0.25925925925925924,0.25925925925925924,1.0,1.0,0.25925925925925924
Cc1ccc(CN2CC(S(=O)(=O)F)CC2=O)c(Cl)c1,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789
CC(NS(=O)(=O)C1CCNC1)C(=O)N1CCOCC1,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789
CNC1C(S(=O)(=O)Cc2cccc(C)c2)CCCC1(C)C,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.8214285714285714,0.5833333333333334,0.3333333333333333
COC(=O)C(CC=CCO[Si](C)(C)C(C)(C)C)S(=O)(=O)c1ccccc1,0.5,0.2692307692307692,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,0.5,0.2692307692307692,0.2692307692307692,1.0,1.0,0.2692307692307692
CCc1ccc2oc(=O)cc(CN3CC4C(N(C)C)CS(=O)(=O)C4C3)c2c1,0.5,0.25925925925925924,0.25925925925925924,1.0,1.0,0.25925925925925924,1.0,1.0,0.25925925925925924,1.0,1.0,0.25925925925925924,1.0,1.0,0.25925925925925924,0.5,0.25925925925925924,0.25925925925925924,1.0,1.0,0.25925925925925924
CCNCC(C)S(=O)(=O)N(CCOC)C(C)C,0.5,0.4117647058823529,0.4117647058823529,1.0,1.0,0.4117647058823529,1.0,1.0,0.4117647058823529,1.0,0.9999999999999998,0.4117647058823529,1.0,1.0,0.4117647058823529,0.5,0.4117647058823529,0.4117647058823529,1.0,1.0,0.4117647058823529
NCC1CCCC1NC(=O)CS(=O)(=O)C1CCCC1,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789
CC(C)S(=O)(=O)N(c1cc(-c2c(C(F)(F)F)n(C)c(=O)[nH]c2=O)c(F)cc1C#N)S(C)(=O)=O,0.5,0.21212121212121213,0.21212121212121213,1.0,1.0,0.21212121212121213,1.0,1.0,0.21212121212121213,1.0,0.9999999999999999,0.21212121212121213,1.0,1.0,0.21212121212121213,0.5,0.21212121212121213,0.21212121212121213,0.5384615384615384,0.22580645161290322,0.21212121212121213
CC(C#N)N1CCN(S(=O)(=O)C(C)C#N)CC1,0.5,0.4117647058823529,0.4117647058823529,1.0,1.0,0.4117647058823529,1.0,1.0,0.4117647058823529,1.0,0.9999999999999999,0.4117647058823529,1.0,1.0,0.4117647058823529,0.5,0.4117647058823529,0.4117647058823529,1.0,1.0,0.4117647058823529
CC(=O)N1CCN(S(=O)(=O)C2CON(C)C2c2ccc(Cl)c(Cl)c2)CC1,0.5,0.2692307692307692,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,0.9999999999999998,0.2692307692307692,1.0,1.0,0.2692307692307692,0.5,0.2692307692307692,0.2692307692307692,0.7894736842105263,0.4666666666666667,0.2692307692307692
N#CCOc1cccc(NC(=O)C2CCCCS2(=O)=O)c1,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333
CN(OC(=O)C(CCSSc1ccccn1)S(=O)(=O)O)C(=O)CCC=O,0.5,0.2692307692307692,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,1.0,1.0,0.2692307692307692,0.5,0.2692307692307692,0.2692307692307692,1.0,1.0,0.2692307692307692
CCOc1ccc(F)c(C(Nc2ccc3c(N)nccc3c2)C(=O)N2CCCC2c2ccccc2S(=O)(=O)C(C)C)c1.O=C(O)C(F)(F)F,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,0.9999999999999998,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.9166666666666667,0.5,0.14285714285714285
O=S(=O)(C1CC2C=CC1C2)N1CCC2(CCc3ccccc32)CC1,0.5,0.2916666666666667,0.2916666666666667,1.0,1.0,0.2916666666666667,1.0,1.0,0.2916666666666667,1.0,0.9999999999999998,0.2916666666666667,1.0,1.0,0.2916666666666667,0.5,0.2916666666666667,0.2916666666666667,0.9705882352941176,0.875,0.2916666666666667
CCS(=O)(=O)CCNC1CCCC(S(C)(=O)=O)C1,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889,1.0,1.0,0.3888888888888889,1.0,0.9999999999999998,0.3888888888888889,1.0,1.0,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889
O=S(=O)(NCc1ccc(F)c(Cl)c1)C1CCCNC1,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,1.0,1.0,0.3684210526315789,0.5,0.3684210526315789,0.3684210526315789,1.0,1.0,0.3684210526315789
CCc1noc(C)c1Cn1c(NS(=O)(=O)C(C)C(OC(C)C)c2ncc(C)cn2)nnc1-c1cccc(OC)n1,0.5,0.175,0.175,1.0,1.0,0.175,1.0,1.0,0.175,1.0,1.0,0.175,1.0,1.0,0.175,0.5,0.175,0.175,1.0,1.0,0.175
CC(C)S(=O)(=O)N1CCCC2CC21CN,0.5,0.4666666666666667,0.4666666666666667,1.0,1.0,0.4666666666666667,1.0,1.0,0.4666666666666667,1.0,1.0,0.4666666666666667,1.0,1.0,0.4666666666666667,0.5,0.4666666666666667,0.4666666666666667,1.0,1.0,0.4666666666666667
CC(CN)S(=O)(=O)Cc1cc(Br)cc2c1OCC2,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889,1.0,1.0,0.3888888888888889,1.0,0.9999999999999998,0.3888888888888889,1.0,1.0,0.3888888888888889,0.5,0.3888888888888889,0.3888888888888889,1.0,1.0,0.3888888888888889
C=CC1CC1(N)C(=O)NS(=O)(=O)C1CC1.CCC1CC1(N)C(=O)NS(=O)(=O)C1CC1,0.5,0.4666666666666667,0.4666666666666667,0.75,0.7333333333333333,0.4666666666666667,0.75,0.7333333333333333,0.4666666666666667,0.9642857142857143,0.9619047619047618,0.4666666666666667,0.75,0.7333333333333333,0.4666666666666667,0.5,0.4666666666666667,0.4666666666666667,0.5714285714285714,0.5428571428571429,0.4666666666666667
