SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
Cc1ccc(CC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccc(C(=O)C(C)O[Si](C)(C)C(C)(C)C)c(F)n1.Cc1ccc(CC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccc2c(C(C)O[Si](C)(C)C(C)(C)C)[nH]nc2n1,0.5,0.10256410256410256,0.10256410256410256,0.75,0.5512820512820513,0.10256410256410256,0.75,0.5512820512820513,0.10256410256410256,1.0,1.0,0.10256410256410256,0.75,0.5512820512820513,0.10256410256410256,0.5,0.10256410256410256,0.10256410256410256,0.4857142857142857,0.10256410256410256,0.10256410256410256
COc1cccc(CN2CCC(NC(=O)c3sc(CC(C)C)nc3C)CC2)c1,0.5,0.2857142857142857,0.2857142857142857,0.75,0.6428571428571428,0.2857142857142857,0.75,0.6428571428571428,0.2857142857142857,1.0,1.0,0.2857142857142857,0.75,0.6428571428571428,0.2857142857142857,0.5,0.2857142857142857,0.2857142857142857,0.6875,0.41964285714285715,0.2857142857142857
O=C1C(N2CC(Cn3nc(-c4ccncc4)ccc3=O)C2)CCN1CC(F)(F)F,0.5,0.27586206896551724,0.27586206896551724,0.75,0.6379310344827587,0.27586206896551724,0.75,0.6379310344827587,0.27586206896551724,1.0,1.0,0.27586206896551724,0.75,0.6379310344827587,0.27586206896551724,0.5,0.27586206896551724,0.27586206896551724,0.8125,0.728448275862069,0.27586206896551724
CNC(CCN1CCOCC1)c1ccccc1Cl,0.5,0.2222222222222222,0.2222222222222222,1.0,1.0,0.2222222222222222,1.0,1.0,0.2222222222222222,1.0,1.0,0.2222222222222222,1.0,1.0,0.2222222222222222,0.5,0.2222222222222222,0.2222222222222222,1.0,1.0,0.2222222222222222
CCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC)COC(=O)CCCCCCCCC=CC=CCCCCC,0.5,0.07407407407407407,0.07407407407407407,1.0,1.0,0.07407407407407407,1.0,1.0,0.07407407407407407,1.0,1.0,0.07407407407407407,1.0,1.0,0.07407407407407407,0.5,0.07407407407407407,0.07407407407407407,1.0,1.0,0.07407407407407407
CCCCCCC1(CCCCCCC=CCCC2OC(C(Cl)(Cl)Cl)=NCC2(O)CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)OCCO1,0.5,0.0784313725490196,0.0784313725490196,1.0,1.0,0.0784313725490196,1.0,1.0,0.0784313725490196,1.0,1.0,0.0784313725490196,1.0,1.0,0.0784313725490196,0.5,0.0784313725490196,0.0784313725490196,1.0,1.0,0.0784313725490196
CCC(C)(C)C(=O)OCCOP(=O)(O)O.CCC(C)(C)C(N)=O.CCC(C)(CO)C(N)=O.CCC(C)C(=O)NC(C)C.CCC(C)C(=O)OCCNC(=O)NCCC[Si](OC)(OC)OC.CCC(C)C(=O)OCCNC(=O)NCCC[Si](OC)(OC)OC.CCC(C)C(N)=O.CCC(C)NC(C)=O.CCO[Si](CCCNC(=O)NCCOC(=O)C(C)CC)(OCC)OCC.CCO[Si](CCCNC(=O)NCCOC(=O)C(C)CC)(OCC)OCC.CCO[Si](CCCNC(=O)NCCOC(=O)C(C)CC)(OCC)OCC.CCO[Si](CCCNC(=O)OCCOC(=O)C(C)CC)(OCC)OCC,0.5,0.1932367149758454,0.1932367149758454,0.55,0.2739130434782609,0.1932367149758454,0.55,0.2739130434782609,0.1932367149758454,0.875,0.7983091787439613,0.1932367149758454,0.55,0.2739130434782609,0.1932367149758454,0.5,0.1932367149758454,0.1932367149758454,0.4940119760479042,0.1932367149758454,0.1932367149758454
Cc1nocc1-c1ccc(CC(NC(=O)c2ccc(NC(=O)O)cc2)C(=O)N2CCC3(C2)OC(=O)Nc2ccc(Cl)cc23)cc1,0.5,0.08888888888888889,0.08888888888888889,1.0,1.0,0.08888888888888889,1.0,1.0,0.08888888888888889,1.0,1.0,0.08888888888888889,1.0,1.0,0.08888888888888889,0.5,0.08888888888888889,0.08888888888888889,1.0,1.0,0.08888888888888889
Cc1ccc(NC(=O)COC(=O)C2CCCN2C(=O)c2cccs2)c(S(=O)(=O)N2CCOCC2)c1,0.5,0.11428571428571428,0.11428571428571428,1.0,1.0,0.11428571428571428,1.0,1.0,0.11428571428571428,1.0,1.0,0.11428571428571428,1.0,1.0,0.11428571428571428,0.5,0.11428571428571428,0.11428571428571428,1.0,1.0,0.11428571428571428
CC(C)NCCCn1ncc(N2CCN(C)CC2)cc1=O,0.5,0.19047619047619047,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,0.5,0.19047619047619047,0.19047619047619047,1.0,1.0,0.19047619047619047
Cc1cccc(CCC(=O)N2CCCC(Oc3ccc(C)nn3)C2)c1,0.5,0.16,0.16,1.0,1.0,0.16,1.0,1.0,0.16,1.0,1.0,0.16,1.0,1.0,0.16,0.5,0.16,0.16,1.0,1.0,0.16
Cc1cccc(C)c1-c1ccnc2cc(OC(C)C(=O)N3CCC(C(=O)CC(C)(C)C)CC3)ccc12,0.5,0.2222222222222222,0.2222222222222222,0.75,0.6111111111111112,0.2222222222222222,0.75,0.6111111111111112,0.2222222222222222,1.0,1.0,0.2222222222222222,0.75,0.6111111111111112,0.2222222222222222,0.5,0.2222222222222222,0.2222222222222222,0.7767857142857143,0.5297619047619048,0.2222222222222222
C[B]SCCC(C)CC1CC(C)C(S[B]C)C1,0.5,0.6470588235294118,0.6470588235294118,0.6818181818181819,0.7754010695187167,0.6470588235294118,0.6818181818181819,0.7754010695187167,0.6470588235294118,1.0,1.0,0.6470588235294118,0.6818181818181819,0.7754010695187167,0.6470588235294118,0.5,0.6470588235294118,0.6470588235294118,0.6818181818181819,0.7754010695187166,0.6470588235294118
CC(F)(F)c1ncc(-c2cc(CCC(=O)C3CC(F)CN3S(=O)(=O)c3ccc(F)cc3)c(C#N)cn2)cn1.CC(F)(F)c1ncc(-c2cc(CCC(=O)C3CC(F)CN3S(=O)(=O)c3ccc(F)cc3)c(Cl)cn2)cn1.CC(F)(F)c1ncc(-c2cc(CCC(=O)C3CC(F)CN3S(=O)(=O)c3ccc(F)cc3)ncc2Cl)cn1.COc1cc(CNC(=O)C2CC(F)CN2S(=O)(=O)c2ccc(F)cc2)cc(-c2cnc(C(C)(F)F)nc2)n1.Cc1cc(-c2cnc(C(C)(F)F)nc2)cc(CCC(=O)C2C(F)CCN2S(=O)(=O)c2ccc(F)cc2)n1,0.5,0.18181818181818182,0.18181818181818182,0.5588235294117647,0.27807486631016043,0.18181818181818182,0.5588235294117647,0.27807486631016043,0.18181818181818182,0.9117647058823529,0.8556149732620321,0.18181818181818182,0.5588235294117647,0.27807486631016043,0.18181818181818182,0.5,0.18181818181818182,0.18181818181818182,0.5294117647058824,0.2299465240641711,0.18181818181818182
N#Cc1c(F)cccc1NC(=O)CC1CSCCN1,0.5,0.21052631578947367,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,0.5,0.21052631578947367,0.21052631578947367,1.0,1.0,0.21052631578947367
CC(C)(N)S(=O)(=O)NC(=O)C1CCCN(CC2=Cc3c(F)cc(OCc4ccc(OC(CF)CF)c(C(F)(F)F)c4)cc3OC2)C1,0.5,0.17391304347826086,0.17391304347826086,0.75,0.5869565217391304,0.17391304347826086,0.75,0.5869565217391304,0.17391304347826086,1.0,1.0,0.17391304347826086,0.75,0.5869565217391304,0.17391304347826086,0.5,0.17391304347826086,0.17391304347826086,0.6282894736842104,0.2296910755148741,0.17391304347826086
CN(C)C(CCC[n+]1ccccc1)CCOc1ccc(C(=O)ON2C(=O)CCC2=O)cc1,0.5,0.125,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,0.5,0.125,0.125,1.0,1.0,0.125
C=C1CCC2C(OC(C)=O)C(C3(C)Cc4cn[nH]c4CC3CO[Si](C)(C)C(C)(C)C)CCC12C,0.5,0.3235294117647059,0.3235294117647059,0.6818181818181819,0.5695187165775402,0.3235294117647059,0.6818181818181819,0.5695187165775402,0.3235294117647059,0.9545454545454546,0.9385026737967914,0.3235294117647059,0.6818181818181819,0.5695187165775402,0.3235294117647059,0.5,0.3235294117647059,0.3235294117647059,0.6818181818181819,0.5695187165775402,0.3235294117647059
CCOC(C)(C)C(=O)C1CCCC(CC)C1,0.5,0.4375,0.4375,0.7857142857142857,0.7589285714285714,0.4375,0.7857142857142857,0.7589285714285714,0.4375,1.0,0.9999999999999998,0.4375,0.7857142857142857,0.7589285714285714,0.4375,0.5,0.4375,0.4375,0.7857142857142857,0.7589285714285714,0.4375
Cl.N=C(N)c1ccc(CNC(C(=O)NCC(=O)NCc2cccnc2)c2ccc3c(c2)OCO3)cc1,0.5,0.1111111111111111,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,0.5,0.1111111111111111,0.1111111111111111,1.0,1.0,0.1111111111111111
COCc1ccc(Oc2cc(OC3CCOCC3)c3[nH]c(C4=NCC(CC(=O)O)S4)cc3c2)cn1,0.5,0.22857142857142856,0.22857142857142856,0.75,0.6142857142857143,0.22857142857142856,0.75,0.6142857142857143,0.22857142857142856,0.9375,0.9035714285714286,0.22857142857142856,0.75,0.6142857142857143,0.22857142857142856,0.5,0.22857142857142856,0.22857142857142856,0.7013888888888888,0.3698051948051948,0.22857142857142856
Nc1ccc(CBr)c(C(F)F)n1,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333
CCCCC(CC)COc1nc(NCCC)c(Cl)cc1Cl,0.5,0.19047619047619047,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,1.0,1.0,0.19047619047619047,0.5,0.19047619047619047,0.19047619047619047,1.0,1.0,0.19047619047619047
NSSSSSS[S-].O=[C-]NC1CC2C(=O)N(c3ccc(SF)cc3)CC(=O)N2C1.[Y],0.5,0.22580645161290322,0.22580645161290322,0.7857142857142857,0.6682027649769584,0.22580645161290322,0.7857142857142857,0.6682027649769584,0.22580645161290322,1.0,1.0,0.22580645161290322,0.7857142857142857,0.6682027649769584,0.22580645161290322,0.5,0.22580645161290322,0.22580645161290322,0.7857142857142857,0.6682027649769585,0.22580645161290322
COc1ccc(N2CCN(C(=O)CC3=NNNN3)C(Cc3ccccc3)C2)cc1OC1CCCC1,0.5,0.22857142857142856,0.22857142857142856,0.75,0.6142857142857143,0.22857142857142856,0.75,0.6142857142857143,0.22857142857142856,1.0,1.0,0.22857142857142856,0.75,0.6142857142857143,0.22857142857142856,0.5,0.22857142857142856,0.22857142857142856,0.7384259259259259,0.43293650793650795,0.22857142857142856
CC(C)(C)OC(=O)NC1c2ccccc2CC12CCN(c1cnc(Sc3ccnc(Cl)c3Cl)cn1)CC2,0.5,0.10810810810810811,0.10810810810810811,1.0,1.0,0.10810810810810811,1.0,1.0,0.10810810810810811,1.0,1.0,0.10810810810810811,1.0,1.0,0.10810810810810811,0.5,0.10810810810810811,0.10810810810810811,1.0,1.0,0.10810810810810811
C=C(C)C(=O)OCC(C)(CCc1ccc(C2CCC(c3ccc(CCCCC)cc3)CC2)cc1)COC.C=C(C=O)CO,0.5,0.18604651162790697,0.18604651162790697,0.75,0.5930232558139534,0.18604651162790697,0.75,0.5930232558139534,0.18604651162790697,1.0,1.0,0.18604651162790697,0.75,0.5930232558139534,0.18604651162790697,0.5,0.18604651162790697,0.18604651162790697,0.8125,0.6947674418604651,0.18604651162790697
CC1CN(C(=O)C2CCC(C(=O)O)CC2)CC(c2ccccc2)O1,0.5,0.625,0.625,0.6333333333333333,0.7250000000000001,0.625,0.6333333333333333,0.7250000000000001,0.625,1.0,1.0,0.625,0.6333333333333333,0.7250000000000001,0.625,0.5,0.625,0.625,0.711111111111111,0.7657407407407407,0.625
CCN(CC(=O)NC(C)C(C)C)CC1CCCNC1,0.5,0.5263157894736842,0.5263157894736842,0.7,0.7157894736842105,0.5263157894736842,0.7,0.7157894736842105,0.5263157894736842,1.0,1.0,0.5263157894736842,0.7,0.7157894736842105,0.5263157894736842,0.5,0.5263157894736842,0.5263157894736842,0.5833333333333334,0.575657894736842,0.5263157894736842
Cc1ccc(C2C(C)CCCN2C(=O)c2ccn(C3CCCNC3)n2)cc1,0.5,0.37037037037037035,0.37037037037037035,0.7,0.6222222222222222,0.37037037037037035,0.7,0.6222222222222222,0.37037037037037035,1.0,1.0,0.37037037037037035,0.7,0.6222222222222222,0.37037037037037035,0.5,0.37037037037037035,0.37037037037037035,0.711764705882353,0.548148148148148,0.37037037037037035
O=C(Nc1ccc(-c2nc3ccc(NC(=O)C4CCCN4C(=O)Cc4ccccc4)cc3[nH]2)cc1)C1CCCN1C(=O)Cc1ccccc1,0.5,0.16326530612244897,0.16326530612244897,0.75,0.5816326530612245,0.16326530612244897,0.75,0.5816326530612245,0.16326530612244897,1.0,1.0,0.16326530612244897,0.75,0.5816326530612245,0.16326530612244897,0.5,0.16326530612244897,0.16326530612244897,0.5564024390243902,0.18141679748822606,0.16326530612244897
Cn1cc(CN2CC(F)CC2CNC(=O)C2=CCCCCC2)cn1,0.5,0.2916666666666667,0.2916666666666667,0.7857142857142857,0.6964285714285714,0.2916666666666667,0.7857142857142857,0.6964285714285714,0.2916666666666667,1.0,0.9999999999999998,0.2916666666666667,0.7857142857142857,0.6964285714285714,0.2916666666666667,0.5,0.2916666666666667,0.2916666666666667,0.7857142857142857,0.6964285714285714,0.2916666666666667
COc1cncc(C(O)Cc2cccc(Cl)c2F)c1,0.5,0.21052631578947367,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,0.5,0.21052631578947367,0.21052631578947367,1.0,1.0,0.21052631578947367
COc1ccccc1C(=O)N(C)CC1CNCCO1,0.5,0.21052631578947367,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,1.0,1.0,0.21052631578947367,0.5,0.21052631578947367,0.21052631578947367,1.0,1.0,0.21052631578947367
CCNC(COCCOC(C)C)c1ccc(OCC)cc1,0.5,0.38095238095238093,0.38095238095238093,0.75,0.6904761904761905,0.38095238095238093,0.75,0.6904761904761905,0.38095238095238093,1.0,1.0,0.38095238095238093,0.75,0.6904761904761905,0.38095238095238093,0.5,0.38095238095238093,0.38095238095238093,0.6971153846153846,0.5334821428571428,0.38095238095238093
CCCn1nncc1C1(O)CC(C)CCC1C(C)C,0.5,0.5263157894736842,0.5263157894736842,0.7,0.7157894736842105,0.5263157894736842,0.7,0.7157894736842105,0.5263157894736842,1.0,1.0,0.5263157894736842,0.7,0.7157894736842105,0.5263157894736842,0.5,0.5263157894736842,0.5263157894736842,0.75,0.763157894736842,0.5263157894736842
N#CC(CC(=O)C1NC2CCC1C2)Cc1ccc(N2CCC3CN(C4COC4)CC32)cc1F,0.5,0.6666666666666666,0.6666666666666666,0.5909090909090909,0.7272727272727272,0.6666666666666666,0.5909090909090909,0.7272727272727272,0.6666666666666666,0.9318181818181819,0.9545454545454545,0.6666666666666666,0.5909090909090909,0.7272727272727272,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5909090909090908,0.7121212121212122,0.6666666666666666
COc1ccc(CC(NN)C2CCOC3(CCC3)C2)cn1,0.5,0.2857142857142857,0.2857142857142857,0.8333333333333333,0.7619047619047619,0.2857142857142857,0.8333333333333333,0.7619047619047619,0.2857142857142857,1.0,1.0,0.2857142857142857,0.8333333333333333,0.7619047619047619,0.2857142857142857,0.5,0.2857142857142857,0.2857142857142857,0.8333333333333333,0.7619047619047619,0.2857142857142857
C.C.C.C.C=C(OCC1CO1)C(C)(C)CCC(C)(CC)C(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,0.5,0.09523809523809523,0.09523809523809523,1.0,1.0,0.09523809523809523,1.0,1.0,0.09523809523809523,1.0,1.0,0.09523809523809523,1.0,1.0,0.09523809523809523,0.5,0.09523809523809523,0.09523809523809523,1.0,1.0,0.09523809523809523
