SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CCc1ccc(-n2c(C(CC)N(C)S(=O)(=O)c3ccc(Br)cc3)nc3ccccc3c2=O)cc1,True,True,True,True,True,True,False
CCN(CC)Cc1ccc(CNC(=O)C(=O)Nc2ccccc2N(C)C)cc1,True,True,True,True,True,True,False
CCC1(CC)NC(=O)CCN(CCOCCOC)C1=O,True,True,True,True,True,True,False
CCC(CC)C(=O)NCc1cccc(C#CCN)c1,True,True,True,True,True,True,False
Cc1cc2oc(C(=O)NCC(c3ccco3)N3CCOCC3)cc(=O)c2cc1Cl,True,True,True,True,True,True,False
COc1ccccc1CCC1=C(C(=O)O)C(c2c(Cl)cccc2Cl)C(C(=O)O)=C(C(C=O)N2CCN(C3CC4CC(N)CC4C3)CC2)N1,True,True,True,True,True,True,False
[Hf+4].[O-]c1ccccc1.[O-]c1ccccc1.[O-]c1ccccc1.[O-]c1ccccc1,True,True,True,True,True,True,False
COC(CNC(=O)C1CCCC1)c1ccc(Cl)s1,True,True,True,True,True,True,False
Cn1nnc(C(F)(F)S(=O)C2=NOC(C)(C)C2)c1C1CC1.Cn1nnc(C(F)S(=O)C2=NOC(C)(C)C2)c1C1CC1.Cn1nnc(CS(=O)C2=NOC(C)(C)C2)c1C1CC1,True,True,True,True,True,True,False
CNCCCN(CCOC)C(=O)NC.COc1nc(-c2cccc(-c3cccc(Nc4nc(C(F)(F)F)cc5cnn(C)c(=O)c45)c3Cl)c2Cl)cc2c1CCC2,True,True,True,True,True,True,False
CC(C)(C)c1ccc(NC(=O)C(NC(=O)CCC(C=O)CO)C2CCC(F)(F)CC2)cc1F,True,True,True,True,True,True,False
CCC(CC)C(=O)NC(CC)c1nc2ccccc2n1Cc1ccc(Cl)c(Cl)c1,True,True,True,True,True,True,False
O=C(O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NCC1CNC(=O)C1,True,True,True,True,True,True,False
CCC=CCC=CCC=CCC=CCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCC=CCC=CCC=CCCCCCCC,True,True,True,True,True,True,False
CC(F)(F)C(C=C(F)c1ccc(C(=O)NCC(=O)NCC(F)(F)F)c(C(F)(F)F)c1)c1cc(Cl)c(Cl)c(Cl)c1,True,True,True,True,True,True,False
C=CC(=O)N(c1ccc(S(=O)(=O)N(CCC)CCC)cc1)c1nc(-c2ccc(OC)cc2)cs1,True,True,True,True,True,True,False
CCCC(CC#N)C(=CN=CCOC)CC,True,True,True,True,True,True,False
CCCCCC(N)C1CCC(F)(F)CC1,True,True,True,True,True,True,False
C=CCN(C(=O)C(Cc1ccc(O)cc1)NC(=O)OC(C)(C)C)C(C(=O)NC1CCCCC1)c1ccc(C)cc1C,True,True,True,True,True,True,False
[B-]C[P+](C)(C)C,True,True,True,True,True,True,False
CCOC(=O)C(CO)NC(=O)c1ccccc1OC,True,True,True,True,True,True,False
CCOc1ccc(S(=O)(=O)N2CCN(c3cc(Cl)ccc3C)CC2)cc1Cl,True,True,True,True,True,True,False
CN(C(=O)OC(C)(C)C)C(CC(=O)N1CC(F)(F)C1)C(=O)O,True,True,True,True,True,True,False
CSC(=O)N(C(CC(=O)O)C(=N)N)n1nnc(-c2cc(C)cc(C#CCc3ccc(F)cc3)c2)n1,True,True,True,True,True,True,False
Brc1ccc2c(c1)CCC=C2NCC1CCCS1,True,True,True,True,True,True,False
CC1(C(=O)Nc2ccc(I)cc2)CC1(Cl)Cl,True,True,True,True,True,True,False
C[n+]1cc(-c2ccc(OCC(ON=C(C(=O)O)c3csc(NC(=O)OC(C)(C)C)n3)C(=O)OC(C)(C)C)cc2)cn1CCCCC(=O)OC(C)(C)C,True,True,True,True,True,True,False
C=CCN(CCO)C(=O)NCc1ccc(Br)cc1Cl,True,True,True,True,True,True,False
C=CC1(C(c2ccccc2)N(CC#CC)S(=O)(=O)c2ccc(C)cc2)CC1,True,True,True,True,True,True,False
Cc1ccccc1Nc1cc(-c2cccc(OC(F)(F)F)c2)nc(NCCN(C)C)n1,True,True,True,True,True,True,False
CCCCC(=O)NC(c1ccc2c(c1)OCO2)c1cc([N+](=O)[O-])c2cccnc2c1O,True,True,True,True,True,True,False
CS(=O)(=O)C1(C(=O)NCc2ccccc2Oc2ccccc2)CCNCC1,True,True,True,True,True,True,False
C=C(C=Cc1ccccc1)CCO.C=C=CC(CC=O)c1ccccc1.C=C=CC(OC=C)c1ccccc1.C=C=COCc1ccc(C)cc1.C=CC(OC)OCc1ccc(C)cc1.C=COC(C#CCCCC)c1ccccc1.CCCCC#CC(CCO)c1ccccc1.CCCCC(=Cc1ccccc1)CCO.I.[Cu][I],True,True,True,True,True,True,False
CCC(CC)C[P+](C)(C)C,True,True,True,True,True,True,False
CN(CCS(C)(=O)=O)CC(N)=O,True,True,True,True,True,True,False
CN(C(=O)N1C(c2ccccc2)C(=O)N(CC(c2ccccc2)n2cc(CC3C(=O)N(C)C(C(C)(C)C)N3C(=O)N(C)c3ccccn3)c3ccccc32)C1C(C)(C)C)c1ccc(F)cc1,True,True,True,True,True,True,False
Nc1nc(F)nc2c1ncn2CC(=O)N(Cc1ccccc1)C1CC1,True,True,True,True,True,True,False
CCCCC(N)c1nc2cccnc2n1CC,True,True,True,True,True,True,False
CC#CCOc1ccc(S(=O)C(CCCCNC(=O)CNC(=O)c2ccc3ccccc3n2)C(=O)NO)cc1,True,True,True,True,True,True,False
COc1ccc(C#CCNC2(C)CCN(C3CCN(c4nc(C(COCNC(=O)C(CC(=O)O)NC(=O)CCOCCOCCN5C(=O)C(Sc6ccccc6)=C(Sc6ccccc6)C5=O)(OC5CC5)c5ccccc5)c5cc(-c6cn(C)c(=O)c7[nH]ccc67)ccc5n4)CC3)CC2)cc1N1CCC(=O)NC1=O,True,True,True,True,True,True,False
CN(C)C=CC(=O)c1c(O)cccc1OCC(O)COc1cccc2oc(C(=O)O)cc(=O)c12,True,True,True,True,True,True,False
CCC(Nc1ncnc(N)c1-c1nnc(C)o1)c1nc2cccc(C#CCO)c2c(=O)n1-c1ccccc1,True,True,True,True,True,True,False
Cc1nnn(C)c1-c1cnc2c3ccc(Cl)cc3n(C(c3ccccc3)C3CCC(F)(F)CC3)c2c1,True,True,True,True,True,True,False
CCCCCCCCCCCCN1C(=O)C2=C(c3ccc(Br)o3)N(CCCCCCCCCCCC)C(=O)C2=C1c1ccc(Br)o1,True,True,True,True,True,True,False
COc1cccc(CN2CCCN(CC(=O)Nc3ccc(Cl)cc3)S2(=O)=O)c1,True,True,True,True,True,True,False
CC(=O)O[P+](C)(C)C,True,True,True,True,True,True,False
ClC1=Nc2ccccc2C2=NC(Cc3ccccc3)CN12.Clc1nc(Cl)c2ccccc2n1.Clc1nc2ccccc2c2nc(Cc3ccccc3)cn12.Nc1nc2ccccc2c2nc(Cc3ccccc3)cn12.OCC(Cc1ccccc1)Nc1nc(Cl)nc2ccccc12,True,True,True,True,True,True,False
Cc1ccc(C(c2ccccc2)C2CC2)o1,True,True,True,True,True,True,False
COC(=O)c1cc(=O)c2c(OCC(O)COc3cccc4occc(=O)c34)cccc2o1,True,True,True,True,True,True,False
CCC1CCC(C(Cc2cnccc2N)NC)C1,True,True,True,True,True,True,False
C(=C(Pc1ccccc1)c1ccccc1)c1ccccc1,True,True,True,True,True,True,False
O=C(COC(O)c1cc2occc2[nH]1)N1CCC1,True,True,True,True,True,True,False
CNC(CC#CC(C)(C)C)C1C2C3CCC(C3)C21,True,True,True,True,True,True,False
COc1ccc(C(OCCCCCN2C(=CC3C(=O)C(=C(CCCCCO)C4=Nc5c(ccc6ccccc56)C4(C)C)C3O)C(C)(C)c3ccc4ccccc4c32)(c2ccccc2)c2ccc(OC)cc2)cc1,True,True,True,True,True,True,False
C=CCOC(=O)COc1ccc2c(c1)c1ccnc3c4ccccc4c(=O)n2c13,True,True,True,True,True,True,False
FC=CC(C(F)F)C(F)(F)F,True,True,True,True,True,True,False
CCOC(C(C#CCSc1ccccc1)=CC#C[Si](C)(C)C)c1ccccc1,True,True,True,True,True,True,False
CCC(C(=O)Nc1cc(Cl)ccc1OC)n1cnc2scc(-c3ccc(Br)cc3)c2c1=O,True,True,True,True,True,True,False
CCCCC(CC)COc1c2c[c]([Sn]([CH3])([CH3])[CH3])sc2c(OCC(CC)CCCC)c2c[c]([Sn]([CH3])([CH3])[CH3])sc12.CCCCCCCCOc1c(C)c(-c2cc3c(OCC(CC)CCCC)c4sc(C(C)(C)C)cc4c(OCC(CC)CCCC)c3s2)c2nsnc2c1-c1ccc(C(C)(C)C)s1.CCCCCCCCOc1c(C)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5sc(C(C)(C)C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nsnc2c1C(C)(C)C.CCCCCCCCOc1c(C)c(Br)c2nsnc2c1-c1ccc(Br)s1.[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,True,True,True,True,True,True,False
