SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
CC(=NN=C(N)N)c1ccc(NC(=O)c2cc3cc(C=O)c(OCc4ccccc4)cc3[nH]2)cc1,1.0,1.0,0.08571428571428572,1.0,1.0,0.08571428571428572,1.0,1.0,0.08571428571428572,1.0,1.0,0.08571428571428572,1.0,1.0,0.08571428571428572,1.0,1.0,0.08571428571428572,1.0,1.0,0.08571428571428572
CC(CC=O)c1ccc(Cn2cccc(-c3ccc(NC(=O)Nc4ccccc4F)cn3)c2=O)cc1,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.9696969696969697,0.6,0.08333333333333333
COc1cc(OC)c(F)c(C(=Cc2cnc(N)nc2C)OC=O)c1F,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12
NN=CCc1ccccc1.O=CCc1ccccc1,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525
CC(C)Oc1cccc([N+](=O)[O-])c1C=O,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2
CC1CN(C=O)CCO1.N=Cc1cc(Nc2ncnc3sc4c(c23)CCCC4)c(Br)cc1N,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,0.4666666666666667,0.09090909090909091,0.09090909090909091
COc1ccc2c(C(=O)NC3CN4CCC3CC4)[nH]nc2c1F.O=CO,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,0.4565217391304348,0.11538461538461539,0.11538461538461539
Cc1cc(C=O)cc(C)c1NC(=O)OC(C)(C)C,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666
C=CC=O.c1ccc2[nH]ccc2c1,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,0.4,0.23076923076923078,0.23076923076923078
C#C.CC=C(C=CCC=CC(=C(C)C)C(CCC=O)C(=O)NC)C(C)=O.CCC.CCC(C(=O)OC(C)(C)C)=C(CCCOc1cccc2cc(F)ccc12)c1ccc(Cl)c(C2=C(C)CC[N+](C)(C)C2C)c1C.CCCC(C)CC.CCCN(CCC)C(=O)CC(C)C,1.0,1.0,0.03225806451612903,1.0,1.0,0.03225806451612903,1.0,1.0,0.03225806451612903,1.0,1.0,0.03225806451612903,1.0,1.0,0.03225806451612903,1.0,1.0,0.03225806451612903,0.4888888888888889,0.03225806451612903,0.03225806451612903
CCCCC(=O)NCCCOCCOCCOCCCNC=O,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565
Cc1cc(C2CN(c3c(C)cccc3C(F)(F)F)C2)cc(C)c1CN1CCC(C(=O)O)CC1.O=CO,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.4696969696969697,0.08333333333333333,0.08333333333333333
COCc1cncc(-c2n[nH]c3ccc(OCCCN(C)C=O)cc23)c1,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539,1.0,1.0,0.11538461538461539
CC(c1ccncc1)N(C)C(=O)NCCCOC1CCN(C)CC1.O=CO,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,0.4583333333333333,0.1111111111111111,0.1111111111111111
Cl.O=COc1cc(-c2ccccc2Cl)ccc1N1CCC(Oc2ncccc2Cl)C1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1
C#CC(CC)Nc1nc(C)nc(Cl)c1C=O,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875
N#CC1CCN(c2ncc(C=O)cn2)CC1,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875
CC(C)n1nccc1-c1cccc(OCc2ccccc2)c1C=O,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125
O=CNc1c(Br)cccc1-c1c(O)ccc2ccccc12,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285
COc1ccc(S(=O)(=O)c2ccc(C=O)s2)cc1,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666
COc1ccc([N+](=O)[O-])c(Oc2ccc(C=O)c(C)c2)c1,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285
CCn1c(O)cc(SCCC=O)c1O,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427,1.0,1.0,0.21428571428571427
CCc1c(C=O)cn(C)c1-c1ccccc1F,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413
C=CC(=CC=CC)n1c(N2CCNCC2)c(C=O)c2ccccc21,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125
O=CO.c1cc2c3cc1CN2CS3,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,1.0,1.0,0.23076923076923078,0.4,0.23076923076923078,0.23076923076923078
CN=C(N)NC(C=O)(c1cc(-c2cncc(Cl)c2)cs1)C1CC1,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565
COc1cc(-c2cnc(C(F)(F)F)nc2)c(C=O)cn1,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15
C.CC(C)=O.CCCC(C)(CCC)NC.CCCC(C)(F)C(C)C.CCCc1cccc(OC(C)F)c1.Cc1ccc(C=O)cc1C,1.0,1.0,0.06382978723404255,1.0,1.0,0.06382978723404255,1.0,1.0,0.06382978723404255,1.0,1.0,0.06382978723404255,1.0,1.0,0.06382978723404255,1.0,1.0,0.06382978723404255,0.4772727272727273,0.06382978723404255,0.06382978723404255
COC(=O)C(C)NC(=O)c1ccc(C=O)cc1,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413,1.0,1.0,0.17647058823529413
CCC(O)(C=O)c1cc2n(c(=O)c1CO)Cc1c-2nc2cc(F)c(C)cc2c1CS,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1
CCc1csc2cc(OCC3=NOC(c4ccc(Cl)cc4)=CC3)cc(C)c12.O=CO,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,1.0,1.0,0.1,0.46296296296296297,0.1,0.1
C=CCC.CCC.CCC=O,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727
O=CC(CC(=O)NCCC(=O)NCCOCCOCCC(=O)Nc1ccc(CCC(=O)N2CCC2=O)cc1)C1CCCCCC1,1.0,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667
CCCc1nc(Oc2ccc(Cl)cc2)ccc1-c1nn(C)c2cc(Cl)c(OC(C)C=O)cc12,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091,1.0,1.0,0.09090909090909091
CNC(=O)C(CCC=O)N1C(=O)c2ccc(Nc3ccc(N4CCC(N5CCN6c7cc(-c8ccccc8O)nnc7NCC6C5)CC4)cc3)cc2C1=O,1.0,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,1.0,1.0,0.05555555555555555,0.9411764705882353,0.3333333333333333,0.05555555555555555
O=CC1(C=O)NNC2=C1C(c1ccc(F)cc1)CCC2Cc1ccc(-c2ccccc2)cc1,1.0,1.0,0.15151515151515152,0.8,0.6606060606060606,0.15151515151515152,0.8,0.6606060606060606,0.15151515151515152,1.0,1.0,0.15151515151515152,0.8,0.6606060606060606,0.15151515151515152,0.8,0.6606060606060606,0.15151515151515152,0.7642857142857143,0.4206060606060606,0.15151515151515152
CC12CCC3C4CCC(=O)C=C4CC(C=O)C3C1CCC2O[Si](C)(C)C(C)(C)C,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896,1.0,1.0,0.10344827586206896
C=C(C=CC=C(C)OC)CC=O.CNc1nnc(-c2nonc2N)s1,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12,1.0,1.0,0.12
O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4cccc5ccccc45)cc3)s2)cc1,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.7878787878787878,0.17647058823529413,0.08333333333333333
C=C(C)C(=O)OCCCC1CCC(c2ccc(OC=O)cc2)CC1,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125
O=CC=Pc1ccccc1,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,0.3
CC(C)(C=C(C=O)c1ccccc1)c1ccc(C(F)(F)F)cc1,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565,1.0,1.0,0.13043478260869565
CCC(O)C(O)CC=O.CCOC(CC1OC1CC)OCC.O.P,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,1.0,1.0,0.125,0.4523809523809524,0.125,0.125
