SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
COc1ccc(C2Sc3ccccc3N(CC[N+](C)(C)CCc3ccc4c(c3)OCO4)C(=O)C2OC(C)=O)cc1.[I-],True,True,True,True,True,True,False
Cc1cccc2c1-c1ccc(N(c3ccc(-c4ccccc4)cc3)c3cc(N(c4ccccc4)c4ccccc4)cc(N(c4ccccc4)c4ccccc4)c3)cc1C21c2ccccc2-c2ccccc21,True,True,True,True,True,True,False
CCC(C)NCc1cccc(C)c1Cl,True,True,True,True,True,True,False
C=NC=CC(=CCNc1cn2cc(-c3cn[nH]c3)ccc2n1)CN1CCN(C(C)=O)CC1,True,True,True,True,True,True,False
CCOC(=O)C(C)(C)CC(C)(C)C(=O)OCC[N+](C)(C)CCCS(=O)(=O)O,True,True,True,True,True,True,False
CC(C)C(C)(C(C)C)C(C)C.CC(C)N(C(C)C)C(C)C.CC(C)[N+](C)(C(C)C)C(C)C,True,True,True,True,True,True,False
Cc1ccc(C(=O)Nc2nnc(-c3cccc(Br)c3)o2)cc1C,True,True,True,True,True,True,False
CO[N+](C)(Cc1ccccc1)Cc1ccccc1,True,True,True,True,True,True,False
C[N+](C(N)=O)(c1ccccc1)N1CCC(N(Cc2ccc(CNCc3ccccn3)cc2)Cc2ccccn2)CC1,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)OCC(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C,True,True,True,True,True,True,False
CCCCCCCCC[N+](C)(CCCCCCCCC)CCC[Si](OCC(CO)(CO)NCCS(=O)(=O)[O-])(OCC(CO)(CO)NCCS(=O)(=O)[O-])OCC(CO)(CO)NCCS(=O)(=O)O,True,True,True,True,True,True,False
CC1=CC([O-])=NS(=O)(=O)O1.CCCCCCCCOC[N+](C)(C)CCOC(C)=O,True,True,True,True,True,True,False
Cc1nnc(NC(=O)C(F)F)o1,True,True,True,True,True,True,False
CCn1c2ccccc2c2cc(NC(=O)c3cccnc3SC)ccc21,True,True,True,True,True,True,False
CC(C)(CC(C)(C)C(=O)Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(C(C)(C)C)cc5)cc4)cc3)cc2)cc1)C(=O)OCC[N+](C)(C)Cc1ccccc1,True,True,True,True,True,True,False
CCNS(=O)(=O)Nc1ccc2c(c1)COC(=NC1CCc3cc(F)ccc31)N2,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCCCC(=O)CC(=O)[N+](C)(C)C(=O)CC(=O)CCCCCCCCCCCCCCCCC,True,True,True,True,True,True,False
C[N+](C)(CC(O)CO)C(CO)CO,True,True,True,True,True,True,False
C=C(C)C(=O)OCC[N+](C)(C)CC,True,True,True,True,True,True,False
CC(=O)Oc1cccc2c1c(CC[N+](C)(C)Cc1ccccc1)cn2C(C)=O,True,True,True,True,True,True,False
CCC[N+](C)(C)CCCO.[Cl-],True,True,True,True,True,True,False
CN(C)C(c1ccc(F)cc1Cl)c1c[nH]c2cccc([N+](=O)[O-])c12,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC#N,True,True,True,True,True,True,False
CC(C)(C)[N+](C)(C)[Si](=O)C1C=CC23CC=CC=C2C(=C(F)F)C=c2ccccc2=C13,True,True,True,True,True,True,False
COc1ccc2c(c1)C1CC1(C(=O)N1C(C)CCC1CN(C)C)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NSCC(C)(C)C)cc21,True,True,True,True,True,True,False
CC(c1nc(C2(N)CCC2)no1)N1CCc2ccccc2C1.Cl,True,True,True,True,True,True,False
C[N+](C)(CCN(Cc1ccccc1)c1ccccn1)C1OC(C(=O)[O-])C(O)C(O)C1O,True,True,True,True,True,True,False
CCOC(=O)N1CCN(C(=NC)NCC(=O)Nc2ccccc2)CC1,True,True,True,True,True,True,False
CCCCN(CC)CC.CCCCNC(N)=O.CCCCOCC(O)CNCc1ccccn1.CCCCOCC(O)CNCc1cccnc1.CCCCOCC(O)CNCc1ccncc1.CCCC[N+](C)(C)CCCS(=O)(=O)[O-].CCCCn1ccnc1.CCCCn1cncn1.CCCc1ccccn1.CCCc1ccncc1,True,True,True,True,True,True,False
Cl.NCCN.NCCN.[Cu],True,True,True,True,True,True,False
CC(C)C1=CC=NC2=CC=NCN21.CC(C)C1=CC=NC2=CNC=CN21.CC(C)C1=NC=NC2=CNC=CN21.CC(C)c1ccc2[nH]ccc2c1.CC(C)c1ccc2[nH]ncc2c1.CC(C)c1cccc2[nH]ncc12.CC(C)c1ccnc2[nH]ncc12.CC(C)c1ccnc2nc[nH]c12.CC(C)c1ccnc2nc[nH]c12.CC(C)c1ccnc2nnccc12.CC(C)c1cnc2[nH]ccc2c1.CC(C)c1cnc2[nH]ncc2c1.CC(C)c1ncnc2ccnc(=O)n12.CC(C)c1ncnc2nnccc12,True,True,True,True,True,True,False
O=C(CNC(=O)OCC1c2ccccc2-c2ccccc21)NC1(C(=O)O)CCCCC1,True,True,True,True,True,True,False
CC([N+](C)(CCO)CCO)S(=O)(=O)[O-],True,True,True,True,True,True,False
CCCCCCCCCCCCCCc1ccc(OC(C)COC(=O)C(C)[N+](C)(C)Cc2ccccc2)cc1,True,True,True,True,True,True,False
Cc1ccc(O)c(C(=O)NCC23CCC(NC(=O)Cc4ccco4)(CC2)CO3)c1,True,True,True,True,True,True,False
CCCCCCCCCCCC[N+](C)(C)COCCC(C)C.[Cl-],True,True,True,True,True,True,False
CC(N)CCNC(=O)CNC(=O)c1c[nH]c2ccccc2c1=O,True,True,True,True,True,True,False
CCCCCCCCCCCC(=O)NC(CCO)[N+](C)(C)C(CCO)(CC(=O)O)C(=O)O,True,True,True,True,True,True,False
CO[Si](CCC[N+](C)(C)CCCNS(=O)(=O)c1cccc2c(N(C)C)cccc12)(OC)OC,True,True,True,True,True,True,False
C[N+](C)(N)[Si]([N+](C)(C)N)[N+](C)(C)N,True,True,True,True,True,True,False
CCC(O)[N+](C)(C)C(CC)(CC(=O)[O-])C(=O)[O-].CCCCCCCCCCCC(N)=O.CCCCCCCCCCCC(N)=O.CCCCCCCCCCCC(N)=O.O=P([O-])([O-])OCCCO.[Na+].[Na+].[Na+],True,True,True,True,True,True,False
CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Cl-].[Cl-],True,True,True,True,True,True,False
C[N+](C)(CCCS(=O)(=O)O)CCOc1cscc1OCC[N+](C)(C)CCCS(=O)(=O)O,True,True,True,True,True,True,False
O=[N+]([O-])c1cccc(C2CC(Br)=NO2)c1,True,True,True,True,True,True,False
N=C=N.O=C(c1ccccc1)c1ccccc1[N+](=O)[O-].O=C(c1ccccc1)c1ccccc1[N+](=O)[O-],True,True,True,True,True,True,False
CCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCC[Si](O)(O)O.[Cl-].[Cl-],True,True,True,True,True,True,False
CC(=O)N1CC2CN(Cc3ncccc3F)CC2C1c1ccccc1C,True,True,True,True,True,True,False
CC(=NO)c1cc(C[N+](C)(C(C)C)C(C)C)ccc1O,True,True,True,True,True,True,False
CCNc1cccc2c(OCCCN(Cc3cccc(C(F)(F)F)c3Cl)CC(c3ccccc3)c3ccccc3)cccc12.Cl,True,True,True,True,True,True,False
CC(C)(C)[N+](C)(C)[Si](=O)C1=CC2=C(C1)c1c(C(=CC=Cc3ccccc3)c3ccccc3)cccc1C(=C(F)F)c1ccccc12.[Ti],True,True,True,True,True,True,False
COCCn1ccnc1Nc1cccc2ccncc12,True,True,True,True,True,True,False
Cc1ccc(C(C)(C)C)cc1NC(=O)Nc1ccc(-c2ccc(CN(CCC#N)CCC#N)nc2)c2ccccc12,True,True,True,True,True,True,False
C[N+](C)(CCl)CCCC=C(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,True,True,True,True,True,True,False
CCN(CCC(C)Oc1ccccn1)c1nnc(C)n1-c1ccc(Cl)cc1,True,True,True,True,True,True,False
O=C(C=Cc1ccc(-c2ccccc2)o1)Nc1ccc2oc(-c3ccc(F)cc3)nc2c1,True,True,True,True,True,True,False
CCN(CCNC(=O)NC(CCO)C(=O)O)C1CC1,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCCOC1OC(COC2OC(COCC(O)C[N+](C)(C)CCCCCCCCCCCCCC)C(O)C(O)C2O)C(O)C(O)C1O.[Cl-],True,True,True,True,True,True,False
CC(=O)N1CCN(c2ccc(OS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)cc2)CC1,True,True,True,True,True,True,False
CC(C)c1ccc(CC[N+](C)(C)CC(O)c2cc(O)cc3c2OCC(=O)N3)cc1,True,True,True,True,True,True,False
Cl.Cl.O=C(c1cn2c(n1)CCNCC2)N1CCc2sccc2C1,True,True,True,True,True,True,False
CC(CO)C(C)NC(=O)C(C)(C)c1ccc(N)cc1,True,True,True,True,True,True,False
C=CC[N+](C)(CC=C)C(O)C(C)O,True,True,True,True,True,True,False
CCCCCCCCCCCCCC[N+](C)(C)[O-].C[NH+](C)[O-],True,True,True,True,True,True,False
CC(C)(CN1CC2C(C1=O)C(F)(F)CN2C(=O)OCc1ccccc1)C(N)=O,True,True,True,True,True,True,False
Cc1cc(N2CCCC(Nc3ncccn3)C2)ncn1,True,True,True,True,True,True,False
COc1cc2c(cc1OCc1cc(COc3cc4c(cc3OC)C(=O)N3Cc5ccccc5CC3C=N4)cc(C[N+](C)(C)Cc3ccc(OS(=O)(=O)Oc4cc(C(=O)NCCOCCn5cc(COCCOCCNC(=O)c6cccc(C(=O)C=CC(C)=O)c6)nn5)ccc4OC4OC(CO)C(O)C(O)C4O)cc3)c1)N=CC1Cc3ccccc3CN1C2=O,True,True,True,True,True,True,False
COc1cc(F)c(C#Cc2cc(F)c(C#Cc3ccc4cc(F)c(F)cc4c3)c(F)c2)c(F)c1,True,True,True,True,True,True,False
CC(C)CCC1(C)OC2CC(=O)OCC23C1C(=O)C(O)C1(C2CCCC(Cc4ccccc4)C2)C3CCC2(C)C(c3ccoc3CCC3CCC(C4CNCN4)CC3)OC(=O)C3OC321,True,True,True,True,True,True,False
C[N+](C)(Nc1ccccc1)N(C=O)c1cc(C2CC2)nc[nH+]1,True,True,True,True,True,True,False
Cc1cc(C(F)F)c2nc(NC3CCCCNC3=O)n3nc(-c4cnn(C)c4)nc3c2c1,True,True,True,True,True,True,False
CSN1CCC(Sc2nc3nc(-c4ccc(N5CCOCC5)cc4)c(Cl)cc3[nH]2)CC1,True,True,True,True,True,True,False
CCC(C(=O)Nc1c(C)cc(C)cc1C)[N+](C)(C)[S-].[Y],True,True,True,True,True,True,False
Cc1ccc2[nH]cc(CCCCN3CCN(c4ncc(-c5ccc(C(N)=O)cn5)cn4)CC3)c2c1,True,True,True,True,True,True,False
CCCC(C)C1CCC2C3CCC4CC(N[N+](C)(C)CCC)CCC4(C)C3CCC12C,True,True,True,True,True,True,False
CCCCCCCCCCC[N+](C)(C)CCCBr.[I-],True,True,True,True,True,True,False
CCN(C(=O)Cn1nc(-c2cc(C#N)cc(OCCO)c2)c2occc2c1=O)c1ccc2c(c1)OC(F)(F)O2,True,True,True,True,True,True,False
O=C(Cn1cccc(-c2cc(NCc3ccc(Cl)s3)n(C(=O)c3cnoc3)n2)c1=O)c1cnsc1,True,True,True,True,True,True,False
CCNC(=O)COc1cccc(CN=C(NCC)NCCc2c[nH]c3cc(F)ccc23)c1.I,True,True,True,True,True,True,False
COc1ccncc1-c1cc(C2CCCN(C(=O)CCn3ccnn3)C2)c(F)c2[nH]c(C(=O)O)cc12,True,True,True,True,True,True,False
C=CCc1ccc(OCCCCn2c(CCNC(=O)c3ccccc3C)nc3ccccc32)c(OC)c1,True,True,True,True,True,True,False
CC1(C)CCCC1c1nnc2c(Cl)nccn12,True,True,True,True,True,True,False
COC1C=C2CCN(CCc3ccc(NC(=O)c4cc(SC)ccc4C(N)=O)cc3)C=C2CC1OC,True,True,True,True,True,True,False
O=C(NCc1cc(-c2ccc(C(F)(F)F)nc2)ncn1)C1C2CC(F)C(C2)N1S(=O)(=O)c1ccc(F)cc1,True,True,True,True,True,True,False
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(=O)[O-],True,True,True,True,True,True,False
Nc1cc(C2CCCNC2)nc2c(-c3coc([CH]=[Sn])c3)cnn12,True,True,True,True,True,True,False
C=C(C)C(=O)OCC[N+](C)(C)CCOC(=O)C(=C=N)C#N,True,True,True,True,True,True,False
Cc1c(C(N)=O)cc(-c2ccccc2)n1Cc1cccc(C(F)(F)F)c1,True,True,True,True,True,True,False
NC1CCOCC1.Nn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21.Nn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(SCc3ccccc3)nc21,True,True,True,True,True,True,False
CCCCCCCCCCCCOc1ccc(C2=c3ccc([nH]3)=Cc3ccc([nH]3)C(c3ccc(OCCC[N+](C)(C)CCCN(C)C)cc3)=c3ccc([nH]3)=Cc3ccc2[nH]3)cc1,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCC[N+](C)(C)C(C)(c1ccccc1)c1cccc(C)c1C,True,True,True,True,True,True,False
CN(C)CC[N+](C)(C)c1cc(C(=O)NCC(O)CN2CCc3ccccc3C2)ncn1,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCC[N+](C)(C)CC.CCC[O-],True,True,True,True,True,True,False
CCCCCCCC[N+](C)(C)CCOC(=O)C(C)CC(CC1CC(NC(C)=O)CC1C(CC(CC)C(N)=O)C(=O)O)C(=O)OC[n+]1ccccc1,True,True,True,True,True,True,False
CC[N+](C)(CCCNc1ccc(C)c(Cl)c1)CCCNc1ccc(C)c(Cl)c1,True,True,True,True,True,True,False
COC(=O)c1ccc(Nc2ccc(OCCN3CCOCC3)cc2N)nc1Cl,True,True,True,True,True,True,False
C=C(N)NC(=O)c1ncn(CCCN(CCCCCCCC(=C)OCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)c1C,True,True,True,True,True,True,False
COCCOCP(=O)(O)COCCOCC(=O)N(CCOCCOCCNC(=O)COCCN(C(=O)OC1=C2C(C(=O)c3occ4c3C2(C)C(CO)OC4=O)C2CCC(=O)C2(C)C1)c1cc([N+](=O)[O-])ccc1SSCC(N)C(=O)NCCOP(=O)(O)O)CCOCCOCCOCCNC(=O)CCC(NC(=O)c1ccc(N(Cc2cnc3nc(N)[nH]c(=O)c3n2)C(=O)OCc2ccc(OC(=O)N(C)CC[N+](C)(C)COP(=O)(O)O)cc2)cc1)C(=O)O,True,True,True,True,True,True,False
CCC(C)C(=O)C1C=CC(N)C1,True,True,True,True,True,True,False
CC(C)(C)CC[N+](C)(C)CC(=O)[O-],True,True,True,True,True,True,False
Cc1cccc(C)c1OCC(O)CNc1cnn(C)c1,True,True,True,True,True,True,False
O=C(c1ccccc1[N+](=O)[O-])N(Cc1ccccc1Cl)N1C(=O)C2CCCCC2C1=O,True,True,True,,True,True,
CCCNc1cnc(CN2CCC(COC)CC2)cn1,True,True,True,,True,True,
O=C1C(c2cccc(-c3cccc(C=NOCC4CC4)c3)c2)C(=O)[n+]2ccccc2N1Cc1ccc(Cl)nc1,True,True,True,,True,True,
CC(Oc1cccc(CNCCCOc2cccc([N+](C)(C)c3nc4ccccc4o3)c2)c1)C(=O)O,True,True,True,,True,True,
CCCCC(CC)CC(CC(CC)CCCC)(C(=O)[O-])C(C(=O)[O-])S(=O)(=O)O.CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,True,True,True,,True,True,
COc1ccc(CCNC(=O)CC(C)(O)c2ccccc2)c(Cl)c1,True,True,True,,True,True,
CSC(=NC1CCN(C)C(C)C1)NC#N,True,True,True,,True,True,
CSCCC(C(=O)NCC1CCCO1)n1c(=O)[nH]c2ccccc2c1=O,True,True,True,,True,True,
CCC1(CC)C(=O)NC(C)C(=O)N1CCC(C)C,True,True,True,,True,True,
CSCNCCCCOCCCCC(C)C,True,True,True,,True,True,
C[N+](C)(c1ccccc1)[B-]1(OS(=O)(=O)C(F)(F)F)Oc2ccccc2O1,True,True,True,,True,True,
CC[N+](C)(C)CCCNC(=O)c1cc(NC(=O)c2cc(NC(=O)c3ccc(C=Cc4cnc5ccccc5c4)cc3)cn2C)cn1C,True,True,True,,True,True,
CCN(C(=O)c1ccc(COc2cccc3c2OC(C)(C)C3)cc1)c1ccccc1,True,True,True,,True,True,
C.C.C.C#CCC(C)(C)C(=O)c1c[nH]c2ncc(-c3cc(OC)c(OC)c(OC)c3)nc12.CC(C)(C=O)CC#C[Si](C)(C)C.CC(C)(CC#C[Si](C)(C)C)C(=O)O.COc1cc(-c2cnc3c(n2)c(C(=O)C(C)(C)CC#C[Si](C)(C)C)cn3[Si](C(C)C)(C(C)C)C(C)C)cc(OC)c1OC.COc1cc(-c2cnc3c(n2)c(C(O)C(C)(C)CC#C[Si](C)(C)C)cn3[Si](C(C)C)(C(C)C)C(C)C)cc(OC)c1OC.COc1cc(-c2cnc3c(n2)c(I)cn3[Si](C(C)C)(C(C)C)C(C)C)cc(OC)c1OC,True,True,True,,True,True,
CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(CCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCC,True,True,True,,True,True,
C[N+](C)([O-])CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,True,True,True,,True,True,
CC(C)C(=O)Nc1ccc(CNC(=O)CCSc2ccccc2F)cc1,True,True,True,,True,True,
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC.CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[Si](OC)(OC)OC.C[O-].[Cl-],True,True,True,,True,True,
Cc1cc(OCCN2CCOCC2)ccc1-c1nc2c(C(=O)Nc3ccccn3)cccc2[nH]1.Cc1cc(OCCN2C[CH+]OCC2)ccc1-c1nc2c(C(=O)O)cccc2[nH]1.Nc1ccccn1,True,True,True,,True,True,
COc1ccc2c(c1)C(C)C([N+](C)(C1CC1)C1CC1)CC2,True,True,True,,True,True,
CC1COCc2nc3cc(C(=O)Nc4ccc(OC(F)(F)Cl)cc4)cc(-c4cnc5c(c4)-c4nn(-c6nccc(-c7ccc(F)cc7)n6)cc4C5)c3n21,True,True,True,,True,True,
CCOc1ccc(C(c2cccc(C(F)(F)F)c2)N2CCNCC2)cc1OC,True,True,True,,True,True,
CC(C)(C)[Si](O[P+](=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)(c1ccccc1)c1ccccc1,True,True,True,,True,True,
COC(=O)CCCCC1C(=O)OC(C(C)(C)C)N1C(=O)OCc1ccccc1,True,True,True,,True,True,
[C-]#[N+]C(CCC[N+](C)(C)CCc1ccc(OC)c(C)c1)(c1cc(C)c(C)c(OC)c1)C(C)C,True,True,True,,True,True,
FC(F)(F)c1cccc(C2c3[nH]c4ccccc4c3CCN2CCCn2cccn2)c1,True,True,True,,True,True,
CCCCCCCCN(C)CCCCCC[N+](C)(C)CCCCCCCC,True,True,True,,True,True,
CCC(C)(C)C(=O)OC[N+](C)(C)CS(=O)(=O)[O-],True,True,True,,True,True,
CC1(C)C(C(=O)O)C1C(=O)Nc1ccc(C(=O)O)cc1F,True,True,True,,True,True,
O=C(NCCCCCCNC(=O)N(c1ccccc1)c1nc2ccccc2s1)N(c1ccccc1)c1nc2ccccc2s1,True,True,True,,True,True,
