SMILES,PG Explainer_auroc,PG Explainer_ap,PG Explainer_ap_baseline,Integrated Gradients_auroc,Integrated Gradients_ap,Integrated Gradients_ap_baseline,Saliency_auroc,Saliency_ap,Saliency_ap_baseline,SHAP Sampling_auroc,SHAP Sampling_ap,SHAP Sampling_ap_baseline,Input x Gradient_auroc,Input x Gradient_ap,Input x Gradient_ap_baseline,GNN Explainer_auroc,GNN Explainer_ap,GNN Explainer_ap_baseline,SubgraphX_auroc,SubgraphX_ap,SubgraphX_ap_baseline
ClCc1nc2cc(I)ccc2n1C1CCCCCCC1,0.5,0.15,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,0.5,0.15,0.15,0.9705882352941176,0.75,0.15
O=P(CCc1ccccc1)(OCCCl)OCCCl,0.5,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.75,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.7083333333333334,0.49206349206349204,0.3333333333333333
OC(CCl)C(O)c1ncc[nH]1,0.5,0.2727272727272727,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,1.0,1.0,0.2727272727272727,0.5,0.2727272727272727,0.2727272727272727,1.0,1.0,0.2727272727272727
CCCCCCCCC(CCCCCC)COCCl,0.5,0.15789473684210525,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,1.0,1.0,0.15789473684210525
CC(Cl)C(=O)c1ccc(C(O)C(=O)O)cc1CCl,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,0.16666666666666666
CC(=O)Nc1cccc(C(Cn2c(=O)c3c(n(Cc4c(C)cccc4F)c2=O)COC32CCN(Cc3ccc(C(F)(F)F)o3)CC2)NC(=O)OC(C)(C)C)c1.CC(=O)Nc1cccc(C(N)Cn2c(=O)c3c(n(Cc4c(C)cccc4F)c2=O)COC32CCN(Cc3ccc(C(F)(F)F)o3)CC2)c1.Cc1cccc(F)c1Cn1c2c(c(=O)n(CC(NC(=O)OC(C)(C)C)c3cccc(N)c3)c1=O)C1(CCN(Cc3ccc(C(F)(F)F)o3)CC1)OC2.ClCCl,0.5,0.0189873417721519,0.0189873417721519,1.0,1.0,0.0189873417721519,1.0,1.0,0.0189873417721519,1.0,1.0,0.0189873417721519,1.0,1.0,0.0189873417721519,0.5,0.0189873417721519,0.0189873417721519,0.4935483870967742,0.0189873417721519,0.0189873417721519
CC1(CCCCc2ncco2)OCCO1.CCCCCCl,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.4444444444444444,0.14285714285714285,0.14285714285714285
ClCc1cn(Cc2nnnn2Cc2ccccc2)nn1,0.5,0.15,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,1.0,1.0,0.15,0.5,0.15,0.15,1.0,1.0,0.15
COCCN(c1c(F)cccc1CCl)C(C)COC,0.5,0.15789473684210525,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,1.0,1.0,0.15789473684210525,0.5,0.15789473684210525,0.15789473684210525,1.0,1.0,0.15789473684210525
Cc1cc(F)cc(NC(=O)CCCCl)c1,0.5,0.2,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,0.5,0.2,0.2,1.0,1.0,0.2
O=C(CCl)NC(=O)Nc1ccc(Cl)c(Br)c1,0.5,0.1875,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,1.0,1.0,0.1875,0.5,0.1875,0.1875,1.0,1.0,0.1875
O=C(NCCN(CCCl)CCCl)c1ccc[n+](Cc2ccc(Cl)cc2)c1.[Cl-],0.5,0.2222222222222222,0.2222222222222222,0.75,0.611111111111111,0.2222222222222222,0.75,0.611111111111111,0.2222222222222222,1.0,1.0,0.2222222222222222,0.75,0.611111111111111,0.2222222222222222,0.5,0.2222222222222222,0.2222222222222222,0.8095238095238093,0.6074074074074074,0.2222222222222222
