Compound_CID,Name,Synonyms,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,MeSH_Headings,Annotation_Content,Linked_BioAssays,Data_Source,Data_Source_Category,Tagged_by_PubChem,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Linked_PubChem_Patent_Family_Count,Annotation_Type_Count,Create_Date
168282492,"(4S)-4,8-dihydroxy-2-[(2R,4S)-8-hydroxy-1-oxo-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-naphthalen-2-yl]-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-naphthalen-1-one",CHEMBL5183308,C32H38O17,"InChI=1S/C32H38O17/c33-8-18-25(40)27(42)29(44)31(48-18)46-16-5-4-14(36)22-21(16)15(37)6-11(24(22)39)12-7-17(10-2-1-3-13(35)20(10)23(12)38)47-32-30(45)28(43)26(41)19(9-34)49-32/h1-5,11-12,15,17-19,25-37,40-45H,6-9H2/t11?,12-,15+,17+,18-,19-,25-,26-,27+,28+,29-,30-,31-,32-/m1/s1",C1[C@@H](C(=O)C2=C([C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C=CC=C2O)C4C[C@@H](C5=C(C=CC(=C5C4=O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,QGVMPBHCDFFABV-VECOWAIOSA-N,"(4S)-4,8-dihydroxy-2-[(2R,4S)-8-hydroxy-1-oxo-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-naphthalen-2-yl]-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-naphthalen-1-one",,Biological Test Results|Classification|Literature,1882012|1882013,ChEMBL|MolGenie,Curation Efforts|Research and Development,,694.6,294.0,1170,-1.7,49,11,17,7,694.210876,694.210876,0,1,0,14,13,1,0,0,0,1,0,0,3,20230615
15006637,"Dimethyl 2,3-bis(2,2-difluoroethyl)butanedioate",,C10H14F4O4,"InChI=1S/C10H14F4O4/c1-17-9(15)5(3-7(11)12)6(4-8(13)14)10(16)18-2/h5-8H,3-4H2,1-2H3",COC(=O)C(CC(F)F)C(CC(F)F)C(=O)OC,OTSAQFVRNRJIGB-UHFFFAOYSA-N,"dimethyl 2,3-bis(2,2-difluoroethyl)butanedioate",,Classification|Literature|Spectral Information,,Japan Chemical Substance Dictionary (Nikkaji)|Thieme Chemistry,Governmental Organizations|Journal Publishers|Subscription Services,,274.21,52.6,255,2.4,18,0,8,9,274.082825,274.082825,0,1,0,2,0,2,0,0,0,1,0,0,3,20070209
56600471,"(2R,2'R,4R,4'R)-4,4'-dihydroxy-3,3',4,4'-tetrahydro-2,2'-binaphthalene-1,1'(2H,2'H)-dione","(2R,2'R,4R,4'R)-4,4'-dihydroxy-3,3',4,4'-tetrahydro-2,2'-binaphthalene-1,1'(2H,2'H)-dione|CHEBI:69515|Q27137854|(4RS,4'RS)-dihydroxy-(2RS,2'RS)-binaphthalene-1,1'-dione",C20H18O4,"InChI=1S/C20H18O4/c21-17-9-15(19(23)13-7-3-1-5-11(13)17)16-10-18(22)12-6-2-4-8-14(12)20(16)24/h1-8,15-18,21-22H,9-10H2/t15-,16-,17-,18-/m1/s1",C1[C@@H](C(=O)C2=CC=CC=C2[C@@H]1O)[C@H]3C[C@H](C4=CC=CC=C4C3=O)O,KXYYQTOKRSUJFQ-BRSBDYLESA-N,"(2R,4R)-4-hydroxy-2-[(2R,4R)-4-hydroxy-1-oxo-3,4-dihydro-2H-naphthalen-2-yl]-3,4-dihydro-2H-naphthalen-1-one",,Classification|Literature|Taxonomy,,"ChEBI|Cheminformatics Friedrich-Schiller-University Jena|Egon Willighagen, Department of Bioinformatics - BiGCaT, Maastricht University|Japan Chemical Substance Dictionary (Nikkaji)|MolGenie|Thomson Pharma|Wikidata",Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development|Subscription Services,,322.4,74.6,470,1.7,24,2,4,1,322.120514,322.120514,0,1,0,4,4,0,0,0,0,2,0,0,3,20120213
138972795,"Ditert-butyl 2,3-bis(2,2-difluoroethyl)butanedioate",,C16H26F4O4,"InChI=1S/C16H26F4O4/c1-15(2,3)23-13(21)9(7-11(17)18)10(8-12(19)20)14(22)24-16(4,5)6/h9-12H,7-8H2,1-6H3",CC(C)(C)OC(=O)C(CC(F)F)C(CC(F)F)C(=O)OC(C)(C)C,IJPRWUWRPMMTEY-UHFFFAOYSA-N,"ditert-butyl 2,3-bis(2,2-difluoroethyl)butanedioate",,Classification|Literature,,Thieme Chemistry,Journal Publishers|Subscription Services,,358.37,52.6,385,4.3,24,0,8,11,358.176727,358.176727,0,1,0,2,0,2,0,0,0,1,0,0,2,20190911
138972799,"Diethyl 2,3-bis(2,2-difluoroethyl)butanedioate",,C12H18F4O4,"InChI=1S/C12H18F4O4/c1-3-19-11(17)7(5-9(13)14)8(6-10(15)16)12(18)20-4-2/h7-10H,3-6H2,1-2H3",CCOC(=O)C(CC(F)F)C(CC(F)F)C(=O)OCC,LMLSQBQSUZAWAD-UHFFFAOYSA-N,"diethyl 2,3-bis(2,2-difluoroethyl)butanedioate",,Classification|Literature,,Thieme Chemistry,Journal Publishers|Subscription Services,,302.26,52.6,280,3.1,20,0,8,11,302.114136,302.114136,0,1,0,2,0,2,0,0,0,1,0,0,2,20190911
21943926,"Diethyl 2,3-diisobutylsuccinate","SCHEMBL233700|diethyl 2,3-diisobutylsuccinate",C16H30O4,"InChI=1S/C16H30O4/c1-7-19-15(17)13(9-11(3)4)14(10-12(5)6)16(18)20-8-2/h11-14H,7-10H2,1-6H3",CCOC(=O)C(CC(C)C)C(CC(C)C)C(=O)OCC,AVLHXEDOBYYTGV-UHFFFAOYSA-N,"diethyl 2,3-bis(2-methylpropyl)butanedioate",,Literature|Patents,,ChemSpider|Google Patents|IBM|PATENTSCOPE (WIPO)|Springer Nature|SureChEMBL,Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|Research and Development,,286.41,52.6,267,4.1,20,0,4,11,286.214417,286.214417,0,1,0,2,0,2,0,0,0,1,774,197,2,20071205
87455105,"Bis(2,2-dimethylpropyl) 2,3-bis(2,3,3-trifluoropropyl)butanedioate",SCHEMBL2915871,C20H32F6O4,"InChI=1S/C20H32F6O4/c1-19(2,3)9-29-17(27)11(7-13(21)15(23)24)12(8-14(22)16(25)26)18(28)30-10-20(4,5)6/h11-16H,7-10H2,1-6H3",CC(C)(C)COC(=O)C(CC(C(F)F)F)C(CC(C(F)F)F)C(=O)OCC(C)(C)C,ZXNDWWKYJXEBQK-UHFFFAOYSA-N,"bis(2,2-dimethylpropyl) 2,3-bis(2,3,3-trifluoropropyl)butanedioate",,Classification|Patents,,SureChEMBL,Curation Efforts|Research and Development,,450.5,52.6,494,6.6,30,0,10,15,450.220490,450.220490,0,1,0,4,0,4,0,0,0,0,2,1,2,20150212
158706326,"(2R,3S)-3-acetyl-N-[(12S)-10-(3-chlorophenyl)-13-oxo-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-2-(3,3,3-trifluoropropyl)hexanamide;(2R,3S)-3-acetyl-N-[(12S)-10-(3-chlorophenyl)-13-oxo-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-6,6,6-trifluoro-2-(3,3,3-trifluoropropyl)hexanamide;(2R,3S)-3-acetyl-6,6,6-trifluoro-N-[(12S)-13-oxo-10-phenyl-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-2-propylhexanamide;(2R,3S)-2,3-bis(cyclopropylmethyl)-4-oxo-N-[(12S)-13-oxo-10-phenyl-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]pentanamide;(2R)-N-[(12S)-10-(3-chlorophenyl)-13-oxo-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-5,5,5-trifluoro-2-[(1R)-1-(3-methyl-1,2-oxazol-4-yl)-2-oxopropyl]pentanamide",,C143H144Cl3F15N16O21,"InChI=1S/C30H33N3O4.C29H26ClF3N4O5.C28H26ClF6N3O4.C28H29ClF3N3O4.C28H30F3N3O4/c1-18(34)23(16-19-10-11-19)24(17-20-12-13-20)29(35)32-28-30(36)33-14-15-37-25-9-5-8-22(27(25)33)26(31-28)21-6-3-2-4-7-21;1-15-21(14-42-36-15)23(16(2)38)19(9-10-29(31,32)33)27(39)35-26-28(40)37-11-12-41-22-8-4-7-20(25(22)37)24(34-26)17-5-3-6-18(30)13-17;1-15(39)18(8-10-27(30,31)32)19(9-11-28(33,34)35)25(40)37-24-26(41)38-12-13-42-21-7-3-6-20(23(21)38)22(36-24)16-4-2-5-17(29)14-16;1-3-6-19(16(2)36)20(11-12-28(30,31)32)26(37)34-25-27(38)35-13-14-39-22-10-5-9-21(24(22)35)23(33-25)17-7-4-8-18(29)15-17;1-3-8-20(19(17(2)35)13-14-28(29,30)31)26(36)33-25-27(37)34-15-16-38-22-12-7-11-21(24(22)34)23(32-25)18-9-5-4-6-10-18/h2-9,19-20,23-24,28H,10-17H2,1H3,(H,32,35);3-8,13-14,19,23,26H,9-12H2,1-2H3,(H,35,39);2-7,14,18-19,24H,8-13H2,1H3,(H,37,40);4-5,7-10,15,19-20,25H,3,6,11-14H2,1-2H3,(H,34,37);4-7,9-12,19-20,25H,3,8,13-16H2,1-2H3,(H,33,36)/t23-,24-,28-;19-,23-,26-;18-,19-,24-;2*19-,20-,25-/m11111/s1",CCC[C@@H]([C@@H](CCC(F)(F)F)C(=O)N[C@@H]1C(=O)N2CCOC3=CC=CC(=C32)C(=N1)C4=CC(=CC=C4)Cl)C(=O)C.CCC[C@H]([C@H](CCC(F)(F)F)C(=O)C)C(=O)N[C@@H]1C(=O)N2CCOC3=CC=CC(=C32)C(=N1)C4=CC=CC=C4.CC1=NOC=C1[C@@H]([C@@H](CCC(F)(F)F)C(=O)N[C@@H]2C(=O)N3CCOC4=CC=CC(=C43)C(=N2)C5=CC(=CC=C5)Cl)C(=O)C.CC(=O)[C@@H](CCC(F)(F)F)[C@@H](CCC(F)(F)F)C(=O)N[C@@H]1C(=O)N2CCOC3=CC=CC(=C32)C(=N1)C4=CC(=CC=C4)Cl.CC(=O)[C@@H](CC1CC1)[C@@H](CC2CC2)C(=O)N[C@@H]3C(=O)N4CCOC5=CC=CC(=C54)C(=N3)C6=CC=CC=C6,IIDSVSGWHBFFCM-YPZHPVNGSA-N,"(2R,3S)-3-acetyl-N-[(12S)-10-(3-chlorophenyl)-13-oxo-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-2-(3,3,3-trifluoropropyl)hexanamide;(2R,3S)-3-acetyl-N-[(12S)-10-(3-chlorophenyl)-13-oxo-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-6,6,6-trifluoro-2-(3,3,3-trifluoropropyl)hexanamide;(2R,3S)-3-acetyl-6,6,6-trifluoro-N-[(12S)-13-oxo-10-phenyl-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-2-propylhexanamide;(2R,3S)-2,3-bis(cyclopropylmethyl)-4-oxo-N-[(12S)-13-oxo-10-phenyl-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]pentanamide;(2R)-N-[(12S)-10-(3-chlorophenyl)-13-oxo-4-oxa-1,11-diazatricyclo[7.4.1.05,14]tetradeca-5,7,9(14),10-tetraen-12-yl]-5,5,5-trifluoro-2-[(1R)-1-(3-methyl-1,2-oxazol-4-yl)-2-oxopropyl]pentanamide",,Classification|Patents,,Google Patents,Research and Development,,2814.1,466.0,4870,,198,5,42,44,2811.955078,2810.951904,0,5,0,15,15,0,0,0,0,0,2,1,2,20211203
171732778,"(3S)-4-[(2R,2'S)-2'-cyano-5,7-difluoro-3-oxospiro[4H-1,4-benzoxazine-2,4'-pyrrolidine]-1'-yl]-2,3-bis(cyclopropylmethyl)-N-methyl-4-oxobutanamide",,C25H28F2N4O4,"InChI=1S/C25H28F2N4O4/c1-29-22(32)17(6-13-2-3-13)18(7-14-4-5-14)23(33)31-12-25(10-16(31)11-28)24(34)30-21-19(27)8-15(26)9-20(21)35-25/h8-9,13-14,16-18H,2-7,10,12H2,1H3,(H,29,32)(H,30,34)/t16-,17?,18-,25+/m0/s1",CNC(=O)C(CC1CC1)[C@H](CC2CC2)C(=O)N3C[C@]4(C[C@H]3C#N)C(=O)NC5=C(O4)C=C(C=C5F)F,PQZQIHLKBBFHSN-YOEUWAJBSA-N,"(3S)-4-[(2R,2'S)-2'-cyano-5,7-difluoro-3-oxospiro[4H-1,4-benzoxazine-2,4'-pyrrolidine]-1'-yl]-2,3-bis(cyclopropylmethyl)-N-methyl-4-oxobutanamide",,Classification|Patents,,PATENTSCOPE (WIPO),Governmental Organizations,,486.5,112.0,932,2.6,35,2,7,7,486.207855,486.207855,0,1,0,4,3,1,0,0,0,0,0,0,2,20240725
170989828,Aflaxanthone A,Aflaxanthone A,C30H30O11,"InChI=1S/C30H30O11/c1-11-4-15(32)21-17(5-11)40-29(2)19(34)8-13(25(36)23(29)27(21)38)14-9-20(35)30(3)24(26(14)37)28(39)22-16(33)6-12(10-31)7-18(22)41-30/h4-7,13-14,19-20,31-35,38-39H,8-10H2,1-3H3/t13-,14+,19-,20-,29+,30-/m0/s1",CC1=CC(=C2C(=C1)O[C@@]3([C@H](C[C@H](C(=O)C3=C2O)[C@H]4C[C@@H]([C@]5(C(=C(C6=C(C=C(C=C6O5)CO)O)O)C4=O)C)O)O)C)O,MKOUWZJYZYHINB-ZFOVSLMTSA-N,"(2S,4S,4aS)-2-[(2R,4S,4aR)-4,8,9-trihydroxy-6-(hydroxymethyl)-4a-methyl-1-oxo-3,4-dihydro-2H-xanthen-2-yl]-4,8,9-trihydroxy-4a,6-dimethyl-3,4-dihydro-2H-xanthen-1-one",,Classification,,The Natural Products Atlas,Curation Efforts,,566.6,194.0,1190,1.3,41,7,11,2,566.178833,566.178833,0,1,0,6,6,0,0,0,0,0,0,0,1,20240322
